Gene = Sycn
index = 1050
Annotated 5SS: [420]
Annotated 3SS: [1188]
SMsplice 5SS: [212 420]
SMsplice 3SS: [ 312 1188]
top_k =  500
Partition function (log Z): -7.218468368008837

Sorted 5' Splice Sites (High to Low Probability):
Position 212: 0.6496628692451185
Position 420: 0.6494629496669906
Position 131: 0.2813071639550835
Position 308: 0.02953416773465296
Position 723: 0.0037131492708480803
Position 135: 0.0032414877359004815
Position 1014: 0.002889011251177124
Position 877: 0.0022825064260407466
Position 158: 0.0008751577481367571
Position 12: 0.0006364937575330056
Position 1046: 0.0006004617091665102
Position 390: 0.0005367761734775898
Position 503: 0.0003608501937780242
Position 424: 0.00029462420803211053
Position 117: 0.00019644600272748937
Position 195: 0.00015020623722584702
Position 265: 0.0001402479948712033
Position 747: 0.00012610417399377407
Position 97: 0.00011598146429009163
Position 534: 8.475418983266723e-05
Position 765: 5.3007333828920896e-05
Position 1189: 4.7789261593817665e-05
Position 281: 4.152662643894243e-05
Position 1031: 4.13797502732828e-05
Position 202: 3.719937493738733e-05
Position 36: 3.0640860814912323e-05
Position 363: 2.669414522739853e-05
Position 27: 1.8591448943312496e-05
Position 980: 1.4173726963124468e-05
Position 19: 1.4119873028989436e-05
Position 341: 1.2129578669144495e-05
Position 198: 9.616092213523866e-06
Position 77: 7.566538154012495e-06
Position 243: 6.987148742577552e-06
Position 64: 5.736209724631794e-06
Position 193: 4.374799934135193e-06
Position 70: 3.6545187159681946e-07
Position 258: 5.71236324104087e-08
Position 330: 3.909032997642159e-08
Position 268: 3.7740733318972654e-08
Position 297: 3.4043559297312454e-08
Position 292: 1.005952470650557e-08
Position 294: 1.883331842292501e-09
Position 547: 1.8094293360387822e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 312: 0.5873659347901116
Position 1188: 0.5227986220435249
Position 606: 0.1535339944569748
Position 268: 0.0686910832660264
Position 678: 0.04588857624323149
Position 918: 0.04055794828853308
Position 979: 0.03766540405509232
Position 948: 0.03631042666942364
Position 211: 0.01684641333987007
Position 969: 0.015765445136647887
Position 772: 0.015321593106208502
Position 639: 0.013224579071404514
Position 1123: 0.010558952441766531
Position 1222: 0.0074018011942024
Position 1046: 0.0053202717216355635
Position 559: 0.00403891113469291
Position 361: 0.0039309170375314
Position 518: 0.003569259308189729
Position 1090: 0.003560767119638991
Position 1245: 0.0034810273279568993
Position 815: 0.002968411104469778
Position 1291: 0.0028554307416354665
Position 276: 0.0027189575393705406
Position 321: 0.0022233017825429476
Position 614: 0.002035538789097122
Position 1006: 0.001908887194553647
Position 808: 0.0017143323809770718
Position 625: 0.0015657848702234564
Position 420: 0.0015344814552324868
Position 1307: 0.00124090206390799
Position 469: 0.001160588054453511
Position 845: 0.0011575898010118255
Position 923: 0.0011084101783704824
Position 1207: 0.0007550474866923608
Position 330: 0.0007234360466864088
Position 106: 0.0006932666624731059
Position 455: 0.0006413166170068246
Position 957: 0.000609790654619017
Position 207: 0.0005698873327700417
Position 985: 0.0005574987008011913
Position 694: 0.00039699876861277236
Position 1105: 0.00018959698748526534
Position 285: 0.00016075284952279584
Position 363: 0.00014237245804427887
Position 533: 0.00013845222969353671
Position 860: 0.00012624298961202803
Position 1050: 0.00012106067125835504
Position 722: 0.00011832252200888006
Position 737: 0.00011529157699035853
Position 643: 9.892969390010132e-05
Position 385: 8.695082674459921e-05
Position 998: 6.885902323833613e-05
Position 785: 5.452830347639313e-05
Position 875: 3.640913897870412e-05
Position 506: 2.602630075979342e-05
Position 476: 2.1407406467640342e-05
Position 828: 2.1028697411554182e-05
Position 486: 1.9865103512792268e-05
Position 498: 1.9538001258296735e-05
Position 373: 1.9328494795859486e-05
Position 781: 1.637875277882078e-05
Position 1318: 7.0688642264336485e-06
Position 186: 2.8103645741331106e-06
Position 143: 2.3166257956684232e-07
Position 114: 1.057157988073679e-07
Position 424: 7.938686789889425e-08
Position 156: 3.207925939479328e-08
Position 117: 2.068287530247973e-08
Position 121: 6.337368604943029e-09
Position 158: 4.498480768539146e-09
Position 153: 1.5126383933451524e-09
