Gene = Cdiptos
index = 241
Annotated 5SS: [ 410  617  984 1245 1471]
Annotated 3SS: [ 531  838 1210 1412 3015]
SMsplice 5SS: [ 617 1471]
SMsplice 3SS: [1412 3015]
top_k =  500
Partition function (log Z): -9.658184581436819

Sorted 5' Splice Sites (High to Low Probability):
Position 617: 0.7816254148400782
Position 1245: 0.6379797894141633
Position 1471: 0.6073592621494989
Position 2496: 0.05023259772651061
Position 2476: 0.03165648016600936
Position 984: 0.029615374734932528
Position 254: 0.02057359782926088
Position 1798: 0.020445655047697107
Position 1315: 0.0187935972080564
Position 2294: 0.01784214971891419
Position 580: 0.01425571582425607
Position 1566: 0.014135933581411672
Position 1999: 0.011597987020230825
Position 1482: 0.011584643866539252
Position 1991: 0.010504047888650538
Position 2761: 0.010390987657629813
Position 2132: 0.005374020243234928
Position 14: 0.00520270760423228
Position 410: 0.005155496424959222
Position 225: 0.004960949765756641
Position 190: 0.004851480569874212
Position 606: 0.004679724265742141
Position 414: 0.003961118204545631
Position 924: 0.0022667855675275583
Position 86: 0.0020069084632038416
Position 2486: 0.0017471687279989666
Position 1475: 0.0016763075215194766
Position 635: 0.0015692406303274649
Position 290: 0.0010416788590103122
Position 372: 0.0009915836233779624
Position 470: 0.0009822537104380595
Position 1629: 0.000912617487045892
Position 1740: 0.000895149163770717
Position 98: 0.0008833625506770225
Position 1249: 0.0005903558124206622
Position 2569: 0.0005863200179174791
Position 208: 0.0005391593061935
Position 2577: 0.0004907330036229823
Position 2858: 0.00046743329201305236
Position 1823: 0.0003240112161639562
Position 56: 0.00031176910292724647
Position 738: 0.0002589465374002075
Position 268: 0.00025556823572118293
Position 2826: 0.00021838782624024672
Position 490: 0.00020177331267679598
Position 433: 0.000143717543270939
Position 421: 0.00011395281167762623
Position 342: 8.345969270904572e-05
Position 901: 8.22811111527914e-05
Position 918: 6.163444550538084e-05
Position 492: 5.9511535322184496e-05
Position 496: 5.411543454865292e-05
Position 275: 4.039329317700869e-05
Position 524: 2.9143267315865873e-05
Position 41: 2.105971798672102e-05
Position 1015: 1.9816189769979263e-05
Position 1179: 1.299983659136621e-05
Position 1086: 1.2681696468421529e-05
Position 345: 1.1692489387686387e-05
Position 34: 5.1247190263771605e-06
Position 759: 4.853897637350059e-06
Position 1514: 4.226384286661712e-06
Position 465: 3.617918708605024e-06
Position 670: 3.0093062521136743e-06
Position 508: 1.8936575504526975e-06
Position 558: 1.133152024974113e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1412: 0.5314176846732241
Position 3015: 0.5111182718426743
Position 2365: 0.2912441830756547
Position 1152: 0.16808810763227397
Position 838: 0.15415272748764186
Position 1080: 0.11953936999489576
Position 1369: 0.11578762333162985
Position 1725: 0.080396083817026
Position 1383: 0.06797793099001942
Position 1125: 0.057666058168268995
Position 1210: 0.03211117533742711
Position 531: 0.02232166756605547
Position 1052: 0.019083649648174515
Position 1762: 0.013911858737039541
Position 3111: 0.013848208667298108
Position 1271: 0.012307003596548507
Position 2466: 0.011612207686178908
Position 2040: 0.010275963449757093
Position 1008: 0.010171998705812257
Position 2092: 0.008436426683683298
Position 1628: 0.008093770970111408
Position 1675: 0.007327567296320032
Position 2728: 0.006829243592105251
Position 2073: 0.005664261423627062
Position 1632: 0.004690449826923643
Position 1882: 0.004602969352805082
Position 1039: 0.0045303584832251526
Position 1224: 0.0033610005114360457
Position 1647: 0.0032433994619119875
Position 2898: 0.0029868720152620323
Position 1340: 0.00286080986590914
Position 2948: 0.0027668135835312428
Position 1731: 0.002573896455146453
Position 940: 0.002195138994828203
Position 508: 0.0020293234779498875
Position 2050: 0.0018135729032345163
Position 3203: 0.0015100066912512996
Position 2078: 0.0014078522939505486
Position 2181: 0.0013294111721613292
Position 876: 0.0013198179233589484
Position 3032: 0.001191137760710711
Position 2284: 0.0010623590416775981
Position 1231: 0.0010477464644744817
Position 814: 0.0010422752461366393
Position 2568: 0.0009426952078022785
Position 857: 0.0009259042472350921
Position 2923: 0.0008548555341002055
Position 555: 0.000846252834591374
Position 1313: 0.0008247086782962065
Position 1534: 0.0008125866578183894
Position 3067: 0.0008087054926748001
Position 1759: 0.000721045835485353
Position 1274: 0.0006734594893506354
Position 3081: 0.000645733538652044
Position 1086: 0.0006413285559742425
Position 759: 0.0005738311572544041
Position 737: 0.0005041536319815954
Position 716: 0.0004877175927578671
Position 881: 0.00045056355748445705
Position 890: 0.00042178121089796937
Position 2372: 0.00040967847629721935
Position 924: 0.00039482265181521326
Position 2271: 0.0003378431606385993
Position 3148: 0.00032830170423857276
Position 605: 0.00026784383290684476
Position 1943: 0.0002666395257709304
Position 2264: 0.0002635570029604731
Position 1179: 0.00025757265362376424
Position 1010: 0.000245572378975141
Position 725: 0.00022400223536741802
Position 398: 0.0001986215878706391
Position 2113: 0.00019388713645434428
Position 2293: 0.00018386656842022376
Position 3164: 0.00015375493861285818
Position 534: 0.00014472433424308302
Position 1739: 0.00012699643063578996
Position 1505: 0.00011090548759531075
Position 743: 9.164898523476378e-05
Position 1310: 8.895716058875883e-05
Position 1440: 6.590259382387844e-05
Position 946: 5.955990054244926e-05
Position 403: 5.766458612430091e-05
Position 375: 5.040373725279281e-05
Position 772: 3.2963876062213187e-05
Position 579: 3.1899561466754824e-05
Position 286: 2.5431486507906804e-05
Position 768: 2.145155114060182e-05
Position 372: 1.7718906473672276e-05
Position 781: 1.225326966802355e-05
Position 558: 4.201772881932393e-06
Position 465: 3.3546864164100005e-06
Position 1293: 3.3450018706805503e-06
Position 249: 2.2388112280742006e-06
Position 774: 2.155868044074326e-06
Position 796: 1.14726720739772e-06
Position 470: 9.200774830637725e-07
Position 611: 2.7172255896778365e-07
Position 234: 2.1588206176211875e-07
Position 571: 1.9522868491578073e-07
Position 590: 1.5143986134648193e-07
Position 97: 9.928857400600111e-08
Position 199: 9.251352754852052e-08
Position 188: 8.395457732147078e-08
Position 333: 6.528614989389775e-08
Position 290: 1.7657734242325245e-10
Position 410: 8.810872296122056e-15
Position 474: 8.381067060876178e-15
Position 301: 8.369401561574892e-15
Position 433: 6.453067652580058e-15
Position 306: 5.42537427854138e-15
Position 225: 4.4516555579644496e-15
