Gene = D1Ertd622e
index = 314
Annotated 5SS: [ 244 7475]
Annotated 3SS: [ 7384 15712]
SMsplice 5SS: [  244  7475 22761 22994 23759 24475 34540 35575]
SMsplice 3SS: [ 7384 22655 22838 23669 24376 34420 35495 39933]
top_k =  500
Partition function (log Z): -30.013332814773033

Sorted 5' Splice Sites (High to Low Probability):
Position 244: 0.9916212675307734
Position 7475: 0.952199385777743
Position 8272: 0.38476481249340355
Position 9885: 0.3304102836772657
Position 4236: 0.3148389620590717
Position 10787: 0.22856228648868676
Position 1974: 0.18496740335183412
Position 13473: 0.1556280013877262
Position 10070: 0.15055512726664136
Position 4810: 0.11742889692807866
Position 4423: 0.11709061614937975
Position 4634: 0.11411814094911094
Position 4245: 0.11357138784189663
Position 6143: 0.10677501386936057
Position 13756: 0.043014636622179664
Position 4289: 0.03697386343879071
Position 6442: 0.03690269531663959
Position 6487: 0.03227731812120668
Position 4595: 0.03043289093884298
Position 5621: 0.02228833331054865
Position 6563: 0.019808070953915326
Position 3321: 0.013368841929577826
Position 8945: 0.010309167174647482
Position 2657: 0.009716248151511654
Position 8801: 0.008563766949099626
Position 4365: 0.008542474854842814
Position 7560: 0.008506930426198506
Position 3147: 0.006998812221891129
Position 2562: 0.006589300726522548
Position 1733: 0.004902988394211432
Position 324: 0.003887007809773765
Position 642: 0.0031752719040062096
Position 4080: 0.002452573285586029
Position 1026: 0.0024447432702018076
Position 520: 0.002112140033332068
Position 2684: 0.0019768188899844472
Position 316: 0.0018871768284256572
Position 295: 0.0015683860487632011
Position 5319: 0.0007692452065563277
Position 3257: 0.0007465360526694788
Position 8276: 0.0005614101733518225
Position 2396: 0.0005586471112656866
Position 787: 0.0005490430565005607
Position 3051: 0.0005467742051766211
Position 3008: 0.0005389346840662835
Position 2311: 0.0004921065899763931
Position 1859: 0.00047568820615810577
Position 1181: 0.00047138269364078837
Position 2949: 0.00046694584793004337
Position 1677: 0.00045980512644007334
Position 2547: 0.00045150754920593103
Position 4694: 0.00043360920952524346
Position 5375: 0.0003938588321141475
Position 3676: 0.0003450011201074995
Position 6404: 0.0001304166658853132
Position 5532: 7.784913039230857e-05
Position 8280: 2.186889325992065e-05
Position 418: 1.692953388735535e-05
Position 116: 1.4833997389880911e-05
Position 311: 1.2261432489467535e-05
Position 2432: 8.106826506767449e-06
Position 3249: 6.99787059362007e-06
Position 3598: 6.366783824028491e-06
Position 1038: 4.1720428240278135e-06
Position 479: 1.7671228653691e-06
Position 1128: 1.6502922836112528e-06
Position 541: 1.127660917937915e-06
Position 742: 8.385935321782393e-07
Position 506: 5.876138521915903e-07
Position 101: 5.817160737794317e-07
Position 1060: 5.610312760537236e-07
Position 578: 5.10000733287974e-07
Position 1622: 4.5464921704893614e-07
Position 284: 3.2226074576087157e-07
Position 196: 1.5009284116215646e-07
Position 298: 1.0346663150579105e-07
Position 330: 8.522058985453946e-08
Position 2391: 6.420937092545231e-08
Position 248: 6.342059556642551e-08
Position 1865: 5.150327334953839e-08
Position 2045: 4.6183834615808376e-08
Position 880: 4.558983324177499e-08
Position 2255: 3.659033845256272e-08
Position 562: 2.9646864116331462e-08
Position 2554: 2.9002500078160777e-08
Position 82: 2.6644211162055364e-08
Position 538: 1.0649829180164604e-08
Position 805: 1.0167781599482142e-08
Position 342: 3.618792671094608e-09
Position 334: 3.3530532323658104e-09
Position 535: 2.400167766711546e-09
Position 328: 8.942465740963373e-10
Position 422: 8.205498855773498e-10
Position 356: 2.8692309109907868e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 7384: 0.802061535533517
Position 15712: 0.5034391567708439
Position 4148: 0.48164920482920554
Position 8146: 0.35694356734604404
Position 9799: 0.25877187367254734
Position 10650: 0.23546879158542
Position 13341: 0.17007496745831724
Position 4465: 0.1580195363818284
Position 13749: 0.14116929898073416
Position 9990: 0.1258851794239172
Position 13708: 0.12569620468617268
Position 7311: 0.12291817847675271
Position 14522: 0.11838765100345122
Position 9774: 0.11519772186934532
Position 6015: 0.1049271914624396
Position 6259: 0.0931363983946258
Position 4271: 0.09191792019905323
Position 1732: 0.06857973938013706
Position 4594: 0.05164430516123874
Position 1817: 0.051518944485226315
Position 4677: 0.05112678969368053
Position 7359: 0.034143194283025896
Position 8168: 0.03183359578557626
Position 8753: 0.028518096645928533
Position 1841: 0.024575080339202006
Position 8756: 0.017427658106384903
Position 5564: 0.016647796917847308
Position 3870: 0.013735743219233595
Position 1844: 0.010836718977583865
Position 10102: 0.010510909251783239
Position 8545: 0.010280616594256187
Position 1594: 0.008921617449837894
Position 1929: 0.008549811619228968
Position 10841: 0.007797717589150471
Position 3186: 0.00758169317332381
Position 1902: 0.006424321919141965
Position 1754: 0.006179700874692207
Position 9909: 0.005479930149532488
Position 10871: 0.005403491784570226
Position 7694: 0.005388815164693618
Position 4323: 0.005259145969271468
Position 2971: 0.004828136183690397
Position 9095: 0.004675077154235647
Position 11027: 0.004555873676901506
Position 9828: 0.004485038721732037
Position 2293: 0.00376137949050322
Position 5593: 0.0036362971053014387
Position 1857: 0.0035114262644553077
Position 2819: 0.0034461722492285934
Position 11793: 0.003212560335690384
Position 2452: 0.002934148471811411
Position 9485: 0.0029118139440610026
Position 6506: 0.002884190117842304
Position 2646: 0.0028358439337432028
Position 11651: 0.0028133753928118828
Position 5400: 0.0025736857129815957
Position 2566: 0.00241077526907683
Position 8097: 0.0023625687895577306
Position 4528: 0.0023585757650130858
Position 991: 0.0022391923815518523
Position 3932: 0.002210500967519131
Position 7502: 0.0020543000519824216
Position 5962: 0.0019995276694863146
Position 3081: 0.0019229101022084358
Position 429: 0.0018913248230216391
Position 7583: 0.0017094186050461721
Position 2349: 0.0016770074108742679
Position 3107: 0.001584722585568582
Position 2418: 0.0013678618166278547
Position 2202: 0.001363879100201884
Position 3055: 0.0012840701773832893
Position 5260: 0.0010681727532447511
Position 2415: 0.001035467082734855
Position 1596: 0.000981045471381767
Position 3192: 0.0009189092866363522
Position 368: 0.0009048764328805395
Position 2619: 0.0008743782973306805
Position 1633: 0.0007327257450910745
Position 606: 0.0006387181977619939
Position 2546: 0.0006125917873377534
Position 843: 0.00056418936084647
Position 434: 0.0005606170678459077
Position 3127: 0.0005274246451719438
Position 2254: 0.0004686649686584782
Position 342: 0.00044272115825615073
Position 3482: 0.0004176220580015305
Position 7559: 0.00039336966540989436
Position 2467: 0.00034705500038794063
Position 3150: 0.00027039786799559133
Position 7120: 0.0002651457861494389
Position 3905: 0.00025031381683010437
Position 362: 0.00020544968495493044
Position 3188: 0.0001956467090851566
Position 3596: 0.00015308577874563876
Position 682: 0.00015277574346263446
Position 3001: 0.0001399528640268794
Position 2626: 0.00013849726971971153
Position 5241: 0.00013157610281650385
Position 7990: 0.00011195939679194066
Position 3202: 0.0001024201072996295
Position 3249: 8.286274142257902e-05
Position 2481: 8.067288832358723e-05
Position 3254: 7.704691242862531e-05
Position 946: 7.303698590731057e-05
Position 849: 6.932533459964036e-05
Position 1614: 5.257746161190456e-05
Position 6288: 4.2382551490361545e-05
Position 927: 3.7029651273087307e-05
Position 5720: 3.64047360469807e-05
Position 573: 3.3418894478856846e-05
Position 346: 3.07556539776666e-05
Position 3715: 1.8959422422065086e-05
Position 3345: 8.01257937301757e-06
Position 2010: 6.898330708976262e-06
Position 4054: 3.1294716095949484e-06
Position 1599: 2.2467365719958535e-06
