Gene = A830018L16Rik
index = 80
Annotated 5SS: [   533  97961 104605 131178 148887 174442 182213 333987 384462 415787
 519487 536952 557998]
Annotated 3SS: [ 97812 104472 131048 148857 174268 182045 333859 384375 415709 519438
 536857 557940 560817]
SMsplice 5SS: [   533   9139  12282  35701  66328  97961 104605 110578 128447 131178
 174442 181949 182213 185348 190033 200273 210531 211422 229090 238479
 286165 312795 333996 338035 367797 374791 384462 389857 391367 399875
 415467 415787 444810 449445 475129 536952 547371 557998]
SMsplice 3SS: [  9050  12165  35599  66253  97812 104472 110431 128337 131048 174268
 181798 182045 185259 189920 200207 210450 211332 228992 238410 286058
 312677 333859 337906 367707 374548 384375 389750 391283 399750 415331
 415709 444693 449348 475047 536857 547260 557940 560817]
top_k =  500
Partition function (log Z): -321.94648137527815

Sorted 5' Splice Sites (High to Low Probability):
Position 9139: 0.8999591080244392
Position 533: 0.7478715248673649
Position 12282: 0.6056979342111385
Position 8579: 0.5360978968434416
Position 6813: 0.34379239728386807
Position 1501: 0.3157678589657444
Position 6104: 0.19359503868358785
Position 230: 0.1835310643314523
Position 4288: 0.1793502749335969
Position 7071: 0.1255301605844543
Position 732: 0.0764571353794504
Position 1278: 0.027963100439582802
Position 12729: 0.007484784110071082
Position 831: 0.007288153094773206
Position 13103: 0.00707010294595471
Position 3940: 0.005868797227708095
Position 207: 0.005509787422687403
Position 631: 0.0052898158229664404
Position 4874: 0.004438197581678871
Position 2498: 0.003934365483705954
Position 4520: 0.002820573829201916
Position 5565: 0.00272555152108457
Position 6082: 0.0025506423219601904
Position 3782: 0.0022468912724163408
Position 1233: 0.0018341169676640678
Position 1506: 0.0016664234043730298
Position 400: 0.0014131735183251831
Position 2897: 0.0012664142827872843
Position 5262: 0.0010445551376288107
Position 546: 0.0009858133441412692
Position 1554: 0.0008071364943537021
Position 290: 0.0005509105183151301
Position 1224: 0.0003583416354778028
Position 255: 0.00017105981270667785
Position 1286: 6.663514166786878e-05
Position 405: 4.609258436401863e-05
Position 821: 3.150631873367915e-05
Position 286: 2.1909205415566606e-05
Position 966: 1.3123297937600932e-05
Position 556: 1.0129817146570716e-05
Position 519: 8.480321222715225e-06
Position 1842: 5.927413068305703e-06
Position 840: 4.72570377604056e-06
Position 577: 4.071617289272516e-06
Position 56: 3.755670353691874e-06
Position 1863: 3.0378082162516943e-06
Position 347: 2.9014619198393102e-06
Position 277: 2.1964605498579656e-06
Position 586: 2.0611235297606027e-06
Position 89: 1.980709064382642e-06
Position 413: 1.7865973012256676e-06
Position 68: 1.325027517223841e-06
Position 306: 9.871106821849167e-07
Position 258: 9.745127745858733e-07
Position 580: 6.361929796308279e-07
Position 583: 5.483645335148654e-07
Position 39: 1.0797893660711471e-07
Position 8: 8.821976154705175e-08
Position 363: 7.019369090957054e-08
Position 526: 6.742879735067714e-08
Position 474: 6.43219621001083e-08
Position 456: 6.360858097182482e-08
Position 280: 4.3406748412362875e-08
Position 433: 6.708647075241048e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9050: 0.8356317094471319
Position 8467: 0.5397340001651983
Position 12165: 0.5098261024629324
Position 6558: 0.34257164702462084
Position 5798: 0.17228705012008658
Position 1340: 0.1560144685981205
Position 17204: 0.15077522447410743
Position 13390: 0.14333168148543632
Position 12200: 0.12916806589972032
Position 14308: 0.11485012003077771
Position 13565: 0.10568498197272731
Position 1367: 0.1042372516749773
Position 6922: 0.08768562521133737
Position 4198: 0.08043572533739328
Position 4233: 0.07727476151264731
Position 12368: 0.06599566703922054
Position 13628: 0.05767945177461107
Position 12522: 0.0554252261811202
Position 13002: 0.05469258775465759
Position 9089: 0.0528192033867088
Position 1400: 0.04465269844118551
Position 7047: 0.04207989328745117
Position 13408: 0.040263441635412255
Position 13266: 0.030302255611440967
Position 1045: 0.028857094332599923
Position 13102: 0.028725720796691747
Position 5710: 0.024123019222303657
Position 11663: 0.019172065413275707
Position 4151: 0.018712638286116648
Position 8991: 0.018366069672881118
Position 12901: 0.01740879217994731
Position 6522: 0.01573479552555432
Position 14336: 0.012881342414491948
Position 9752: 0.01252531996673173
Position 12471: 0.0074920787298179675
Position 493: 0.007444197797342673
Position 677: 0.006979458669652093
Position 3707: 0.006318666788756444
Position 630: 0.005287303774051354
Position 4767: 0.004858162169729457
Position 9781: 0.004777040552673209
Position 9730: 0.004764537434710643
Position 4455: 0.004356742979260679
Position 11099: 0.004163417873231648
Position 12439: 0.003934381106340675
Position 2304: 0.0037628240615417046
Position 10960: 0.0032834730013070537
Position 573: 0.003174231188356026
Position 5405: 0.0027255515210846946
Position 12807: 0.002138134241347302
Position 613: 0.00212188836994295
Position 3983: 0.0020279197929972946
Position 10865: 0.0019027658317994872
Position 1453: 0.0018459214856296846
Position 12315: 0.0016318243542393423
Position 1232: 0.0014620770949737708
Position 403: 0.0013402205367572372
Position 663: 0.001250215821533055
Position 5163: 0.001243869367943195
Position 1385: 0.0011873108703251158
Position 1344: 0.0011029139964997435
Position 3560: 0.0010780422966581427
Position 3866: 0.000979691117635369
Position 1103: 0.0009642375047669139
Position 11480: 0.0009415613105928117
Position 425: 0.0008875743347220136
Position 713: 0.0008859536413948503
Position 1322: 0.0008748451651997923
Position 2782: 0.0008579243739307819
Position 1313: 0.0007988629738743531
Position 625: 0.0006981292912842061
Position 4086: 0.0006128819751569255
Position 369: 0.0005850319155776275
Position 1096: 0.0005643404996672306
Position 2683: 0.000557309967158078
Position 3073: 0.0005490362401923582
Position 1191: 0.0005133064454907352
Position 6363: 0.0005082287740363039
Position 3356: 0.0004895854023853926
Position 373: 0.00048769132385587653
Position 4286: 0.00048236133763028495
Position 6249: 0.0003947091416387505
Position 4964: 0.00038520605131584315
Position 408: 0.00037700221693493153
