Gene = Pmf1
index = 826
Annotated 5SS: [  176 10621 11197 14427]
Annotated 3SS: [10514 11095 14230 15760]
SMsplice 5SS: [  176  5877 10621 11197 14427]
SMsplice 3SS: [ 5771 10514 11095 14230 15946]
top_k =  500
Partition function (log Z): -6.620359265786036

Sorted 5' Splice Sites (High to Low Probability):
Position 10621: 0.9411615881505843
Position 5877: 0.8713380476765211
Position 176: 0.7972755474126112
Position 14400: 0.7598092107288139
Position 11197: 0.6432606019440844
Position 14618: 0.42922517165340174
Position 8181: 0.24438328548809363
Position 9881: 0.15907068297242835
Position 7074: 0.13016876685907278
Position 225: 0.1037909607844197
Position 14379: 0.08803460499662322
Position 33: 0.08245801730929284
Position 10748: 0.08124664940927095
Position 2188: 0.0698173970022923
Position 10901: 0.05998892293355579
Position 11214: 0.05362719855462653
Position 15438: 0.049257438214506066
Position 11520: 0.032548147558723366
Position 3976: 0.030925774896436015
Position 2264: 0.02493347749490718
Position 2808: 0.022231314513357827
Position 14431: 0.010966706644874365
Position 10567: 0.010906921278336047
Position 6962: 0.010698323267913767
Position 14316: 0.010644366392198118
Position 1868: 0.010523984778210366
Position 335: 0.009588730652636162
Position 6788: 0.00905256204297663
Position 8435: 0.008153273104198252
Position 2812: 0.007166166665417077
Position 1688: 0.006341182153733851
Position 3054: 0.006222310388256427
Position 210: 0.005825474975705171
Position 14929: 0.005682188531861322
Position 1710: 0.005398184609546919
Position 4706: 0.005001809126551497
Position 783: 0.004916631702772057
Position 3163: 0.004277256252336733
Position 15867: 0.0038160783182240752
Position 15696: 0.0031743580702968503
Position 2755: 0.0031410052793462216
Position 6856: 0.0010226039070882114
Position 10676: 0.0007111701553156401
Position 685: 0.0006117726042399902
Position 180: 0.0006089624251731175
Position 2016: 0.00016784927741209752
Position 977: 0.00013177078999212683
Position 1988: 0.00012520876103599217
Position 9499: 5.808081124201053e-05
Position 2215: 5.5393756517892455e-05
Position 117: 3.180285902291651e-05
