Gene = Tssc4
index = 1150
Annotated 5SS: [265 602]
Annotated 3SS: [505 686]
SMsplice 5SS: [265]
SMsplice 3SS: [686]
top_k =  500
Partition function (log Z): -7.969590854537252

Sorted 5' Splice Sites (High to Low Probability):
Position 265: 0.9128399494779826
Position 572: 0.21871896060505472
Position 687: 0.031871071463829226
Position 17: 0.02530070270261659
Position 236: 0.02457015794122385
Position 248: 0.021703249137520114
Position 445: 0.021034922153096585
Position 602: 0.018727663295446624
Position 1044: 0.013751046636663976
Position 40: 0.005982349086320499
Position 1618: 0.005202696249577527
Position 58: 0.003993191505078491
Position 828: 0.0025692800959994607
Position 820: 0.002379634553175771
Position 29: 0.002361910075933094
Position 1709: 0.0008384384682747955
Position 777: 0.0008010393894324559
Position 576: 0.0005553346798635988
Position 703: 0.00029369509320164916
Position 564: 0.00028474150171266884
Position 1143: 0.00024129319747763722
Position 1272: 0.00021006793593135155
Position 65: 0.0001572607515747537
Position 1087: 0.00015226522180398033
Position 1725: 8.276535472718565e-05
Position 27: 7.904932519814701e-05
Position 52: 6.895295844289521e-05
Position 21: 4.324650663217184e-05
Position 383: 2.9525503186620063e-05
Position 458: 2.2774095798859564e-05
Position 432: 2.1425948839791448e-05
Position 6: 1.844088392372798e-05
Position 341: 1.3553430019188859e-05
Position 329: 1.035996154960213e-05
Position 158: 1.0175101710395079e-05
Position 834: 9.336290442575996e-06
Position 415: 8.29446161190668e-06
Position 817: 7.406245336455727e-06
Position 1414: 6.942773713629051e-06
Position 350: 6.551282817664743e-06
Position 1500: 6.33563318634099e-06
Position 449: 6.1229084718017e-06
Position 472: 4.748933039112871e-06
Position 106: 4.225629163840362e-06
Position 1506: 4.1305872526580445e-06
Position 112: 1.1128518892949024e-06
Position 306: 7.883426118052594e-07
Position 109: 6.179907272542569e-07
Position 246: 5.490805831068997e-07
Position 955: 2.708530788381394e-07
Position 312: 2.3934419651497634e-07
Position 511: 1.5396691734608025e-07
Position 517: 1.4500941053214663e-07
Position 596: 4.944618127004911e-08
Position 706: 1.797963420773929e-08
Position 696: 6.129200134798199e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 686: 0.637334746230994
Position 505: 0.20271632036091264
Position 1579: 0.06520161957963921
Position 547: 0.044014754263453075
Position 527: 0.04385076097053252
Position 787: 0.042603773392332886
Position 357: 0.03693305043022506
Position 846: 0.029590867902689767
Position 1042: 0.027457893485347752
Position 927: 0.017806123169512727
Position 166: 0.017164362885236845
Position 112: 0.016106319531993703
Position 722: 0.011946238759668583
Position 702: 0.01111958770400436
Position 322: 0.008944306651067883
Position 1463: 0.008699840463722894
Position 1804: 0.00774205007194091
Position 720: 0.006896545892625385
Position 1307: 0.006866493882029294
Position 1551: 0.006210102265951371
Position 971: 0.005931574040793575
Position 1443: 0.005538768667708457
Position 1413: 0.005114427224336631
Position 976: 0.004955898718088583
Position 808: 0.004022081784053765
Position 869: 0.00400144851563038
Position 1695: 0.0030334183876288266
Position 1542: 0.0026978658947106006
Position 422: 0.0026920424105419945
Position 1141: 0.0021964107748365935
Position 1728: 0.0021350480902846405
Position 850: 0.002117081223195241
Position 982: 0.0016920315408498884
Position 1195: 0.001671867776702308
Position 1811: 0.001533696312969355
Position 432: 0.0014959834793558443
Position 359: 0.0011127731442274608
Position 1754: 0.0010401195181752047
Position 361: 0.0010068899407356697
Position 129: 0.0009964611379088396
Position 932: 0.0009824867495635819
Position 1087: 0.0009187648203045186
Position 948: 0.0007586602868673368
Position 81: 0.0007199036566151751
Position 1152: 0.0006462314704191079
Position 398: 0.0006104325291706608
Position 152: 0.0005494968013941144
Position 1284: 0.0004970431076544969
Position 1515: 0.0004498787054204508
Position 1583: 0.0003416576303914051
Position 1469: 0.0003167477324230979
Position 1612: 0.00031399353393540705
Position 106: 0.0002988921039905093
Position 1215: 0.00028038009268593005
Position 1001: 0.0002665881488231042
Position 377: 0.00025410680555441076
Position 1178: 0.00024435580846751703
Position 1271: 0.00022361020507941114
Position 848: 0.00021208354045308865
Position 1667: 0.00021063926538077022
Position 1586: 0.0002103133884361645
Position 1487: 0.00019824429444247917
Position 1008: 0.000195760477156903
Position 817: 0.00018587149328488044
Position 716: 0.0001766109381703244
Position 1777: 0.00011969423852821126
Position 379: 0.0001002552553931891
Position 395: 9.995986507629584e-05
Position 556: 7.312092564186682e-05
Position 579: 7.07148970654288e-05
Position 581: 6.989694250906748e-05
Position 188: 6.719809414386754e-05
Position 596: 4.5792820060343475e-05
Position 175: 3.209451198118495e-05
Position 179: 1.8460423759500342e-05
Position 887: 1.510266920578335e-05
Position 872: 1.0240009433507446e-05
Position 576: 8.306186510340861e-06
Position 285: 5.5810178830708875e-06
Position 601: 5.196528882984072e-06
Position 955: 3.852898833726797e-06
Position 863: 3.7089977004758878e-06
Position 608: 2.201263378278788e-06
Position 296: 8.866737278504662e-07
Position 407: 8.486472558974041e-07
Position 227: 5.094890305303537e-07
Position 639: 4.582183296443025e-07
Position 234: 4.0603751835217094e-07
Position 623: 3.209751483866482e-07
Position 223: 1.433783722219283e-08
Position 243: 1.404075233198757e-08
