Gene = 4930579G24Rik
index = 60
Annotated 5SS: [278]
Annotated 3SS: [2049]
SMsplice 5SS: [278]
SMsplice 3SS: [2736]
top_k =  500
Partition function (log Z): -6.882183393527967

Sorted 5' Splice Sites (High to Low Probability):
Position 278: 0.9230733696526155
Position 1696: 0.12753377051369708
Position 50: 0.1265715233552926
Position 1715: 0.08315495581145203
Position 2454: 0.07892172848404118
Position 1415: 0.0766058548415306
Position 194: 0.07226434957492657
Position 2581: 0.042825995225329115
Position 2906: 0.031356003212161775
Position 1002: 0.018351825620703963
Position 2665: 0.0071029593228738456
Position 1179: 0.005426698380800185
Position 2223: 0.0040461018635838475
Position 2547: 0.0038681105287491566
Position 1629: 0.0036992469053781668
Position 2315: 0.003079875143035294
Position 556: 0.0023994759403406967
Position 56: 0.002387511827270118
Position 1621: 0.002310136369880635
Position 996: 0.0020548943931403777
Position 2764: 0.0016896673861892528
Position 3048: 0.0016320047756657797
Position 46: 0.0013068464813041753
Position 2126: 0.0008514166290855502
Position 1257: 0.0008320131823773611
Position 788: 0.000812792745838663
Position 1302: 0.000770596480607938
Position 1111: 0.0006857171760127489
Position 319: 0.0006743077303429395
Position 74: 0.0005596400523018652
Position 79: 0.0004986989851349164
Position 2092: 0.0003344677587278995
Position 2252: 0.0003266915698560893
Position 1578: 0.0002844625178221489
Position 497: 0.00016431033891093618
Position 471: 0.0001578739649008442
Position 115: 0.00013209002128001127
Position 61: 0.00010526115973398237
Position 646: 0.00010525072129587929
Position 1325: 0.00010046168396811072
Position 284: 9.200327966969343e-05
Position 35: 6.0434201055419856e-05
Position 679: 6.022535867027751e-05
Position 1290: 3.25441409148352e-05
Position 2490: 2.0229338188064164e-05
Position 2277: 1.732497427378613e-05
Position 2329: 1.6723038626457355e-05
Position 1772: 7.697683910740541e-06
Position 257: 2.714739292370872e-06
Position 567: 2.419431124298258e-06
Position 282: 1.5142398039472985e-06
Position 231: 1.505444563825496e-06
Position 334: 1.4007384197121513e-06
Position 290: 1.3958039226268534e-06
Position 571: 1.2606012736103833e-06
Position 2154: 1.1858362214656004e-06
Position 2215: 1.1131066531146053e-06
Position 2218: 1.0799851068404517e-06
Position 1660: 9.932426810533548e-07
Position 1669: 9.518501214765002e-07
Position 1613: 9.266326500964167e-07
Position 1700: 8.973592640543864e-07
Position 343: 8.830745648449192e-07
Position 564: 5.713193932294707e-07
Position 684: 5.382000769276399e-07
Position 160: 4.2448175578336377e-07
Position 733: 3.3193871394000517e-07
Position 175: 3.2728986161719753e-07
Position 690: 3.165653412265461e-07
Position 569: 3.163850087699194e-07
Position 157: 2.0067818490544487e-07
Position 521: 1.74292731656887e-07
Position 225: 5.446542823414196e-08
Position 178: 4.938443717390538e-08
Position 239: 4.342130856283209e-08
Position 748: 2.99244828143843e-08
Position 198: 1.3723835916572607e-08
Position 1730: 3.0021755018723625e-09
Position 404: 2.5683366154462066e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2736: 0.3407629343186087
Position 2049: 0.24888353791561288
Position 1572: 0.20913858867613586
Position 2856: 0.09487922753985407
Position 164: 0.08849048127562419
Position 1324: 0.06146716198335078
Position 2859: 0.056451805365177056
Position 401: 0.05498620864569037
Position 1510: 0.05432223241854522
Position 2417: 0.04546800438893142
Position 186: 0.03881688128289295
Position 2560: 0.029585120556089486
Position 2489: 0.028466732736936486
Position 3370: 0.025734054107855543
Position 787: 0.024497204801251685
Position 3439: 0.02412407701824319
Position 2284: 0.01985364453723837
Position 2385: 0.018028049035160157
Position 3494: 0.015599511957621635
Position 1136: 0.015509896889115853
Position 2151: 0.014698734953672887
Position 2398: 0.012255824605802513
Position 1030: 0.01088220352082843
Position 530: 0.00937411376198237
Position 2890: 0.009028735878091757
Position 2098: 0.007917606562929785
Position 2131: 0.0077262237164480415
Position 1613: 0.007574917783609437
Position 3209: 0.006925706758243915
Position 1278: 0.006420319697768079
Position 2218: 0.0034343345329058096
Position 826: 0.0029149883762518503
Position 1714: 0.00285474858195743
Position 3620: 0.0024349693524553947
Position 943: 0.002255191988720408
Position 1104: 0.002150680419290509
Position 2990: 0.001974472744281075
Position 1751: 0.0017452627759614108
Position 2651: 0.001517987496020754
Position 3345: 0.0015091396841470047
Position 898: 0.001370214126740484
Position 1069: 0.0011423797146835907
Position 2472: 0.001091974786611667
Position 3265: 0.0010304250817038804
Position 1696: 0.0009831849985301737
Position 1256: 0.0009314525811597265
Position 2832: 0.0007912779806978999
Position 709: 0.0007692774795537973
Position 2512: 0.000691375114074247
Position 2660: 0.000652507957170896
Position 1541: 0.0006446596097939165
Position 1280: 0.0006118838594761871
Position 414: 0.0005930221735865589
Position 1445: 0.0005363649458797043
Position 2897: 0.0005080106703395874
Position 1243: 0.0004883544300090211
Position 2255: 0.00042710131036915284
Position 112: 0.000420129560678922
