Gene = Shfl
index = 975
Annotated 5SS: [ 295  812 1012 2594 2884 4330 4623]
Annotated 3SS: [ 687  961 2554 2733 4225 4467 4899]
SMsplice 5SS: [ 295  812 1012 2594 2884 4330 4623]
SMsplice 3SS: [ 687  961 2554 2733 4225 4467 4842]
top_k =  500
Partition function (log Z): 3.4762402782082553

Sorted 5' Splice Sites (High to Low Probability):
Position 4330: 0.9462617747674732
Position 812: 0.8958283210635677
Position 4623: 0.8616069651702625
Position 1012: 0.8061061334631479
Position 2594: 0.6113803687440819
Position 2884: 0.543872066972166
Position 295: 0.4106285253999206
Position 109: 0.25892985331951635
Position 2621: 0.25228278700799545
Position 2851: 0.22294593960315076
Position 57: 0.1956909669385473
Position 1074: 0.1569682003317174
Position 2636: 0.10612382379486608
Position 258: 0.0642554946190481
Position 4748: 0.040470288260757534
Position 5113: 0.02528325955780309
Position 2856: 0.018949132949889452
Position 2866: 0.014424479237298053
Position 2947: 0.007636798497570282
Position 2982: 0.007425107435810511
Position 3041: 0.007424048628699191
Position 1130: 0.006619682001809476
Position 2700: 0.00633732289289174
Position 1719: 0.006088835939491071
Position 2843: 0.004516788669392761
Position 2228: 0.004232614905826294
Position 4634: 0.004051953726646761
Position 405: 0.0028648365458764096
Position 2969: 0.0026949554194966654
Position 1310: 0.002565516090436531
Position 807: 0.0025634416704310953
Position 3948: 0.0025425152836324695
Position 421: 0.0014923369217852097
Position 1368: 0.0014230808353126229
Position 1614: 0.001367676304059198
Position 4942: 0.0011498158294483893
Position 1178: 0.0011232350249141753
Position 826: 0.0009671676567930635
Position 121: 0.0008934317520620486
Position 398: 0.0008658538199155947
Position 143: 0.0007032282284745095
Position 2038: 0.0006477959337862552
Position 3045: 0.0006290724790123252
Position 2984: 0.0006190202792533897
Position 359: 0.000562467305058068
Position 5339: 0.0005555757591648039
Position 2826: 0.0005432685732737829
Position 630: 0.0005212982503812561
Position 2652: 0.0004558537408024605
Position 4507: 0.00043291786646203504
Position 2393: 0.0003891367079459858
Position 2598: 0.0003207927584296515
Position 154: 0.00031612478392351414
Position 2602: 0.0002781773899225731
Position 1134: 0.00025278727504964385
Position 1198: 0.00024184186360528238
Position 1241: 0.00022349707733615153
Position 842: 0.00015039338065016693
Position 1661: 0.00014079198529756337
Position 5140: 0.00012923243167465648
Position 614: 0.00011796529838344832
Position 393: 9.266129918523388e-05
Position 1549: 8.271993693959927e-05
Position 846: 7.433276522143841e-05
Position 1799: 7.35317728932406e-05
Position 385: 6.691406730180087e-05
Position 1643: 5.757094357956727e-05
Position 816: 5.741914983765774e-05
Position 513: 5.7202263164533045e-05
Position 1637: 4.777557191647278e-05
Position 1078: 4.6455774427169936e-05
Position 1025: 4.106859295469131e-05
Position 768: 3.4507724045146396e-05
Position 733: 3.092336523429023e-05
Position 720: 2.464981178503644e-05
Position 168: 1.9899481269208466e-05
Position 4557: 1.929214649521829e-05
Position 4842: 1.5327739678206933e-05
Position 18: 1.3495055049509155e-05
Position 260: 1.3077157177334033e-05
Position 609: 1.1144246403416214e-05
Position 289: 1.0048054067134858e-05
Position 790: 5.452104424777737e-06
Position 865: 3.6428977018947018e-06
Position 805: 2.6738369553870556e-06
Position 735: 1.9810909002285557e-06
Position 4789: 1.9046135193962386e-06
Position 700: 1.3253424434360457e-06
Position 851: 9.495400385553838e-07
Position 8: 3.432951769604845e-07
Position 1057: 7.073411275134381e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2554: 0.9620844117319726
Position 4225: 0.937795715245881
Position 961: 0.9224034799101553
Position 4467: 0.7893667843358333
Position 2733: 0.7839701449012292
Position 687: 0.7406698496876882
Position 4899: 0.3509686779818451
Position 4842: 0.35077188166461826
Position 4881: 0.05701330338983564
Position 152: 0.043907872424625745
Position 4937: 0.04215818779778804
Position 4441: 0.04071150442725906
Position 4728: 0.032515869342717996
Position 4702: 0.03242618706613969
Position 901: 0.030712638833415667
Position 2767: 0.028698155668932267
Position 664: 0.02786809434062645
Position 4480: 0.027671086766009198
Position 4857: 0.025849717362622714
Position 4996: 0.02492484571492091
Position 4993: 0.024326141244546955
Position 4451: 0.02114066012466295
Position 5604: 0.016823385707488443
Position 4664: 0.01363759127759557
Position 4575: 0.013382763101100372
Position 4965: 0.010092766661827682
Position 4705: 0.008931258126686407
Position 5190: 0.008817251550919133
Position 2444: 0.008122168877671183
Position 4248: 0.007965357440251118
Position 226: 0.006795108817546886
Position 2789: 0.006662787211351574
Position 1097: 0.006238988653575767
Position 2381: 0.005800447862976823
Position 4598: 0.004831548958512349
Position 5271: 0.004790359661430532
Position 936: 0.0044910488006566565
Position 1548: 0.004490505648215194
Position 857: 0.0037585871872794978
Position 247: 0.003512319617800677
Position 4901: 0.0034520554202699723
Position 4939: 0.0032237496929383835
Position 1659: 0.0031437760162246523
Position 2088: 0.0031186995779267476
Position 207: 0.0030592656963610216
Position 2691: 0.0029866593991015253
Position 5281: 0.002864233261234238
Position 2280: 0.0027081227071182406
Position 4604: 0.002641917156387065
Position 2503: 0.0023750040644066775
Position 3742: 0.002269297746579172
Position 2737: 0.0021693443378900954
Position 4786: 0.0021395556266328285
