Gene = Leng1
index = 631
Annotated 5SS: [ 525 2159 3070]
Annotated 3SS: [1978 2815 4479]
SMsplice 5SS: [ 525 2159]
SMsplice 3SS: [1978 4479]
top_k =  500
Partition function (log Z): -2.425742049309526

Sorted 5' Splice Sites (High to Low Probability):
Position 2159: 0.9900141428920551
Position 525: 0.9661451968934175
Position 3070: 0.5369535398888781
Position 4577: 0.28823730138189657
Position 2667: 0.04512819569898856
Position 2838: 0.04426484485509532
Position 1887: 0.039723681468620056
Position 3083: 0.03675311418242559
Position 201: 0.024198214096354233
Position 3235: 0.02329356839353477
Position 2723: 0.012780527282206406
Position 4565: 0.01171588321616707
Position 1339: 0.009794692280716302
Position 2681: 0.00813780954293469
Position 586: 0.007301548124129205
Position 3204: 0.005366471214036716
Position 2272: 0.005165732077592577
Position 107: 0.005128673576833258
Position 1730: 0.005083107446588329
Position 1259: 0.005020251297602527
Position 4182: 0.004755000728166034
Position 3538: 0.004684511393348808
Position 3126: 0.004646382387182555
Position 378: 0.004257331330051902
Position 823: 0.0034771420558893395
Position 3814: 0.002339318954505017
Position 2893: 0.0022808061346392267
Position 131: 0.0018721424441038785
Position 423: 0.0015970478733127198
Position 450: 0.0015620649956105857
Position 2698: 0.0015241222194421747
Position 3172: 0.0014413974527326138
Position 2525: 0.0012225361090279234
Position 4230: 0.0011334567423002299
Position 90: 0.0010661113635702737
Position 504: 0.0010110849682608675
Position 4595: 0.001007772658384113
Position 3571: 0.0009999786470883344
Position 2717: 0.0009631766442269071
Position 5136: 0.0008752571537985079
Position 969: 0.0008235210795642356
Position 4323: 0.0008013863108382145
Position 2709: 0.0007995325394648459
Position 4119: 0.0007884009539839408
Position 1649: 0.0006879391359258657
Position 2746: 0.000664532265373393
Position 3109: 0.0006606237875606414
Position 1422: 0.0005951568558487799
Position 573: 0.0005699827562333928
Position 25: 0.0005697276862462997
Position 952: 0.000556621634880778
Position 2573: 0.0005342968400811758
Position 187: 0.0004798747857775286
Position 1720: 0.0004380177587339865
Position 5188: 0.0003985200472266356
Position 3018: 0.00034324019105520933
Position 761: 0.0003326980366436105
Position 3027: 0.00032397701931443463
Position 179: 0.0002793286172858225
Position 2061: 0.00027732397032297654
Position 1503: 0.00026539273444279226
Position 1602: 0.0002618821784097625
Position 736: 0.00022426192131065636
Position 349: 0.00021640137655266065
Position 843: 0.00018131223042962364
Position 887: 0.00017807548136469353
Position 70: 0.00017045482220937
Position 1511: 0.00016290837664027725
Position 309: 0.00013147157825488075
Position 3597: 0.00011356475418002743
Position 590: 0.00010647009762720709
Position 1983: 0.00010279569549639246
Position 2194: 9.832324181242376e-05
Position 359: 9.051876250584365e-05
Position 828: 8.261186100600484e-05
Position 4142: 7.549269553935929e-05
Position 4283: 6.434500138159081e-05
Position 1472: 6.21486297295373e-05
Position 441: 5.91942096883549e-05
Position 1437: 5.7939628839769945e-05
Position 1417: 3.4906506075554565e-05
Position 57: 3.409053181717209e-05
Position 371: 3.177347332264565e-05
Position 905: 3.101906710702706e-05
Position 274: 3.064194547970305e-05
Position 4418: 2.3380984193304795e-05
Position 2224: 2.3250709710481894e-05
Position 41: 2.1664770015835092e-05
Position 2364: 1.3774004484570595e-05
Position 136: 1.1293415486393065e-05
Position 4435: 9.139463036580395e-06
Position 2080: 8.568805374798785e-06
Position 2111: 8.266352024507473e-06
Position 2386: 6.539803026402764e-06
Position 2213: 2.7340851599480995e-06
Position 2488: 1.5556242969627783e-06
Position 1928: 9.36660657486007e-07
Position 2163: 8.822024755815725e-07
Position 2431: 8.66147329949925e-07
Position 2335: 4.245304367369328e-07
Position 2588: 4.054705270378368e-07
Position 2180: 3.746854425657087e-07
Position 2276: 3.109047298382774e-07
Position 2207: 3.0302927230557925e-07
Position 2280: 1.6548197894517114e-07
Position 594: 1.4380105324647437e-07
Position 604: 7.182084797788049e-08
Position 621: 6.897800776216494e-08
Position 660: 6.411729948780252e-08
Position 592: 4.13947195757641e-08
Position 723: 2.0767816100466398e-08
Position 662: 3.897393730328173e-10
Position 2072: 1.0063076836399603e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4479: 0.9479021778744848
Position 1978: 0.8786616290593763
Position 2933: 0.3209295785581065
Position 2815: 0.2416244620037232
Position 2572: 0.09278565195149295
Position 1937: 0.08082556433903396
Position 4851: 0.06846443170810672
Position 5037: 0.06082425432275634
Position 2655: 0.04519084141845944
Position 4843: 0.025800373200403695
Position 2909: 0.02307144234422813
Position 5320: 0.019854950613344146
Position 4946: 0.019826768156893895
Position 1878: 0.018671710082408817
Position 2899: 0.018637330412275017
Position 5092: 0.018468210943762463
Position 4785: 0.013044038003825554
