Gene = Veph1
index = 1178
Annotated 5SS: [   235  32956  41956  52360  81427  91362 124872 137609 138928 171009
 175251 209137 235782]
Annotated 3SS: [ 32670  41739  52184  81259  91151 124650 137398 138529 170868 175115
 209018 235644 239495]
SMsplice 5SS: [    43  32956  41956  52360  60194  73019  81427  85498  91362 109378
 124872 137609 138661 158071 163134 171009 174784 175251 183162 183380
 186865 197015 202388 209137 215349 222523 231976 235782]
SMsplice 3SS: [ 32670  41739  52184  60088  72926  81259  85392  91151 109228 124650
 137398 138529 157960 163043 170868 174667 175145 183091 183282 186750
 196892 202196 209018 215245 222405 231800 235644 242636]
top_k =  500
Partition function (log Z): -142.43361769093934

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.5732805684862715
Position 5282: 0.5323709597289228
Position 1608: 0.48000658000866675
Position 235: 0.4187564127162698
Position 4378: 0.3180260838283449
Position 3787: 0.23210416852970692
Position 4500: 0.08619625242548233
Position 677: 0.08529640160635507
Position 7192: 0.029631636320777324
Position 6540: 0.01812636014300459
Position 2112: 0.017430655217272058
Position 6343: 0.011222733973936133
Position 7452: 0.00727292430527267
Position 401: 0.006520000950290133
Position 1435: 0.006002974889704843
Position 290: 0.002150447419678972
Position 5362: 0.001421837909622796
Position 1293: 0.0006958970662631599
Position 405: 0.0005320959157846104
Position 339: 0.0004460817826581671
Position 741: 0.00041497779042290537
Position 907: 0.00035690946521356714
Position 384: 0.00026319933290545476
Position 698: 0.0002250326935052069
Position 1094: 0.00021453121982875672
Position 417: 0.00019305563369669714
Position 1214: 0.00017438951038408086
Position 700: 0.00015160108155261328
Position 918: 0.00014973431899057123
Position 862: 7.307357872797759e-05
Position 411: 7.126070723096771e-05
Position 641: 6.9204170655918e-05
Position 682: 6.290431138951161e-05
Position 415: 6.262555940670079e-05
Position 1971: 6.071930919751039e-05
Position 1718: 3.809529572956262e-05
Position 152: 2.8090253464772463e-05
Position 280: 2.3534033104432056e-05
Position 171: 2.20510589193749e-05
Position 159: 1.95815839687151e-05
Position 149: 1.7847780463094312e-05
Position 460: 1.5615848518252486e-05
Position 218: 1.3561552073044778e-05
Position 421: 1.1354894319953274e-05
Position 399: 9.51115991668946e-06
Position 1581: 8.087272500736283e-06
Position 225: 7.779093677147273e-06
Position 97: 6.0980404681673624e-06
Position 220: 5.965708069975254e-06
Position 173: 4.517245781319384e-06
Position 201: 3.92230462939211e-06
Position 47: 3.0445638743886146e-06
Position 467: 2.36768907109047e-06
Position 17: 1.9168131257474944e-06
Position 419: 1.755788351128515e-06
Position 1585: 1.5536449520086347e-06
Position 263: 1.3893662474689988e-06
Position 523: 1.1378170933434278e-06
Position 243: 1.0451803822891812e-06
Position 551: 8.072964574675736e-07
Position 464: 4.844145830325641e-07
Position 255: 4.6456391309382137e-07
Position 521: 2.7720530479306656e-07
Position 431: 1.9355722577082983e-07
Position 505: 5.865689035345033e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 5175: 0.5378848740671617
Position 1520: 0.26065059136264107
Position 4241: 0.23220200634237417
Position 3687: 0.22554450634806467
Position 1497: 0.19918054387532336
Position 7055: 0.1381398309313547
Position 6974: 0.11319050500985986
Position 10456: 0.11112983140259923
Position 7703: 0.10331637432316763
Position 11009: 0.09985540334570081
Position 632: 0.08714467028420853
Position 6239: 0.06394702545783491
Position 9139: 0.059610367900875864
Position 8787: 0.04646037323838272
Position 10172: 0.043790624987263084
Position 4130: 0.03931411955595817
Position 7307: 0.03724810457075596
Position 4325: 0.036925209492593494
Position 4278: 0.029326143034930866
Position 9551: 0.028938110413689582
Position 4244: 0.027381419975027646
Position 5777: 0.02686013441706527
Position 4282: 0.025076059010188948
Position 6742: 0.02165395872030617
Position 5447: 0.02113700632892221
Position 1372: 0.018029181010223008
Position 6500: 0.017668620667528872
Position 4083: 0.015777925916899638
Position 5953: 0.01340842318044321
Position 6856: 0.010373925336231358
Position 7519: 0.00953167961722938
Position 6609: 0.008648138667020211
Position 7685: 0.008569679802725947
Position 7025: 0.007149536794473837
Position 8560: 0.0067357603264748805
Position 8873: 0.006596533276574652
Position 2473: 0.005657103908886087
Position 1857: 0.005653193131326599
Position 271: 0.005129195860026332
Position 8502: 0.004879765550201415
Position 3746: 0.004091446394642182
Position 3692: 0.0035768504279231135
Position 7323: 0.0034927656639223968
Position 4299: 0.003308558932599167
Position 1671: 0.0032558420813043336
Position 5576: 0.0032350916366773383
Position 1978: 0.0030951187267940993
Position 1563: 0.0029894877525260466
Position 9169: 0.002889920990158698
Position 3046: 0.0024943847718459956
Position 1482: 0.0023775837434821395
Position 268: 0.002286521507563667
Position 1966: 0.002286448443850667
Position 2944: 0.0021267296845423936
Position 5103: 0.0020628911421017564
Position 6206: 0.0019152219496932203
Position 4434: 0.0018094706780935996
Position 492: 0.0017323583889778697
Position 1327: 0.001572249452144037
Position 1825: 0.0015424450282834478
Position 8100: 0.0014980278253710225
Position 2012: 0.0012029801419281088
Position 2061: 0.00104241362663506
Position 1292: 0.0010193383212133303
Position 1952: 0.0009020391085855338
Position 5552: 0.000895535436331574
Position 4987: 0.0008399753787637719
Position 601: 0.0008094606530096939
Position 1786: 0.0005709863207868828
Position 4453: 0.0005400601611589584
Position 1860: 0.000530066765469421
Position 431: 0.000504457712646958
Position 1008: 0.000495081379949802
Position 116: 0.0004920969988481403
Position 121: 0.0004440295215266676
Position 1385: 0.0004403471591828858
Position 3139: 0.00043919922935595966
Position 165: 0.0004284859359180249
Position 1375: 0.0003790926234350612
Position 1607: 0.00036841747260930044
Position 2716: 0.00033850517800680126
Position 1921: 0.0003096890126294124
Position 484: 0.00028929471302020234
Position 860: 0.0002887547689806443
Position 584: 0.0002627793992173245
Position 1210: 0.00025009802186258507
Position 1359: 0.00024287511579336088
Position 3082: 0.00024053228405944416
