Gene = Thy1
index = 1079
Annotated 5SS: [  93 2635 3569]
Annotated 3SS: [2572 3229 3954]
SMsplice 5SS: [93]
SMsplice 3SS: [3954]
top_k =  500
Partition function (log Z): -8.020153935994802

Sorted 5' Splice Sites (High to Low Probability):
Position 93: 0.6985356380761302
Position 2635: 0.5139841817684574
Position 470: 0.35688751358275117
Position 1569: 0.15549542683387685
Position 402: 0.09478168285332493
Position 1255: 0.06413022129890947
Position 1971: 0.050184669734704514
Position 1765: 0.03977862048157791
Position 3569: 0.03420396838003071
Position 4135: 0.02786437285267749
Position 3256: 0.020226579997390463
Position 383: 0.01821573219842716
Position 230: 0.01756785998132387
Position 3174: 0.012353378615691168
Position 2738: 0.012295525546805432
Position 1714: 0.010483327817909135
Position 246: 0.007922198618822535
Position 2648: 0.004030868912975833
Position 3280: 0.003616491639578487
Position 1192: 0.003606286469880869
Position 240: 0.003062306254169036
Position 3457: 0.002543065385210613
Position 3603: 0.0022836439804204208
Position 3414: 0.0019975766823689114
Position 1546: 0.0018207490020340537
Position 4885: 0.001779365908507976
Position 3188: 0.0005823187007937728
Position 3506: 0.0005263844783934408
Position 454: 0.0002459757323419973
Position 946: 0.000169161592762119
Position 1670: 6.0076628601824393e-05
Position 308: 4.017592287646228e-05
Position 617: 3.3976691116155e-05
Position 2727: 3.095046470479176e-05
Position 171: 2.8386533493405284e-05
Position 4103: 2.651616206517207e-05
Position 434: 2.5202700204084374e-05
Position 3238: 2.3625735687011414e-05
Position 582: 1.777338104912378e-05
Position 36: 1.7367342892441808e-05
Position 10: 1.631345179767373e-05
Position 622: 1.5373493571109744e-05
Position 87: 1.441782926059348e-05
Position 262: 1.0898676451706053e-05
Position 380: 1.0625714261401336e-05
Position 679: 1.0383366549610789e-05
Position 357: 7.42264539521852e-06
Position 486: 6.979580707180428e-06
Position 312: 6.171816956721174e-06
Position 746: 5.610347858659679e-06
Position 1753: 3.320359345673852e-06
Position 1852: 3.2329999550997967e-06
Position 688: 2.976995231093608e-06
Position 981: 2.4737841898459204e-06
Position 423: 1.5128657631152204e-06
Position 269: 1.4666037577588295e-06
Position 53: 9.337016682710852e-07
Position 667: 6.134730443258953e-07
Position 657: 5.526193784821624e-07
Position 406: 4.7829381643935035e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 3954: 0.4709406949955221
Position 2542: 0.33996694744226624
Position 2572: 0.17200869059344545
Position 3237: 0.166287319599688
Position 306: 0.15839245041099073
Position 1032: 0.1251247732740125
Position 1452: 0.10642677622695197
Position 3173: 0.08815891946338228
Position 4786: 0.05967679876590485
Position 4972: 0.04317798493474835
Position 1594: 0.04207007610953116
Position 1414: 0.041215478783717445
Position 3209: 0.027202821001277494
Position 1075: 0.0267838597307554
Position 2557: 0.026768718743329735
Position 5099: 0.02545241376935425
Position 1839: 0.021373586501325426
Position 1516: 0.020195907414884945
Position 1658: 0.019033921277740267
Position 308: 0.0189026222885998
Position 3834: 0.018116120669530292
Position 3059: 0.014524854400947718
Position 3444: 0.013314244489611191
Position 4800: 0.013112273018576714
Position 365: 0.011691815214746222
Position 1696: 0.011047112082990208
Position 4139: 0.010965900357950102
Position 4117: 0.007868219437473529
Position 4945: 0.0071362260736930905
Position 2634: 0.006603772202248735
Position 1060: 0.005736294497183523
Position 4209: 0.005471413444686454
Position 894: 0.004016450325717201
Position 4044: 0.003043406410713327
Position 1896: 0.0029254809029904995
Position 245: 0.002745264586474628
Position 380: 0.002193564268563755
Position 1095: 0.0020858023958591934
Position 2506: 0.0020226850622888193
Position 4318: 0.0016492804746145976
Position 678: 0.001570761201002883
Position 1142: 0.0010809641769805142
Position 239: 0.0010384076919390862
Position 190: 0.0009206852097522644
Position 323: 0.0009017395616538025
Position 2870: 0.0008584393370367827
Position 797: 0.0007812218816583928
Position 869: 0.0007475316020232422
Position 4438: 0.0007399542676755884
Position 1798: 0.0007100089550832165
Position 5020: 0.0005926147423461
Position 3822: 0.000564748959328509
Position 5005: 0.0005418184713505822
Position 2712: 0.0005267983481549034
Position 2799: 0.0005083686662681418
Position 430: 0.00045452159937556404
Position 171: 0.00038258974701723243
Position 1268: 0.00037032808924766455
Position 3151: 0.0003515530558451301
Position 3123: 0.0003111952591949446
Position 469: 0.0003104295889746378
Position 2058: 0.00022979593602074743
Position 229: 0.00017441836176319164
Position 753: 0.00014571489469804478
Position 827: 0.00014330081350295474
Position 1013: 0.000126198370407361
Position 262: 0.00011794251116077487
Position 1317: 0.00010348123233799827
Position 345: 0.00010081747412452054
Position 1113: 9.348694780479612e-05
Position 1233: 8.600127623721593e-05
Position 332: 6.447046479115222e-05
Position 320: 6.152116226489017e-05
Position 392: 5.985164828131017e-05
Position 1186: 5.836232145995222e-05
Position 401: 5.291894776164792e-05
Position 1300: 4.708140166471332e-05
Position 1175: 4.325857067405049e-05
Position 350: 3.1447975828415915e-05
Position 252: 2.8630376053278834e-05
Position 258: 2.6187762824003226e-05
Position 1305: 2.452163745471838e-05
Position 182: 2.1417444100969278e-05
Position 165: 1.7158553938683718e-05
Position 226: 1.0642926300865275e-05
Position 336: 7.565496456960536e-06
Position 398: 7.533081871862298e-06
Position 1191: 5.973400275456465e-06
Position 254: 5.77556950980853e-06
Position 423: 3.5143047367079957e-06
Position 1154: 2.7523334068525337e-06
Position 1238: 2.0793614287262374e-06
Position 419: 4.983516887546599e-07
Position 394: 2.2384116482647221e-07
Position 642: 1.6988372976945422e-07
Position 528: 7.583050360875613e-08
Position 155: 1.2538554748728814e-08
Position 510: 1.5782995512145373e-10
Position 495: 9.509752680217846e-11
