Gene = Irgq
index = 594
Annotated 5SS: [ 216 1227]
Annotated 3SS: [ 694 2576]
SMsplice 5SS: [ 216  782 1227 2683]
SMsplice 3SS: [ 694 1143 2576 3007]
top_k =  500
Partition function (log Z): -6.0354161436814255

Sorted 5' Splice Sites (High to Low Probability):
Position 2683: 0.7672073164525522
Position 1227: 0.6179980901143791
Position 782: 0.5989667564049762
Position 4415: 0.5650075926458709
Position 216: 0.34838553847737463
Position 3950: 0.29933705962450274
Position 872: 0.1798997593982199
Position 87: 0.14990418366858296
Position 269: 0.1279561122914692
Position 3092: 0.10483051086512794
Position 3620: 0.10089521800685387
Position 3193: 0.1006944762598585
Position 2749: 0.07126904675008795
Position 3921: 0.05282156809659118
Position 220: 0.04264889857142461
Position 2798: 0.0415114160327526
Position 156: 0.03991520610829299
Position 799: 0.03805387734126962
Position 2986: 0.036263502913284576
Position 3592: 0.03583914197344655
Position 2123: 0.02983450725301317
Position 3800: 0.028875259840537716
Position 2693: 0.027266758013981672
Position 2679: 0.02466462839116384
Position 91: 0.015271392023398384
Position 3061: 0.012556726074388697
Position 460: 0.010948166933078828
Position 4110: 0.007501813746064633
Position 468: 0.006057146601969612
Position 4914: 0.0050365086482350935
Position 1499: 0.004779949217620537
Position 1844: 0.003715619851513403
Position 3695: 0.0031456581102048335
Position 111: 0.0031382492914079413
Position 489: 0.0031243220603291272
Position 4420: 0.002513695015343783
Position 931: 0.002247033917554532
Position 580: 0.002133839406880707
Position 3983: 0.001825902020823907
Position 264: 0.00169020608553892
Position 4542: 0.0016050917031905196
Position 279: 0.0015646839250351894
Position 1192: 0.0014582700447564089
Position 1653: 0.00141046960571959
Position 119: 0.0013438091000335516
Position 164: 0.001332932575714908
Position 3023: 0.0013117849059736783
Position 422: 0.0012376401935605046
Position 1914: 0.0011492970136985875
Position 185: 0.0010073005004482601
Position 2104: 0.0009888809478883224
Position 479: 0.0009064665814778167
Position 2731: 0.000808122844894289
Position 3577: 0.0007961458004995892
Position 70: 0.0007774973733111237
Position 3807: 0.0007170972631292019
Position 2639: 0.0007034266315389474
Position 256: 0.000602058937114058
Position 499: 0.0005478880913086811
Position 2657: 0.00045613776014964783
Position 1596: 0.00041816762050263625
Position 481: 0.0002903200165563586
Position 393: 0.00027541080035232377
Position 2860: 0.000267947592793367
Position 198: 0.0002071760396440752
Position 2676: 0.00020526314800824186
Position 587: 0.00020095652943346955
Position 2635: 0.00016359321310289247
Position 1283: 0.00016329341483905274
Position 560: 0.00014650777572710566
Position 832: 0.00012439598971293833
Position 2778: 0.00011384715534782115
Position 574: 0.00011331521768389765
Position 1238: 8.131311457753642e-05
Position 403: 7.787439560428686e-05
Position 713: 6.225158278267711e-05
Position 2608: 5.697226113343103e-05
Position 200: 5.6909079455645175e-05
Position 380: 5.1340318521902755e-05
Position 385: 3.710572488222903e-05
Position 285: 2.8813267423634496e-05
Position 491: 2.8334840407979326e-05
Position 646: 1.9213912582658042e-05
Position 621: 1.7779764906316346e-05
Position 333: 1.6404064908027027e-05
Position 299: 1.333411038477841e-05
Position 2758: 8.630210993022933e-08
Position 49: 7.679845670335425e-08
Position 790: 1.300468969507099e-08
Position 331: 1.1672388974470437e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2576: 0.9324712351569133
Position 4264: 0.6516402242528667
Position 694: 0.6029722834868176
Position 3847: 0.41017016730016786
Position 3007: 0.3290278461157679
Position 1106: 0.27265815760259815
Position 5004: 0.19692371641903522
Position 1154: 0.14993261849678127
Position 3508: 0.07238688996309835
Position 5104: 0.0654521550150617
Position 6991: 0.06065518404690345
Position 4564: 0.05901705892672635
Position 2595: 0.050940627535874965
Position 2848: 0.04435568198072983
Position 6602: 0.0414411168088853
Position 711: 0.039393409956831625
Position 3462: 0.038109318583663315
Position 5870: 0.0322330961798543
Position 7380: 0.03215395766741353
Position 3694: 0.030992170150021783
Position 3283: 0.02786057954751683
Position 895: 0.02667782928514395
Position 979: 0.025934465975405517
Position 7067: 0.022756057029775772
Position 6430: 0.020996982010487712
Position 7714: 0.01718794476099675
Position 564: 0.01701133573195925
Position 7611: 0.015694296864084543
Position 1992: 0.013832000311661628
Position 1157: 0.013746636631349597
Position 2968: 0.01317846286770295
Position 6320: 0.012965394374802324
Position 4650: 0.012298270380359067
Position 946: 0.00918176535443483
Position 994: 0.008723819889299775
Position 1740: 0.00851432051289373
Position 5739: 0.008445160866928023
Position 7020: 0.008160342554351635
Position 5903: 0.007740590334907771
Position 1940: 0.007511942820454587
Position 6542: 0.007424049399249807
Position 5371: 0.006404767748117746
Position 3949: 0.0060834714952198695
Position 7173: 0.0059466235361554706
Position 6179: 0.005478794198597087
Position 1062: 0.0054085544023933715
Position 5100: 0.005245372154694189
Position 5120: 0.004976837678548683
Position 1013: 0.004573330568355626
Position 1117: 0.00400087570843046
Position 195: 0.003659657869919314
Position 4355: 0.0036501717007492644
Position 5394: 0.003409650819704902
Position 1458: 0.0033929046658809484
Position 4679: 0.0033280664702459335
Position 2535: 0.003281048419186122
Position 5664: 0.0032039629872367918
Position 3247: 0.00297680557727778
Position 4903: 0.0028480954095744153
Position 5285: 0.00283615081071049
Position 1372: 0.0028064727834555556
Position 4515: 0.00256870800825867
Position 1093: 0.0024675350904381273
Position 2005: 0.002441938778569914
Position 7529: 0.0024398909810921555
Position 5831: 0.0023244070921375473
Position 1881: 0.002145356170646196
Position 364: 0.0016293409623545688
Position 1054: 0.0015521449889660571
Position 318: 0.001377478785097789
Position 756: 0.0012682406261714098
Position 4312: 0.0012284412139614525
Position 2023: 0.0012108738655816716
Position 1160: 0.0011708545879255145
Position 6232: 0.0011309527368012515
Position 4913: 0.0011037736145292935
Position 1015: 0.0009045232735916292
Position 519: 0.000883175384381639
