Gene = Cd3eap
index = 238
Annotated 5SS: [ 94 392]
Annotated 3SS: [ 249 1464]
SMsplice 5SS: [  94  392 1601]
SMsplice 3SS: [ 249 1464 1696]
top_k =  500
Partition function (log Z): -2.109622095373415

Sorted 5' Splice Sites (High to Low Probability):
Position 392: 0.9880636167887973
Position 94: 0.8477924636067778
Position 1605: 0.3471452243522735
Position 177: 0.09828693610673855
Position 1845: 0.0728276171978469
Position 1544: 0.06496794814053672
Position 79: 0.034031558363057615
Position 1788: 0.03106491751689979
Position 2069: 0.014725591157327203
Position 138: 0.011119596706295724
Position 1928: 0.007608830349041034
Position 1807: 0.006778204336448964
Position 144: 0.004319524628025867
Position 1951: 0.003966467621315418
Position 1833: 0.003879944576837313
Position 764: 0.0026537087071473813
Position 337: 0.0024291669997684416
Position 1917: 0.0019914431220152884
Position 44: 0.0015498126674252358
Position 2408: 0.001155190439264649
Position 776: 0.0011531121638873013
Position 155: 0.0008292634361900655
Position 113: 0.0007444789756554611
Position 699: 0.000724606126432633
Position 1901: 0.00046611960497548364
Position 1166: 0.000459624613878498
Position 1350: 0.00042501118902600843
Position 24: 0.00028697647498702295
Position 2181: 0.0002190646503856762
Position 1435: 0.00018179319893002358
Position 1557: 0.00015882000120573934
Position 1000: 9.35014353514282e-05
Position 1190: 8.304685371094671e-05
Position 98: 7.776315373294314e-05
Position 1287: 7.386442250497634e-05
Position 1320: 6.982700438835347e-05
Position 896: 6.676533537817813e-05
Position 398: 4.505533064180851e-05
Position 192: 3.790613469862279e-05
Position 471: 3.468660573805143e-05
Position 1003: 3.060626491655674e-05
Position 250: 2.6943038047753658e-05
Position 51: 2.1208419518120994e-05
Position 1635: 1.703446670599094e-05
Position 675: 1.6329474774859915e-05
Position 21: 1.4868259405342649e-05
Position 204: 1.3792046310339736e-05
Position 1877: 1.259239379157516e-05
Position 396: 1.118279892070804e-05
Position 353: 9.541204894912415e-06
Position 1172: 8.876054486228005e-06
Position 770: 8.860618771011968e-06
Position 740: 8.41832794498606e-06
Position 1252: 5.830864348152205e-06
Position 893: 5.352522849535618e-06
Position 977: 5.079273498615089e-06
Position 808: 4.7882928638854844e-06
Position 909: 4.654629258757186e-06
Position 1505: 4.526770255028074e-06
Position 1685: 3.997833159133335e-06
Position 1659: 3.604631568546728e-06
Position 768: 2.9068424092812995e-06
Position 290: 2.627400875572284e-06
Position 313: 2.581297985887731e-06
Position 749: 1.7831855579637187e-06
Position 1295: 1.760384895942203e-06
Position 33: 1.751780226300497e-06
Position 841: 1.6331885700060336e-06
Position 852: 1.4607655696038134e-06
Position 260: 1.171123007713655e-06
Position 1710: 9.440675612580501e-07
Position 238: 4.3357029535863676e-07
Position 1481: 2.711689417334235e-07
Position 607: 1.4924070011851508e-07
Position 1094: 1.460144119789781e-07
Position 886: 1.2535292839064006e-07
Position 945: 1.1589840188339689e-07
Position 213: 7.641727130122969e-09
Position 464: 2.7321191192833317e-10
Position 526: 5.257043569964592e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 249: 0.99422546127978
Position 1464: 0.5809502258474234
Position 1696: 0.5778614598922208
Position 1963: 0.0953820742031067
Position 2935: 0.03675653295381922
Position 1925: 0.030273707086446035
Position 1635: 0.017128772381727806
Position 2025: 0.01646837112958291
Position 1501: 0.015615937689769828
Position 1767: 0.014431821283105013
Position 2383: 0.013401468380741122
Position 2257: 0.013313161404204183
