Gene = Ly96
index = 652
Annotated 5SS: [  187  3341 12491 17793]
Annotated 3SS: [ 3250 12361 17739 21005]
SMsplice 5SS: [  187  3341 11049 12278 12491 20070]
SMsplice 3SS: [ 3250 10892 12122 12361 19957 20241]
top_k =  500
Partition function (log Z): -17.228247314137658

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.7657050891681375
Position 3341: 0.7196474483023703
Position 3907: 0.3898054221660855
Position 3685: 0.2282353855231693
Position 1780: 0.13385019986815427
Position 339: 0.11772786208086786
Position 287: 0.08067780935177764
Position 2561: 0.03326851558434677
Position 2337: 0.02829545965544291
Position 56: 0.02453975360991882
Position 3088: 0.016774801995964744
Position 3715: 0.016360154649306693
Position 6783: 0.015594167623705246
Position 301: 0.011913921983645298
Position 2391: 0.01044035800102782
Position 4037: 0.007312780907291593
Position 5501: 0.005740475089175662
Position 5472: 0.005564460889468193
Position 467: 0.004791185491734501
Position 308: 0.004629555496216581
Position 1431: 0.004380375579414587
Position 2074: 0.0038838036945959514
Position 2093: 0.003404402235955405
Position 1349: 0.0030863820088563735
Position 4277: 0.002934281031770082
Position 1538: 0.002672959365938957
Position 1840: 0.0021148784920509206
Position 553: 0.0018778166211875168
Position 237: 0.0014542284804699998
Position 2464: 0.0013521806162972176
Position 3156: 0.0008745121180351095
Position 1409: 0.0006892553795636239
Position 3753: 0.0006631759219055172
Position 3122: 0.000614547148123458
Position 1461: 0.0005303757439538725
Position 946: 0.00041389848540552697
Position 3021: 0.00033441290976267906
Position 1299: 0.0002904962335077074
Position 77: 0.00011640163403299117
Position 28: 0.00011236414778879753
Position 49: 5.952357621054308e-05
Position 36: 4.817285885760976e-05
Position 23: 4.404665359487743e-05
Position 1246: 2.547125246057313e-05
Position 703: 2.0052971968707248e-05
Position 314: 1.2669672865222995e-05
Position 558: 1.2140046643965063e-05
Position 191: 1.0627781235629604e-05
Position 178: 9.232822890448108e-06
Position 11: 8.753104423652894e-06
Position 385: 6.991346054696738e-06
Position 561: 4.065665499986695e-06
Position 140: 3.7171867749845033e-06
Position 303: 3.439054917316737e-06
Position 495: 3.2960583022143783e-06
Position 517: 2.751002828018658e-06
Position 143: 2.5547485168307294e-06
Position 1170: 1.328918498958017e-06
Position 621: 1.3042577560836852e-06
Position 460: 1.1330443583535922e-06
Position 543: 1.034774468562288e-06
Position 585: 8.367824450967797e-07
Position 767: 3.486131689722589e-07
Position 747: 5.913134262142422e-08
Position 184: 5.560774348509334e-08
Position 685: 1.4743065252898578e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3250: 0.7377835983752653
Position 8359: 0.43513756976573464
Position 3817: 0.40357763759277654
Position 3526: 0.21582976553312958
Position 1327: 0.07730162471058173
Position 3569: 0.07549607015614486
Position 1709: 0.06597377585447838
Position 11709: 0.06384803321692081
Position 5355: 0.06292120625180861
Position 4553: 0.03933534369962002
Position 8382: 0.038140013898345204
Position 2205: 0.03810305219411832
Position 13205: 0.037382028121889156
Position 6521: 0.0215245279449582
Position 7949: 0.02007616987163356
Position 9219: 0.015799700558351976
Position 394: 0.015757232843514653
Position 6899: 0.013414825426791387
Position 178: 0.013003300368980114
Position 4156: 0.012065908507327075
Position 5182: 0.011593677362942353
Position 2453: 0.010924908449567495
Position 3018: 0.010737554292788044
Position 2421: 0.010480407733041592
Position 4369: 0.01041980242897145
Position 8454: 0.009351391574440168
Position 8245: 0.008322542941715009
Position 8056: 0.008230538391407792
Position 8023: 0.007884037366947347
Position 6579: 0.007763089347104126
Position 6645: 0.00748122287960083
Position 6188: 0.007448303231549818
Position 1533: 0.00743416657322932
Position 6328: 0.00741577055877046
Position 3656: 0.00680059918615221
Position 1712: 0.006442030322115961
Position 3278: 0.005719192172024331
Position 2251: 0.004780858882730362
Position 3038: 0.004558368274451063
Position 3792: 0.004484018736184357
Position 1979: 0.0044569034579673775
Position 4878: 0.004340375025188411
Position 3192: 0.003838081332359526
Position 5747: 0.0038321374290764187
Position 3586: 0.0037157270831383094
Position 6816: 0.0036580141304542284
Position 6355: 0.0036076380758813796
Position 6292: 0.003581361625728383
Position 6272: 0.0035003521526152446
Position 802: 0.003085331407535436
Position 3366: 0.0030392449588755276
Position 3572: 0.002692242792821014
Position 5280: 0.002691129867868334
Position 1129: 0.002519861752104012
Position 4262: 0.0023816593902073672
Position 4025: 0.0022834994412189026
Position 2302: 0.002243752128399834
Position 3087: 0.0021156774037141054
Position 6949: 0.0020465087477007987
Position 2900: 0.0019528925991364303
Position 5817: 0.0019180978236619068
Position 2918: 0.001903931216506183
Position 3605: 0.0018578951028164583
Position 1303: 0.0018450222968675858
Position 2535: 0.001482940741994787
Position 1907: 0.0014649670151449996
Position 2401: 0.0014459337483079089
Position 1931: 0.0014334916174348928
Position 3540: 0.001373481544350307
Position 2395: 0.0013614583011043622
Position 1752: 0.0012316514064902348
Position 2336: 0.0011895826899694646
Position 255: 0.0011430389331689571
Position 2028: 0.0009590147828683513
Position 3010: 0.0009164965966914445
Position 2111: 0.00079825764278692
Position 466: 0.0006953994647142535
Position 845: 0.0005336544045493486
Position 2067: 0.0005303720166293978
Position 2459: 0.0005202052593467236
Position 439: 0.0005168317115154236
Position 817: 0.000455924156654476
Position 3551: 0.0004079427828454498
Position 2271: 0.000392417046737336
Position 2391: 0.000383199053383153
Position 2856: 0.0003749121596272131
Position 270: 0.0003499758231008302
Position 287: 0.0003381291060224555
Position 1370: 0.000292010678814965
Position 2944: 0.00018584500238876737
Position 2559: 0.00016685671377861846
Position 3296: 0.00016530758999470552
