Gene = Gatd1
index = 425
Annotated 5SS: [ 135 2339 3151 3359 4291 4806 5048]
Annotated 3SS: [2261 3044 3250 4195 4711 4935 5171]
SMsplice 5SS: [ 135  316 2339 3151 4291 4806 5048]
SMsplice 3SS: [ 248 2261 3044 4195 4711 4935 5171]
top_k =  500
Partition function (log Z): 9.020524017267952

Sorted 5' Splice Sites (High to Low Probability):
Position 135: 0.9896122561061147
Position 5048: 0.9792595976857813
Position 4806: 0.9782531439980402
Position 3151: 0.8692801159134552
Position 2339: 0.7035723851493197
Position 4291: 0.6526754830319665
Position 316: 0.623828760895119
Position 708: 0.5312231608322289
Position 1869: 0.3385676167633093
Position 496: 0.3115527907047131
Position 3359: 0.2547713196051542
Position 2362: 0.1505312407301178
Position 3363: 0.09740134492424643
Position 653: 0.09682104955879967
Position 1913: 0.09038027839150241
Position 1932: 0.0790076447408748
Position 3404: 0.0709634616845214
Position 3167: 0.06426724316146258
Position 284: 0.04512157295567579
Position 467: 0.040495327525405585
Position 3258: 0.03918910942413086
Position 2027: 0.0383071283944708
Position 3492: 0.03776878197082787
Position 2448: 0.030174566786652333
Position 334: 0.027377048687113
Position 755: 0.023777046207526947
Position 5175: 0.02164762075181063
Position 2262: 0.01928625369506165
Position 2324: 0.01928332151678228
Position 3314: 0.017265271556137173
Position 5319: 0.012644388895112957
Position 2675: 0.009321154727063933
Position 3155: 0.008972155933986273
Position 4816: 0.007461811196477276
Position 1907: 0.00711109501052554
Position 1634: 0.006417700608350042
Position 1998: 0.0063885463068968406
Position 783: 0.005249451409798829
Position 1850: 0.00498304190451889
Position 4428: 0.004729013016846752
Position 3527: 0.004363576696996445
Position 635: 0.003911252584128299
Position 423: 0.003331194783730543
Position 2062: 0.0022756803794602453
Position 2695: 0.0021190209409557466
Position 2129: 0.00205784328657051
Position 2133: 0.00158120557671534
Position 1971: 0.0012494214961493216
Position 3719: 0.0012237799159941674
Position 4099: 0.0010916040488098658
Position 5067: 0.0010888158853139252
Position 1379: 0.0010777152370927605
Position 4412: 0.001075497287910466
Position 1888: 0.0009766262805672656
Position 535: 0.0009201247891066202
Position 2158: 0.0007788019276860455
Position 2657: 0.0007025886310566043
Position 498: 0.0006626942646869305
Position 3855: 0.0005980627832610026
Position 578: 0.0005631749310878884
Position 5908: 0.0005291048713694563
Position 4791: 0.00042194623932907086
Position 5684: 0.0004181463765146644
Position 714: 0.00041716975611965056
Position 4855: 0.00032438463825985435
Position 1679: 0.0002787013012356886
Position 1290: 0.00026511018013935795
Position 5435: 0.00026470744743510176
Position 940: 0.0002382547183593656
Position 3140: 0.00021526357371810985
Position 157: 0.00020748908411106603
Position 4820: 0.00020056320432173877
Position 935: 0.00018312163548222154
Position 808: 0.00018137491349286793
Position 1418: 0.00017616373893719514
Position 2799: 0.00017505262172019077
Position 1252: 0.00016525896149386754
Position 1358: 0.00016288826679865893
Position 3093: 0.00016286239156570865
Position 351: 0.0001524501149385593
Position 1945: 0.00014885204995207683
Position 641: 0.00014738370767070538
Position 194: 0.00013631029893572543
Position 1859: 0.00013096474844577168
Position 1068: 0.0001070349541639614
Position 1233: 9.915069362929492e-05
Position 5228: 9.655123133924372e-05
Position 4810: 9.607394311897545e-05
Position 4803: 9.458799707426967e-05
Position 1430: 6.965051223232002e-05
Position 6127: 5.020931791969942e-05
Position 502: 4.941849740412197e-05
Position 1300: 4.4001394122240385e-05
Position 105: 3.716356166429819e-05
Position 471: 3.359030612029223e-05
Position 1112: 2.7035780262862585e-05
Position 482: 2.509438471084839e-05
Position 3124: 2.001525194135024e-05
Position 113: 1.9240556969974728e-05
Position 500: 1.5256375982708833e-05
Position 155: 1.0171377755093958e-05
Position 3171: 9.744809110248158e-06
Position 349: 8.393078912630627e-06
Position 383: 8.332741712747496e-06
Position 366: 7.648450378710556e-06
Position 175: 5.2952487286314845e-06
Position 76: 4.750780627863554e-06
Position 65: 3.8038038027860825e-06
Position 103: 2.4603589529067013e-06
Position 5077: 1.2396899430118411e-06
Position 258: 9.980609725497224e-07
Position 209: 9.7156491329418e-07
Position 5088: 7.708907220628887e-07
Position 5016: 5.544517817829952e-07
Position 200: 4.436199650391607e-07
Position 5450: 4.40930400738494e-07
Position 4980: 3.1380893381445423e-07
Position 5235: 1.6456832305772344e-07
Position 393: 8.374392933392101e-08
Position 5007: 6.32131544260882e-08
Position 261: 5.6940947491345575e-08
Position 204: 5.6204302311742795e-08
Position 198: 1.5191583184334765e-08
Position 234: 1.4045220594208963e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3044: 0.9306719642367137
Position 4935: 0.8996636221711708
Position 4711: 0.8964418432215004
Position 2261: 0.8628307231423923
Position 248: 0.7680424141612231
Position 4195: 0.6557647541287664
Position 1784: 0.570758781245874
Position 5171: 0.5053195899410382
Position 3250: 0.5036377207841023
Position 624: 0.42474374087289235
Position 404: 0.42182550546879366
Position 5360: 0.1463762079934451
Position 5814: 0.09715371344664278
Position 5985: 0.09453552577839604
Position 4696: 0.08156614720846324
Position 4915: 0.06849254016945186
Position 5988: 0.06684847346647448
Position 542: 0.05320394011649157
Position 2113: 0.04657429354197098
Position 5911: 0.03460750520600377
Position 4939: 0.02395544408054923
Position 274: 0.015717255146138358
Position 5365: 0.0147879628744204
Position 5381: 0.013476656152187138
Position 2153: 0.009026498312858065
Position 3281: 0.008467564716482462
Position 5112: 0.00831142343262896
Position 5856: 0.008151608259363032
Position 2895: 0.00800845638578291
Position 2567: 0.007976556443754494
Position 3050: 0.007689589006788985
Position 6042: 0.007483732701803804
Position 3301: 0.006983229565653477
Position 4718: 0.006745279573747337
Position 6289: 0.0064853936994363325
Position 1528: 0.0059272700816673666
Position 506: 0.00567486353950844
Position 583: 0.005271988618851239
Position 214: 0.004516330858432191
Position 5204: 0.0036733965757185013
Position 2526: 0.003488982287122132
Position 6058: 0.002953978202228324
Position 2157: 0.0027955042831789567
Position 564: 0.002091370113800847
Position 6141: 0.0018610452313813023
Position 1111: 0.001738510659152023
Position 2170: 0.0016852965863950677
Position 2323: 0.0015435080319664413
Position 5731: 0.0015174779466967784
Position 278: 0.001365308052352667
Position 4991: 0.0013378155172440473
Position 5810: 0.0012522026379589797
Position 4018: 0.0010916569419949784
Position 4156: 0.0010406191772956395
Position 5334: 0.0010365070906480772
Position 4656: 0.000962483648018171
Position 408: 0.000946480828630255
Position 4342: 0.0009153225284563132
Position 4272: 0.0008997071695859823
Position 5146: 0.0008105666389143846
Position 4458: 0.0005972602866571051
Position 1494: 0.0005918853889275878
Position 6314: 0.0005668942493429812
Position 209: 0.0005653349556852535
Position 1997: 0.0005525042510442533
Position 6012: 0.000547175335967379
Position 5456: 0.0005186009947693536
Position 519: 0.0004919290902906096
Position 461: 0.000482296598527039
Position 588: 0.00047099145728922193
Position 3676: 0.000459652147229468
Position 5537: 0.00042461457499953477
Position 846: 0.0004231294858722032
Position 2634: 0.00041115450108580767
Position 3722: 0.00041078153143673764
Position 1977: 0.00037166149009188555
Position 5339: 0.0003437029713868669
Position 5007: 0.00032393509670023286
Position 5401: 0.00031599627689954927
Position 4559: 0.0003005672723281276
Position 5861: 0.00028250683712739846
Position 5044: 0.0002808164200423394
Position 6233: 0.0002633382885153447
Position 5642: 0.00025965486471844366
Position 1723: 0.00025541649191971965
Position 2447: 0.00024208184238221352
Position 5681: 0.0002332779252807838
Position 4395: 0.00022238534479755614
Position 5385: 0.00022179209333353476
Position 5323: 0.00022045659412585174
Position 1931: 0.00021756944407161084
Position 699: 0.000208813023817503
Position 1543: 0.00018963078506365095
Position 4943: 0.0001754353340649384
Position 6223: 0.00016839755849196343
Position 1060: 0.0001613703019156632
Position 2973: 0.00015338135753310413
Position 1326: 0.00015023858141610094
Position 5658: 0.00012875023338812324
Position 1657: 0.00012473963787723447
Position 2061: 0.0001233568879745663
Position 3024: 0.00010044785534510291
Position 1572: 9.652411657543557e-05
Position 5175: 9.190350041470198e-05
Position 4490: 7.596252172709672e-05
Position 752: 6.60671899466165e-05
Position 6318: 6.184568202268136e-05
Position 635: 5.4910177975222404e-05
Position 1240: 5.370044432462101e-05
Position 5021: 4.87003966885868e-05
Position 422: 4.399221689344909e-05
Position 464: 4.2198086525017706e-05
Position 3113: 3.8054469625089846e-05
Position 577: 3.5375967181491125e-05
Position 4426: 3.187874296340622e-05
Position 320: 2.9799632132470823e-05
Position 326: 2.942867914514242e-05
Position 4866: 2.8261661478163442e-05
Position 4503: 2.375228796053235e-05
Position 560: 2.2375473639276425e-05
Position 1290: 1.9126707826289856e-05
Position 420: 1.539433441566799e-05
Position 2006: 1.5154512885678908e-05
Position 434: 1.160580529670863e-05
Position 297: 8.936320484526997e-06
Position 1907: 7.222067022399752e-06
Position 316: 5.329037843523215e-06
Position 447: 3.2044659177765936e-06
Position 288: 2.3092756798335148e-06
Position 436: 1.7922119584269573e-06
Position 2093: 4.1859185874629363e-07
Position 299: 2.5156803363942314e-07
Position 853: 4.1081601611929376e-08
Position 175: 3.939357332339043e-08
Position 651: 2.9113323064469105e-08
Position 707: 5.892941764580265e-09
Position 645: 1.8562888084195084e-09
Position 754: 1.0157112014230482e-09
Position 134: 6.066371964998436e-10
Position 139: 2.706028379286458e-10
Position 160: 1.4564860469591406e-10
Position 147: 1.399684014209474e-10
Position 152: 3.6184757155168877e-11
