Gene = Glrp1
index = 438
Annotated 5SS: [ 276 6925]
Annotated 3SS: [6515 8923]
SMsplice 5SS: [276]
SMsplice 3SS: [9774]
top_k =  500
Partition function (log Z): -9.357810397176223

Sorted 5' Splice Sites (High to Low Probability):
Position 276: 0.5090501529948882
Position 4287: 0.4856871415113996
Position 5273: 0.22557074098399257
Position 374: 0.21354885359452896
Position 2694: 0.1479095982228285
Position 50: 0.1358810446498489
Position 337: 0.12993975853006456
Position 2931: 0.12321775996770126
Position 3411: 0.08836684978103511
Position 678: 0.08693215245978078
Position 4212: 0.056076415059292145
Position 311: 0.04708269272465924
Position 1061: 0.04447425211737939
Position 3302: 0.04268876004764314
Position 964: 0.041525692524728736
Position 8984: 0.036849050747245385
Position 289: 0.031834922927501424
Position 1954: 0.02551619581146068
Position 4188: 0.01642655388766595
Position 5847: 0.01509263131412585
Position 3454: 0.010928022113395632
Position 7397: 0.010585724669721014
Position 4840: 0.006428235529898765
Position 2759: 0.005073087473300809
Position 32: 0.004935054675245771
Position 5532: 0.004079176220411089
Position 5899: 0.00398416725369462
Position 4058: 0.003983797635695698
Position 662: 0.0016121100696835904
Position 4046: 0.0014520747806839214
Position 3000: 0.000835458147620123
Position 12: 0.0006466656137022013
Position 2351: 0.0005401849513187959
Position 86: 0.0004107139522591543
Position 62: 0.0001914693822642379
Position 626: 0.0001534053732845657
Position 648: 7.796096066963905e-05
Position 73: 7.447930237274726e-05
Position 293: 4.581846444187647e-05
Position 223: 3.4755801601926826e-05
Position 595: 2.382374578867017e-05
Position 99: 2.2552782371257417e-05
Position 207: 2.0060510361164853e-05
Position 103: 1.1919125556648981e-05
Position 363: 1.0764751714581413e-05
Position 381: 4.350598560137405e-06
Position 145: 4.297159556553119e-06
Position 411: 2.9887366505291203e-06
Position 113: 3.392093177792073e-07
Position 163: 3.3023760529806467e-07
Position 416: 9.818587727608212e-10
Position 341: 7.041157706010061e-10
Position 397: 5.016571478374072e-11
Position 466: 1.0188859876768012e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 4130: 0.5788673934323783
Position 9774: 0.4939158496345989
Position 8923: 0.3088615673745982
Position 5132: 0.2560040380706159
Position 119: 0.1393191860709642
Position 7924: 0.09843733556286481
Position 2786: 0.08215714589548838
Position 2560: 0.07742383159562632
Position 3113: 0.056575650515943335
Position 884: 0.05158883255411814
Position 3301: 0.05069412737382655
Position 2643: 0.042118544141257354
Position 2557: 0.03572817451943576
Position 2733: 0.03085787766388402
Position 3183: 0.024548930530643626
Position 5725: 0.022932492987024416
Position 8021: 0.018028364591730194
Position 7269: 0.016962938789030525
Position 477: 0.013973786199114577
Position 8456: 0.013814401335515649
Position 1837: 0.013050582806184877
Position 517: 0.012816956456705223
Position 7963: 0.012250515155746515
Position 4525: 0.007034957927644366
Position 701: 0.006985544514944385
Position 3163: 0.006845362804640885
Position 1867: 0.006592579773377809
Position 2694: 0.0063042535094289965
Position 747: 0.005070002376472927
Position 3934: 0.004843824249368411
Position 6518: 0.004155171071492466
Position 5531: 0.003622572306377979
Position 2573: 0.0035710975289159753
Position 4646: 0.003520514857900898
Position 945: 0.0033782241026388943
Position 5461: 0.0031044068782815964
Position 548: 0.0026849502052059214
Position 3242: 0.002571853669140175
Position 4246: 0.002375875422693373
Position 529: 0.002359669579094238
Position 3066: 0.0022457126640671394
Position 4385: 0.0021868231764308127
Position 2302: 0.002167165189555237
Position 500: 0.0021139959394644537
Position 6515: 0.0020724564463075294
Position 1910: 0.001984161538831643
Position 1792: 0.001818313220015136
Position 5237: 0.0016749083452051207
Position 1870: 0.0015174082755635197
Position 913: 0.0013984306366825888
Position 869: 0.0013294376091288643
Position 951: 0.001189132811777777
Position 4465: 0.001168621805867227
Position 573: 0.0010087548572650716
Position 4444: 0.0008533400285114193
Position 3879: 0.0007906395364375131
Position 647: 0.0006592310205676748
Position 6527: 0.0006248887329042632
Position 3227: 0.0005578291604264328
Position 5384: 0.00043522546349946404
Position 202: 0.0004302175151463082
Position 1919: 0.0004261598258227636
Position 125: 0.0004062444211230725
Position 305: 0.0003816481940361338
Position 4311: 0.00036352993085439175
Position 2884: 0.0003545487796366681
Position 2577: 0.0003412860874599841
Position 839: 0.00032816096317084156
Position 825: 0.00030644729607380637
Position 4909: 0.0002761083733068565
Position 555: 0.00027291002949601995
Position 5957: 0.0002280356406538269
Position 4543: 0.0002248799032662488
Position 898: 0.0002199274140243335
Position 750: 0.00021404875977441772
Position 622: 0.0002105494361335654
Position 381: 0.00017085244640670962
Position 564: 0.00015976082246569
Position 187: 0.00015189978945374407
Position 578: 0.00013531605556150412
Position 3680: 8.840416578078742e-05
Position 1637: 5.8522588892338925e-05
Position 674: 5.2509212759110075e-05
Position 1121: 5.1048371324065805e-05
Position 2996: 4.0777585706296065e-05
Position 2143: 3.4571319564340354e-05
Position 310: 3.213881445859838e-05
Position 1377: 2.813274596091292e-05
Position 2067: 2.5694789370195533e-05
Position 595: 2.2592974495716065e-05
Position 466: 1.4037571488080528e-05
Position 566: 1.0535591238347833e-05
Position 959: 7.663825580864746e-06
Position 256: 7.233782454042502e-06
Position 145: 6.942293659831955e-06
Position 223: 4.574514100102612e-06
Position 204: 2.9698716808602415e-06
Position 832: 1.6210295544039512e-06
Position 591: 8.685556625011019e-07
Position 184: 8.332095958737275e-07
Position 598: 8.166888135244717e-07
Position 588: 6.253083300703456e-07
Position 919: 6.005684011646952e-07
Position 1032: 5.515676695125664e-07
Position 610: 5.500997914941497e-07
Position 569: 4.693920445635108e-07
Position 962: 4.420045177395128e-07
Position 272: 2.8773083483033137e-07
Position 127: 2.833863286149159e-07
Position 387: 1.2979439359736835e-07
Position 289: 7.310888392269703e-08
Position 232: 3.06434283972452e-08
Position 239: 2.3257029364511295e-08
Position 241: 2.1527855221040553e-08
Position 86: 1.2633213330788182e-08
Position 275: 1.0357634776870528e-08
Position 411: 5.333017598106305e-09
Position 315: 4.566260628994005e-09
Position 235: 4.12873055232462e-09
Position 244: 3.745050565388914e-09
