Gene = Nhej1
index = 746
Annotated 5SS: [  139  1331 77845 78471]
Annotated 3SS: [ 1271 77726 78363 78870]
SMsplice 5SS: [  139 22428 69191 77845 78471]
SMsplice 3SS: [22284 69085 77694 78363 78870]
top_k =  500
Partition function (log Z): -50.89291126073667

Sorted 5' Splice Sites (High to Low Probability):
Position 139: 0.9799977514823334
Position 1331: 0.4811024925575072
Position 7999: 0.18497021124590088
Position 1595: 0.09006554572201973
Position 7742: 0.04105199329539955
Position 4918: 0.01837059435461252
Position 1553: 0.013332524862565686
Position 2201: 0.011322693567363372
Position 1336: 0.011293693744471358
Position 342: 0.006872047547616596
Position 165: 0.006140483106786736
Position 1515: 0.005270732949933584
Position 1494: 0.0048140523392329135
Position 949: 0.002995201493661305
Position 57: 0.0014300917179672654
Position 246: 0.001124530327670129
Position 1213: 0.0005417291436130861
Position 33: 0.00023043561255088127
Position 118: 0.0002194930915328398
Position 356: 0.00017888142237206135
Position 997: 8.355900778940873e-05
Position 126: 7.66533761205254e-05
Position 379: 7.466540058420503e-05
Position 1560: 7.390343934290732e-05
Position 1521: 6.86747960616335e-05
Position 409: 6.168841356520432e-05
Position 391: 5.24232724803722e-05
Position 31: 4.698063620855749e-05
Position 180: 4.6635555475144014e-05
Position 1481: 4.298919459523693e-05
Position 1272: 3.5974406438098494e-05
Position 172: 3.283438603327903e-05
Position 1345: 2.29188192888292e-05
Position 1318: 2.0367467885664847e-05
Position 205: 1.9479815757259063e-05
Position 242: 1.917248865032697e-05
Position 280: 1.849026859511284e-05
Position 234: 1.4469549755737317e-05
Position 303: 1.1219071242110653e-05
Position 251: 9.399773600776789e-06
Position 1020: 6.307785081170244e-06
Position 1411: 3.7638799348780643e-06
Position 470: 3.637444623610529e-06
Position 1093: 2.945422257210352e-06
Position 1165: 2.409819341560154e-06
Position 52: 2.385969947775605e-06
Position 555: 1.6481931076144631e-06
Position 888: 1.6229667958233767e-06
Position 311: 1.538329023484499e-06
Position 905: 1.4416674006759914e-06
Position 925: 1.4342347129292795e-06
Position 1342: 9.330621737694549e-07
Position 1219: 2.166527536394294e-07
Position 1038: 1.1522183652293441e-07
Position 1083: 7.169449731415585e-08
Position 1159: 5.6588453359399665e-08
Position 603: 4.2393921807602816e-08
Position 225: 5.1439451331513425e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1271: 0.44739398998063307
Position 7910: 0.19929631187505448
Position 7466: 0.1776552697463044
Position 8661: 0.14733572064424846
Position 11716: 0.10431890618145817
Position 1410: 0.10158308298400645
Position 9875: 0.07659398070472365
Position 13501: 0.07509262027128916
Position 1190: 0.061530630580445916
Position 11891: 0.048444891757584374
Position 7659: 0.04325927090944358
Position 10587: 0.03890414614414298
Position 6957: 0.035436077499811126
Position 5631: 0.0276157650182593
Position 7601: 0.02394490416393037
Position 9678: 0.022542851547783724
Position 11345: 0.0212486997211812
Position 4768: 0.012639524344846217
Position 10371: 0.011585753529840632
Position 1235: 0.010973456125494111
Position 6268: 0.010456495928664444
Position 8821: 0.010238018815308742
Position 2079: 0.008936785679547683
Position 2114: 0.008422712445135587
Position 1047: 0.00807281656469164
Position 7482: 0.007917502289427333
Position 7706: 0.007482625025868415
Position 4773: 0.007274019036253172
Position 2819: 0.00644787267913021
Position 2464: 0.006276799956825874
Position 7522: 0.005276668082628088
Position 7098: 0.0051864420983505286
Position 7245: 0.004938963463838794
Position 1100: 0.004608164574988562
Position 1217: 0.004388224070354753
Position 1552: 0.004023284895007829
Position 1448: 0.003876091085983923
Position 2869: 0.0035041965151580675
Position 3041: 0.003487228124333812
Position 6491: 0.003482958939966572
Position 7176: 0.003061572619195158
Position 1431: 0.002974592611687814
Position 2924: 0.0025318420487833847
Position 3281: 0.002423450265926289
Position 5104: 0.0019606856934590174
Position 1152: 0.0018761507031625634
Position 1673: 0.0018706645327962628
Position 4874: 0.0017815516368134944
Position 4796: 0.0015998128398868926
Position 1193: 0.0015113552383691064
Position 5821: 0.0013805645706886974
Position 2277: 0.0013710031278234783
Position 3742: 0.001340359514103581
Position 1574: 0.0011653389043451026
Position 3295: 0.001157396626488139
Position 470: 0.0011187252236884262
Position 7470: 0.001093875208480008
Position 1375: 0.0010831059384112704
Position 4900: 0.0010701320377255654
