Gene = Defb41
index = 330
Annotated 5SS: [55]
Annotated 3SS: [4413]
SMsplice 5SS: [227]
SMsplice 3SS: [4413]
top_k =  500
Partition function (log Z): -8.502278585322042

Sorted 5' Splice Sites (High to Low Probability):
Position 227: 0.5838429882665597
Position 55: 0.40188745964434547
Position 2537: 0.166357845230178
Position 2630: 0.07980413221329198
Position 2531: 0.062225328413492265
Position 2555: 0.05002921802220264
Position 592: 0.030937564225607405
Position 1595: 0.0185646501134758
Position 1807: 0.017000227297570423
Position 410: 0.013304417655788438
Position 249: 0.00501770952368901
Position 1208: 0.004603535218181408
Position 3604: 0.004072461000007138
Position 2216: 0.003795212285738157
Position 414: 0.002937176998874085
Position 1870: 0.0023805199260131245
Position 804: 0.00222224133415643
Position 2621: 0.0020892354344434314
Position 4280: 0.0017425996741748143
Position 3816: 0.0015312210314746529
Position 3700: 0.0011425989566780142
Position 2546: 0.0009747682785089433
Position 2604: 0.0008886462066117389
Position 2418: 0.000847735131596685
Position 2567: 0.0005823993056787761
Position 3149: 0.000534959405992811
Position 353: 0.0003314616514191064
Position 472: 0.0002676270506083456
Position 815: 0.00022653674251781042
Position 1324: 0.00019947374043873588
Position 828: 0.00018413203781736848
Position 2116: 0.00013334825757507123
Position 88: 0.00011437140072249768
Position 634: 9.793468165649797e-05
Position 324: 9.641784327676968e-05
Position 2090: 8.729506006768176e-05
Position 731: 3.841953826648741e-05
Position 1034: 3.53104421900106e-05
Position 841: 1.8237719509986407e-05
Position 5: 6.349113678874712e-06
Position 79: 4.901983752747203e-06
Position 208: 2.5227376541322617e-06
Position 111: 1.5282051821012755e-06
Position 72: 8.623096919750771e-07
Position 117: 6.310809288956302e-07
Position 265: 4.822376862470056e-07
Position 2740: 4.570981955647006e-07
Position 397: 4.500074024623758e-07
Position 357: 3.8467982719975433e-07
Position 2503: 2.8525599670266813e-07
Position 337: 2.2380184228249284e-07
Position 839: 1.7116623666500686e-07
Position 121: 1.2030386239182113e-07
Position 373: 9.904874318437832e-08
Position 96: 6.246553685026587e-08
Position 761: 6.129241743759269e-08
Position 514: 4.93356689936701e-08
Position 506: 4.3707822881216483e-08
Position 596: 3.144556898710359e-08
Position 450: 9.389367643882139e-09
Position 543: 8.818482575324903e-09
Position 486: 1.8621187988910878e-11
Position 488: 1.2187422934281356e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2431: 0.3164347126146929
Position 4413: 0.26694768664467394
Position 2417: 0.1994601387483583
Position 3039: 0.15037891067535175
Position 634: 0.08221042691620116
Position 4194: 0.04711975562837995
Position 2875: 0.0363031586682917
Position 3417: 0.031855006893499745
Position 4348: 0.03133155326700888
Position 1686: 0.02511361694254823
Position 971: 0.02354283676506807
Position 506: 0.01838573541581686
Position 3067: 0.018342650344527724
