Gene = Ppp1r13l
index = 845
Annotated 5SS: [  101  7407  7644  9089  9272  9442 10431 12169 14166 14403 14676 16472]
Annotated 3SS: [ 7325  7500  8577  9172  9349  9988 11707 14033 14268 14508 16271 16750]
SMsplice 5SS: [  101  7407  7644  8875  9272  9442 10431 14166 14403 14676]
SMsplice 3SS: [ 7325  7500  8763  9172  9349 10360 14033 14268 14508 16271]
top_k =  500
Partition function (log Z): 22.769245301903933

Sorted 5' Splice Sites (High to Low Probability):
Position 14403: 0.9976537686429744
Position 101: 0.9907115967299812
Position 7644: 0.9593636048143162
Position 14166: 0.9557742650832616
Position 8875: 0.9334404440559165
Position 9442: 0.8992501785170707
Position 9272: 0.8733709403427972
Position 14676: 0.8364938390588131
Position 7407: 0.800089410758583
Position 10431: 0.7852781150909967
Position 9089: 0.7304712335594564
Position 1074: 0.4114768801446947
Position 12169: 0.2651343710501619
Position 3530: 0.14580037403118215
Position 16472: 0.13579616837571834
Position 9286: 0.12283122858451352
Position 16073: 0.09472540907017823
Position 14695: 0.09040686963188661
Position 5835: 0.08065361501739599
Position 4369: 0.05120343428172218
Position 1114: 0.046365543466557566
Position 6339: 0.04055047883918142
Position 14726: 0.037225418946942694
Position 7441: 0.036092453489891055
Position 14195: 0.026153102482963576
Position 16372: 0.02522870058149538
Position 814: 0.025168350956127607
Position 10028: 0.024072549305509436
Position 8586: 0.020003415620437365
Position 15949: 0.018816951355479596
Position 10203: 0.018224999752444748
Position 4618: 0.014996836282801199
Position 14626: 0.01392141576772832
Position 9453: 0.013869308374460005
Position 14157: 0.012756601170642031
Position 2334: 0.012455826660225773
Position 6627: 0.010210250916879542
Position 14702: 0.009709097439546083
Position 7423: 0.009370556504675403
Position 8840: 0.00877592538543771
Position 7765: 0.007961441466462167
Position 13596: 0.0075451208431402805
Position 11881: 0.00713145344430873
Position 11803: 0.007078301834314352
Position 15131: 0.0060653783022286585
Position 13826: 0.005731308997762176
Position 6193: 0.005472480993271505
Position 15642: 0.005168821210768106
Position 1384: 0.004640220612894131
Position 11420: 0.004167513310780875
Position 13620: 0.0037332043955166337
Position 14145: 0.0037156773621089298
