Gene = Rab3gap2
index = 881
Annotated 5SS: [  237 17793 28968 30086 31235 31390 31945 34762 36644 42668 43807 43986
 45903 47033 47691 47997 48264 51719 54509 55411 56382 57319 58723 59743
 62958 63163 67384 68526 71831 73105 74250 77624 78394 79424]
Annotated 3SS: [17727 28843 30003 31186 31313 31842 34661 36544 42518 43726 43895 45762
 46815 47546 47913 48198 51627 54380 55196 56283 57212 58561 59513 62783
 63055 67316 68454 71794 73029 74030 77533 78180 79264 79729]
SMsplice 5SS: [  237 17793 30069 31390 31945 34762 36644 42668 43807 43986 45903 47997
 48264 51719 54509 54834 56382 57319 58723 62958 63163 68526 73105 74250
 77624 78394 79424]
SMsplice 3SS: [17727 30003 31313 31842 34661 36544 42518 43726 43895 45762 47913 48198
 51627 54380 54754 56283 57212 58561 62783 63055 68454 73029 74030 77533
 78180 79264 81785]
top_k =  500
Partition function (log Z): -44.392479681895956

Sorted 5' Splice Sites (High to Low Probability):
Position 237: 0.9549493186636862
Position 17793: 0.9400675392040186
Position 3638: 0.4246441582299702
Position 3922: 0.40949467938899414
Position 3808: 0.33184528449940515
Position 4514: 0.23033515935268561
Position 735: 0.20592183922619048
Position 3103: 0.20554967692781245
Position 623: 0.2002776566237848
Position 639: 0.09493659281508605
Position 4541: 0.07040887973382874
Position 5386: 0.06785861733324082
Position 5931: 0.05835851650689966
Position 3014: 0.05382808579460427
Position 9502: 0.029494364278984015
Position 9553: 0.027605575156580943
Position 8580: 0.020768915753868016
Position 3091: 0.020024470431306278
Position 500: 0.014595083939011624
Position 679: 0.011025826991861335
Position 4042: 0.009817235496586238
Position 1284: 0.009637863905440028
Position 1162: 0.009498417337838775
Position 1264: 0.006534242886409835
Position 1150: 0.005436421537897799
Position 7507: 0.005375002605615312
Position 1731: 0.005358291569053517
Position 3635: 0.004718336639673663
Position 620: 0.0041222131354399305
Position 4301: 0.003173064356014598
Position 663: 0.003108372392589168
Position 4222: 0.002818400946662312
Position 3856: 0.0022758134527440543
Position 770: 0.0007453386801106412
Position 2189: 0.0005454005936822303
Position 531: 0.00045882779204898757
Position 2287: 0.0004587106448524657
Position 1869: 0.0004476208169075282
Position 648: 0.00043517630204665343
Position 287: 0.0004062002364825433
Position 3534: 0.0003186606297845334
Position 444: 0.0003012685590488269
Position 25: 0.00029064352937538797
Position 1478: 0.00027667202771974804
Position 3536: 0.00020523913474185934
Position 317: 0.0001989848659732709
Position 65: 0.0001402084181317641
Position 241: 0.00013280318898404802
Position 504: 8.143820279480433e-05
Position 113: 8.045801200732047e-05
Position 425: 6.938066814880372e-05
Position 8: 6.20707281666322e-05
Position 169: 5.6387563394431206e-05
Position 329: 5.2735988480038716e-05
Position 292: 4.66387027983791e-05
Position 324: 4.181286859463591e-05
Position 140: 4.06622501740501e-05
Position 878: 3.706831629663967e-05
Position 243: 3.0023625045524087e-05
Position 53: 2.8624709040122682e-05
Position 336: 2.3709376510379277e-05
Position 48: 2.275390069338303e-05
Position 460: 1.4025733379290582e-05
Position 145: 1.2768639891910178e-05
Position 431: 1.2072054038812786e-05
Position 7582: 1.0089696044585414e-05
Position 70: 9.600241475824487e-06
Position 381: 9.415355317362544e-06
Position 81: 8.267402051087314e-06
Position 604: 6.410858744590206e-06
Position 4892: 6.242468354080882e-06
Position 825: 5.1159462337503246e-06
Position 715: 4.426789452986123e-06
Position 368: 3.4744544491691357e-06
Position 627: 3.3001454262162295e-06
Position 340: 2.4463700009823304e-06
Position 466: 2.00354284205367e-06
Position 705: 1.1832636408351698e-06
Position 611: 3.784746926218692e-08
Position 4481: 1.2654227714299991e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 17727: 0.9983832039996334
Position 3727: 0.7324398273317999
Position 27400: 0.4801665473326111
Position 3524: 0.4001075269008415
Position 575: 0.3753871197442244
Position 4460: 0.29416706979476026
Position 2973: 0.1422407669600444
Position 21547: 0.10828797970730442
Position 2868: 0.1030981548157126
Position 17891: 0.09130056997985297
Position 20170: 0.07242432364708365
Position 5258: 0.06787527452717121
Position 528: 0.06741580922926346
Position 18621: 0.05894739584170895
Position 5819: 0.05841673953095699
Position 9351: 0.057224039322562065
Position 19935: 0.04050264039818489
Position 19344: 0.03726567060751262
Position 368: 0.03564598100626058
Position 3533: 0.029276338634073015
Position 20227: 0.027554890519143088
Position 2911: 0.021201930916588244
Position 8384: 0.020815232977718066
Position 976: 0.01663853690172557
Position 21031: 0.012937894813300783
Position 3828: 0.011130248900840706
Position 18381: 0.010679626357317293
Position 4212: 0.008559538381684545
Position 507: 0.007580944014799257
Position 3751: 0.005961677248764258
Position 2933: 0.0051156915488769555
Position 1200: 0.004348997674482276
Position 1188: 0.003789332720235762
Position 4070: 0.0036888939723410826
Position 2796: 0.0029334268532527855
Position 7412: 0.0028593713933445894
