Gene = Selenot
index = 962
Annotated 5SS: [  238  8706  9443 11898 13685]
Annotated 3SS: [ 8594  9315 11809 13530 14058]
SMsplice 5SS: [  238  8706  9443 10169 11898 13685]
SMsplice 3SS: [ 8594  9315 10027 11809 13530 14058]
top_k =  500
Partition function (log Z): -0.18610391770261558

Sorted 5' Splice Sites (High to Low Probability):
Position 8706: 0.9943216114093444
Position 11898: 0.9600263050383212
Position 238: 0.9279011783418682
Position 13685: 0.892596888821744
Position 9443: 0.8100591031989651
Position 6507: 0.42915182131077784
Position 10169: 0.32419009576070285
Position 9723: 0.32069437703656084
Position 10126: 0.22176102112162996
Position 10134: 0.14940505473595303
Position 5337: 0.05427983646098798
Position 2489: 0.05250617227454695
Position 681: 0.044115188463858854
Position 1994: 0.041104460592353176
Position 6446: 0.03857788759150416
Position 13072: 0.0346098444240525
Position 10194: 0.02794889027958817
Position 4980: 0.02598544199302229
Position 242: 0.024906706192175894
Position 11328: 0.01869262418098673
Position 5395: 0.01431494554962397
Position 9844: 0.009369957255044598
Position 16269: 0.009238074886531803
Position 3237: 0.00917053610330225
Position 7109: 0.008929270991420216
Position 1203: 0.007511089068858055
Position 11874: 0.007282154186704473
Position 10964: 0.007039265507912271
Position 14126: 0.006572880071361743
Position 7130: 0.005709233721238122
Position 202: 0.005660107633047463
Position 9826: 0.00422844714891379
Position 9686: 0.004130858420303447
Position 9084: 0.003160444949369759
Position 5799: 0.0030816756736268503
Position 6909: 0.00289224939985278
Position 15274: 0.0028089840656188654
Position 15041: 0.002559866531352995
Position 4568: 0.0025436070348880306
Position 1392: 0.002398766985627499
Position 5026: 0.0023960287553683574
Position 9529: 0.002335307772459945
Position 4895: 0.0023255844139381293
Position 13689: 0.002196552229805523
Position 11922: 0.0021664138701996518
Position 13415: 0.0020843081272507525
Position 358: 0.0020840400576955524
Position 10827: 0.001806668355345616
Position 11862: 0.0016991508189069448
Position 5294: 0.0016668918499137808
Position 2161: 0.0016391299626389592
Position 10691: 0.0016359378397199865
Position 12446: 0.0015951666383033347
Position 5276: 0.001573770990318938
Position 10256: 0.0014320708914805271
Position 14231: 0.0013389981378526068
Position 11474: 0.0012205080480246146
Position 11949: 0.0012006327392112051
Position 11397: 0.0011297897336692252
Position 11556: 0.0010209507246104167
Position 8652: 0.001008238635113723
Position 13292: 0.0009185732211609974
Position 13620: 0.0008509939167096026
Position 13339: 0.0005537568440907651
Position 12435: 0.0004830791642334021
