Gene = Myd88
index = 727
Annotated 5SS: [ 410 1466 2036 2288 2707]
Annotated 3SS: [1330 1854 2195 2530 3141]
SMsplice 5SS: [ 410 1466 2036 2288 2707]
SMsplice 3SS: [1330 1854 2195 2530 3141]
top_k =  500
Partition function (log Z): 3.0802994907724015

Sorted 5' Splice Sites (High to Low Probability):
Position 2707: 0.9099738155974506
Position 2288: 0.9064860958490444
Position 1466: 0.9006446015532762
Position 410: 0.8331644226185575
Position 2036: 0.5978906536514194
Position 2057: 0.2908810260459215
Position 744: 0.18875394542212187
Position 2061: 0.0626007686432906
Position 1355: 0.043757065895708915
Position 1208: 0.037836929251467484
Position 681: 0.024513141172129486
Position 1023: 0.023144920245334186
Position 252: 0.021126508474265185
Position 1393: 0.018923625123660047
Position 739: 0.017324120093222758
Position 993: 0.016401733284975486
Position 2434: 0.013709728981501936
Position 543: 0.011262276232317034
Position 3447: 0.00924596752608463
Position 2591: 0.00909438035310056
Position 114: 0.008834260466373775
Position 649: 0.006756959952973334
Position 1983: 0.006300192794069909
Position 493: 0.0062529670419850135
Position 374: 0.005919603748656751
Position 970: 0.00589594206101449
Position 1961: 0.005080498080921747
Position 2640: 0.004784433327720683
Position 1966: 0.0047478405460021425
Position 2711: 0.003923686388745659
Position 1492: 0.0038232839439443036
Position 1501: 0.003444482261412739
Position 2841: 0.00320439202334294
Position 1964: 0.0027774383878925294
Position 2915: 0.0025898026767171532
Position 166: 0.002539734823106506
Position 24: 0.002409113930432509
Position 2006: 0.0024056581288966123
Position 2993: 0.0021985134752097214
Position 1978: 0.0020814339705084372
Position 1970: 0.0019181849531360914
Position 1968: 0.0018426744134050397
Position 3483: 0.001812001831149434
Position 299: 0.0017548100587810363
Position 2646: 0.0014998073469128818
Position 1724: 0.0011717703338956606
Position 2065: 0.0011483870664819491
Position 420: 0.0011047112969930603
Position 103: 0.0009650730386865776
Position 2898: 0.0009028717767863649
Position 1239: 0.0007104808856555228
Position 148: 0.0006768581538927647
Position 160: 0.0006543653216781954
Position 2601: 0.0005895391643906439
Position 1241: 0.0005480844102749247
Position 2133: 0.0004996885428460349
Position 2861: 0.00046816681018123493
Position 2040: 0.0004171666010239634
Position 1168: 0.0004171109775511219
Position 1910: 0.00039967804650126886
Position 3540: 0.0003938165090863378
Position 2831: 0.0003790626352540341
Position 3228: 0.00037198950390386295
Position 333: 0.0003478920393681455
Position 1412: 0.0003072531971703425
Position 1601: 0.0003011117568502267
Position 132: 0.00029982450278233586
Position 46: 0.00028698596774810064
Position 1477: 0.0002836894148001927
Position 2879: 0.0002692640506955875
Position 1773: 0.00025457070436933605
Position 399: 0.00024939189528115543
Position 3779: 0.00022550792211243947
Position 535: 0.00022286114102972583
Position 2086: 0.00019284000560267664
Position 657: 0.0001676626870241922
Position 2769: 0.00016672445333523083
Position 978: 0.00016176413667137008
Position 84: 0.0001405533132029698
Position 1999: 0.00013022202651485294
Position 2949: 0.00012364746247764917
Position 3874: 0.00012245382751300413
Position 2196: 0.00011819843622523632
Position 2280: 0.00011559090980747657
Position 2715: 0.00011163352554465263
Position 974: 0.00010874142131027173
Position 549: 0.00010706777606712736
Position 2265: 0.00010372016385231423
Position 2816: 0.00010303678130071912
Position 531: 0.0001028432642784504
Position 2877: 9.735226869473999e-05
Position 303: 9.609809610073273e-05
Position 2249: 7.650448152708468e-05
Position 1414: 7.449846197564358e-05
Position 2001: 7.284974942543239e-05
Position 1245: 6.325091495576232e-05
Position 2794: 6.044192697569981e-05
Position 792: 5.595514289925025e-05
Position 366: 5.588993745738185e-05
Position 2320: 5.460995358058817e-05
Position 968: 5.11267554532652e-05
Position 476: 4.763752578339836e-05
Position 72: 4.6827189699284795e-05
Position 929: 4.67925661589726e-05
Position 2418: 4.439120607447406e-05
Position 764: 4.3127177969921503e-05
Position 3029: 4.066779015135716e-05
