Gene = Selplg
index = 963
Annotated 5SS: [153]
Annotated 3SS: [10252]
SMsplice 5SS: [153]
SMsplice 3SS: [10252]
top_k =  500
Partition function (log Z): -7.8343239347466005

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9360933451446298
Position 10586: 0.48511239181384885
Position 10384: 0.4380037490425344
Position 4246: 0.40768217421814945
Position 11747: 0.1628390054688456
Position 7685: 0.12144754677841058
Position 11318: 0.06720395333260695
Position 7871: 0.06399560925899908
Position 6245: 0.06328250319507447
Position 4782: 0.052860058675534276
Position 236: 0.04095895207348433
Position 3425: 0.0398304112998927
Position 5704: 0.03865702236367781
Position 472: 0.034303390562118424
Position 4662: 0.031975158864583415
Position 7543: 0.023400370363407995
Position 222: 0.021693551656594534
Position 11305: 0.021042612188002085
Position 5100: 0.018525913132426547
Position 2715: 0.01689474239857289
Position 11437: 0.011295258300180876
Position 7560: 0.010839553812112266
Position 3274: 0.010416458946795496
Position 6312: 0.010380621817625718
Position 6820: 0.007719033639937813
Position 5607: 0.007340876630054312
Position 10355: 0.006465764467136944
Position 5742: 0.005388903600858449
Position 7279: 0.004287871261753128
Position 11739: 0.0042571219545507
Position 4270: 0.0037090959054086534
Position 5676: 0.0036420820688711753
Position 5844: 0.0033438660300207272
Position 10387: 0.0026911007850919217
Position 5657: 0.002525964571149078
Position 6192: 0.0024610340467668946
Position 2516: 0.002106800957713646
Position 4205: 0.0017320390269870026
Position 1847: 0.0014743229063791138
Position 11804: 0.0011568937858861003
Position 3750: 0.0011263307869788701
Position 2883: 0.0009895442893190773
Position 3984: 0.0009768624025366058
Position 1643: 0.0009683613252979064
Position 3345: 0.0008644174392842704
Position 1527: 0.000788633634356992
Position 3399: 0.0005684669952776843
Position 3283: 0.0005129903370915343
Position 871: 0.0004954419197006097
Position 2678: 0.00046012097038782934
Position 3646: 0.0004406809733252772
Position 3421: 0.0004007357737303346
Position 4432: 0.00035360461125471035
Position 2265: 0.0002996402231801287
