Gene = Nadsyn1
index = 731
Annotated 5SS: [  183  1670  3749  6668  7256  9452 10079 10352 11673 14050 14857 15455
 15962 16927 18828 19646 23051 23801 24387 25017]
Annotated 3SS: [ 1608  3631  6613  7165  9399  9989 10233 11540 13974 14731 15405 15858
 16757 18691 19538 22918 23730 24257 24839 26784]
SMsplice 5SS: [  183  1719  3749  6668  7256  9569 10352 11673 14050 14857 15455 16927
 18828 19646 23051 23801 24387 25017]
SMsplice 3SS: [ 1608  3631  6613  7165  9399 10233 11540 13974 14731 15405 16757 18691
 19538 22918 23730 24257 24839 26784]
top_k =  500
Partition function (log Z): 34.4597922506345

Sorted 5' Splice Sites (High to Low Probability):
Position 23051: 0.9970807573142446
Position 7256: 0.9951291158646226
Position 3749: 0.9769068574146113
Position 14050: 0.9569625107813233
Position 15455: 0.9112202507299432
Position 19646: 0.8811246726549926
Position 24387: 0.8593551261323855
Position 25017: 0.8417103177670816
Position 10352: 0.8266420660357091
Position 11673: 0.7834221642765608
Position 14857: 0.6958634033718666
Position 23801: 0.6845766777290341
Position 183: 0.6561488590432848
Position 1719: 0.648324234233751
Position 6668: 0.6375896749731386
Position 16927: 0.6293262250315523
Position 18828: 0.5934117877416163
Position 5612: 0.47877930621386877
Position 15962: 0.47851996880594994
Position 9569: 0.47063723621201764
Position 10079: 0.42815849358401975
Position 18877: 0.3587567842838454
Position 2119: 0.3585748300728416
Position 6672: 0.31932638599813645
Position 10708: 0.2627749048672994
Position 11160: 0.2564762821095637
Position 599: 0.2253020542948604
Position 9864: 0.20216261891456533
Position 22740: 0.18641037392486245
Position 16565: 0.17510290421455782
Position 9537: 0.1717943254998617
Position 10331: 0.16966209807378727
Position 7878: 0.15208491225523144
Position 14741: 0.14589239429499476
Position 21140: 0.14376404459759975
Position 18542: 0.14168071645591068
Position 11259: 0.13427813673382646
Position 4122: 0.11954769032653569
Position 1670: 0.11673946417894607
Position 315: 0.11062885602096525
Position 2441: 0.11061535583015815
Position 19106: 0.10590367643262849
Position 20068: 0.10444890165922377
Position 4334: 0.09933550094614574
Position 14783: 0.09287663109622099
Position 15966: 0.092804558144793
Position 24950: 0.08904369631140546
Position 11719: 0.08795449814384007
Position 9452: 0.07168086341284473
Position 648: 0.07075542215630165
Position 9934: 0.06351128096854995
Position 1392: 0.06250841649460108
Position 7863: 0.06211760902692919
Position 305: 0.06199997268067769
Position 4970: 0.06049792680204742
Position 4458: 0.05847389878419541
Position 9814: 0.05735535530258101
Position 19988: 0.055003247230083575
Position 9836: 0.05269821289087003
Position 14971: 0.05038378928141912
Position 12424: 0.04881412275382062
Position 21469: 0.047835965414094773
Position 2234: 0.04675697231608865
Position 10995: 0.046317368262512315
Position 16352: 0.04191203060742495
Position 9894: 0.040945548864610076
Position 11463: 0.0385825298473582
Position 2429: 0.03832572320392692
Position 5184: 0.03732069429617697
Position 16973: 0.037269587981065735
Position 5571: 0.0328656552033645
Position 14107: 0.030872805489052378
Position 17729: 0.030552424620520036
Position 21611: 0.028234682526990105
Position 23548: 0.025860516701091418
Position 13649: 0.02536004922245758
Position 232: 0.0251822011939342
Position 25974: 0.02355162535163699
Position 433: 0.022476088299776063
Position 22487: 0.02191603159894191
Position 16312: 0.02180284942815298
Position 13593: 0.0212805547293333
Position 26717: 0.020109886404494598
Position 21276: 0.01914827683407036
