Gene = Sprr2j-ps
index = 1022
Annotated 5SS: [82]
Annotated 3SS: [718]
SMsplice 5SS: [82]
SMsplice 3SS: [718]
top_k =  500
Partition function (log Z): -10.080137237810577

Sorted 5' Splice Sites (High to Low Probability):
Position 82: 0.8853803071358385
Position 246: 0.07662862591913686
Position 150: 0.02715560860763737
Position 768: 0.004234640692235218
Position 609: 0.0041520297143370554
Position 29: 0.002551808387029451
Position 553: 0.0012027683651627751
Position 525: 0.0011019363281546829
Position 117: 0.0005859234217925462
Position 250: 0.0005824964336678953
Position 520: 0.0004965662823834889
Position 263: 0.0004374051048515559
Position 49: 0.0004197047508136872
Position 472: 0.00034015198922420116
Position 100: 0.00023990740893128375
Position 349: 0.00023916446876036387
Position 392: 0.0002375853166239991
Position 660: 0.00019122257290339853
Position 135: 0.00016879999407396382
Position 189: 0.00015368474854151644
Position 57: 0.0001285234599116958
Position 88: 0.00012760750288820922
Position 16: 0.00010950081913987867
Position 581: 0.00010084566177563231
Position 622: 8.928467399626446e-05
Position 86: 8.650942474450573e-05
Position 127: 8.615837267402427e-05
Position 653: 7.678745525336166e-05
Position 829: 7.081948259809189e-05
Position 425: 6.964946910919523e-05
Position 203: 6.434656431320354e-05
Position 856: 5.783759003115326e-05
Position 6: 5.400555962625351e-05
Position 490: 4.2299452075949446e-05
Position 103: 3.963795951304449e-05
Position 464: 3.6981987307885916e-05
Position 108: 3.3221809787903846e-05
Position 883: 2.7434322502837073e-05
Position 429: 1.9794267789150603e-05
Position 802: 1.9756296433445938e-05
Position 291: 1.1343525847921218e-05
Position 253: 1.1143526185813889e-05
Position 304: 1.0393636742438454e-05
Position 418: 9.562429432806371e-06
Position 961: 7.789775910074273e-06
Position 470: 2.6962797196827388e-08
Position 509: 2.0396435802119087e-08
Position 359: 1.6403000222364467e-08
Position 168: 7.295290349124099e-09
Position 293: 1.270858613748567e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 718: 0.7884242260056669
Position 576: 0.05190636804099343
Position 370: 0.03394410852136815
Position 606: 0.025751391000175993
Position 802: 0.025598580114174513
Position 499: 0.017952211342339236
Position 245: 0.014350773465800095
Position 541: 0.005588210460359209
Position 829: 0.0051208793344442935
Position 856: 0.004708079944303118
Position 180: 0.004300509133028509
Position 392: 0.0037318818037222353
Position 1205: 0.0030803705230357187
Position 1191: 0.0028579900555071734
Position 955: 0.0024012720109108047
Position 552: 0.0021179522230144253
Position 609: 0.0019325551163414153
Position 304: 0.0019284682939231632
Position 1166: 0.0014959644548025212
Position 883: 0.0012333386345273311
Position 750: 0.0011920530805552534
Position 907: 0.0009915419369879374
Position 755: 0.0007890880907360637
Position 249: 0.0007450551059751721
Position 1297: 0.000481182104044553
Position 733: 0.0004754404665680726
Position 320: 0.0004523703581107205
Position 168: 0.00044260378663217565
Position 809: 0.0004340384140555466
Position 632: 0.0002570908777452936
Position 317: 0.000247408741426605
Position 200: 0.00023840904544444113
Position 1237: 0.00022649393895281947
Position 581: 0.00021878496136040678
Position 863: 0.0002135083936526089
Position 434: 0.00016855419489948334
Position 919: 0.00016459546729729563
Position 758: 0.00016209603078559952
Position 520: 0.00012065593117697342
Position 635: 0.0001017353562520703
Position 916: 9.630817773825041e-05
Position 1037: 8.953778263513756e-05
Position 403: 7.705779859779666e-05
Position 1248: 7.578641816975666e-05
Position 752: 6.871271476163524e-05
Position 1125: 6.790113174873645e-05
Position 203: 6.358976243118559e-05
Position 509: 6.32867877637148e-05
Position 1087: 5.7883268866949796e-05
Position 639: 5.500495994298275e-05
Position 614: 4.97281551638734e-05
Position 776: 4.606277192910986e-05
Position 838: 3.7631727150301234e-05
Position 961: 3.68723661497255e-05
Position 1010: 3.6032454806401256e-05
Position 767: 3.4610092624809524e-05
Position 525: 3.317044440767529e-05
Position 726: 3.193797081404286e-05
Position 425: 3.041584545766384e-05
Position 1131: 3.0242954907853934e-05
Position 1220: 3.0187682950689963e-05
Position 1213: 2.93979757869035e-05
Position 1013: 2.4212279010562583e-05
Position 1020: 2.1435129732152224e-05
Position 221: 1.9495300207558864e-05
Position 442: 1.818354570721624e-05
Position 1044: 1.6606954392100994e-05
Position 135: 1.4910776607386856e-05
Position 660: 1.420519197505147e-05
Position 650: 1.3604467312606001e-05
Position 146: 1.016961024562976e-05
Position 811: 9.935532590602897e-06
Position 154: 7.980998270349467e-06
Position 865: 7.0952956833341555e-06
Position 975: 6.9123071324601345e-06
Position 261: 6.830164308491935e-06
Position 327: 6.238745074887474e-06
Position 1225: 3.98807338687687e-06
Position 150: 6.410978350106352e-07
Position 207: 1.7720258430177755e-09
Position 73: 8.81346582064957e-10
Position 100: 8.487339823650322e-10
Position 75: 1.8449512282634042e-11
Position 86: 1.3882583928328528e-13
