Gene = Ppan
index = 841
Annotated 5SS: [ 143  403 1265 1510 1767 2541 2838 3032 3191 3573]
Annotated 3SS: [ 231 1162 1458 1595 2463 2729 2907 3111 3275 3656]
SMsplice 5SS: [ 143  403 1510 1767 2541 2838 3032 3191 3573]
SMsplice 3SS: [ 231 1420 1595 2463 2729 2907 3111 3275 3656]
top_k =  500
Partition function (log Z): 20.2872580379967

Sorted 5' Splice Sites (High to Low Probability):
Position 3032: 0.9846568855786294
Position 1510: 0.9835802525544857
Position 2838: 0.9729124552701454
Position 1767: 0.9442741087844044
Position 143: 0.9057921535122001
Position 3573: 0.7812840018074435
Position 3191: 0.7699534432154997
Position 403: 0.6124972405537327
Position 2541: 0.6066509005309411
Position 1265: 0.45647326163006346
Position 2551: 0.3494944917968382
Position 3204: 0.2000507746516709
Position 3504: 0.18292059099573252
Position 432: 0.15644097563889175
Position 68: 0.055647368003100925
Position 361: 0.0513549019500901
Position 407: 0.04410927379846914
Position 306: 0.022494329250265534
Position 75: 0.01926905117258751
Position 3453: 0.017255600473012195
Position 2842: 0.017145583980231405
Position 845: 0.016939436749483783
Position 1163: 0.016236789048118115
Position 1758: 0.015328053425844
Position 340: 0.014208049156132396
Position 3738: 0.0117768952643337
Position 1801: 0.008421397954729496
Position 3753: 0.006313459011691914
Position 659: 0.005506860056875449
Position 3789: 0.005197455744734253
Position 1519: 0.004981828219219626
Position 332: 0.004866884103798846
Position 370: 0.004439561908693667
Position 492: 0.004342641714794353
Position 540: 0.00429456051946503
Position 2822: 0.004067665894392744
Position 978: 0.003795361313183655
Position 1677: 0.003456362256478039
Position 2169: 0.0031007280217879843
Position 608: 0.003018244331514777
Position 2547: 0.0022311745096662517
Position 2639: 0.00194665525420306
Position 1365: 0.001935894260506041
Position 3017: 0.0018465608514358443
Position 613: 0.0018106342638693896
Position 1269: 0.0015393083880048872
Position 312: 0.0015304859582516703
Position 2097: 0.0012183384839623487
Position 3459: 0.0011781217375929026
Position 2887: 0.0011693074812268549
Position 77: 0.0011618249462131951
Position 2615: 0.0011196059429588107
Position 282: 0.0010508308427231794
Position 2019: 0.0007490020303568398
Position 33: 0.0007344364305950438
Position 1256: 0.0005618054245104814
Position 3883: 0.0005352239191154132
Position 3593: 0.0004954937394958079
Position 3535: 0.0004875477170822268
Position 38: 0.00047212382278128046
Position 932: 0.0004500535100524124
Position 3185: 0.00040285119932461917
Position 108: 0.0003855741299732823
Position 3172: 0.0003572221234113493
Position 133: 0.00030545877069159305
Position 2657: 0.0002811563078275287
Position 1379: 0.00027829145126888257
Position 2854: 0.00027068473739762016
Position 1655: 0.0002492068143156587
Position 2230: 0.0002482274795438624
Position 1748: 0.000222783235690651
Position 3217: 0.00021216408475660376
Position 2094: 0.00021200106505790543
Position 1809: 0.0001988847599177349
Position 53: 0.0001974037662011326
Position 2749: 0.0001935881846815123
Position 3585: 0.00016890769813415057
Position 839: 0.00012302380633192296
Position 1100: 0.00012259381028842313
Position 2257: 0.00011912968091182136
Position 2464: 0.00011782040799090048
Position 3038: 0.00011525259277780946
Position 1730: 8.643311906018545e-05
Position 3348: 8.639135479579992e-05
Position 926: 7.605620114436014e-05
Position 2545: 7.525280389240354e-05
Position 1780: 6.374624593413437e-05
Position 1742: 5.794940106986541e-05
Position 3047: 5.51288578448808e-05
Position 879: 4.528694527990752e-05
Position 2620: 4.4125009694899873e-05
Position 42: 4.11387890973055e-05
Position 3551: 3.559006731318007e-05
Position 3494: 3.151978518631513e-05
Position 3157: 3.12656471220888e-05
Position 3438: 2.660303464530268e-05
Position 1832: 2.568765462360071e-05
Position 1848: 2.4967687726761742e-05
Position 310: 2.419523275389744e-05
Position 3887: 1.4466344319817346e-05
Position 2790: 1.3627346401255696e-05
Position 2928: 1.1149031158571497e-05
Position 1886: 1.0415817670783115e-05
Position 179: 8.894900483290271e-06
Position 24: 7.75878640543625e-06
Position 2933: 6.154381765938799e-06
Position 2740: 3.6849654306946446e-06
Position 1614: 2.1977300086670018e-06
Position 1617: 1.8348360447153808e-06
Position 1138: 1.368144515080333e-06
Position 2910: 7.922361703984965e-07
Position 1566: 7.08537916447393e-07
Position 12: 5.457946473254862e-07
Position 184: 3.2039003314764185e-07
Position 2978: 2.395990952911873e-07
Position 231: 2.3777711194562772e-07
Position 3577: 2.2687484494866003e-07
Position 222: 1.4701309898293423e-07
Position 3228: 6.919898179304217e-08
Position 219: 2.1579676648842935e-08
