Gene = Pts
index = 876
Annotated 5SS: [  95 1782 3390 3929 6123]
Annotated 3SS: [1701 3366 3871 6051 6314]
SMsplice 5SS: [  95 1782 3499 3929 6123]
SMsplice 3SS: [1701 3366 3871 6051 6314]
top_k =  500
Partition function (log Z): -0.11877272009863793

Sorted 5' Splice Sites (High to Low Probability):
Position 6123: 0.9526394336575467
Position 1782: 0.9347923070337639
Position 3929: 0.723862047820575
Position 95: 0.5985802549803441
Position 3499: 0.5305362432375718
Position 3618: 0.3174984684746195
Position 885: 0.1308757693240664
Position 3390: 0.12835701809469738
Position 3021: 0.12083326742479447
Position 216: 0.1193164913254407
Position 961: 0.07884419926502595
Position 322: 0.07884312476215778
Position 843: 0.0783446329670884
Position 506: 0.07594864160343752
Position 362: 0.07564542985706485
Position 2780: 0.040667226389369746
Position 2106: 0.03710970484220578
Position 110: 0.03254929947447915
Position 256: 0.03141910538731998
Position 3267: 0.030013975154016156
Position 5467: 0.027097510558845635
Position 2960: 0.024151072005651242
Position 1043: 0.020392943604231748
Position 4029: 0.019893060694348114
Position 3631: 0.018424935883898222
Position 4351: 0.01672059601600287
Position 3450: 0.01634753819949276
Position 5702: 0.016151278324533155
Position 3025: 0.014199954525565125
Position 657: 0.012385661606463644
Position 847: 0.011947206074748919
Position 3776: 0.011896299252619608
Position 4967: 0.011870784850845865
Position 1404: 0.011428334203344938
Position 4033: 0.010913116861706146
Position 3284: 0.0072628906807918215
Position 6118: 0.006451667925475861
Position 1088: 0.005687250906572869
Position 100: 0.004888393392468032
Position 6388: 0.004784112724799254
Position 676: 0.003983630610975728
Position 5519: 0.00392679682319872
Position 4977: 0.0035412521333235024
Position 6575: 0.0030592244275059544
Position 633: 0.0028222696914530195
Position 3261: 0.0026877997579659915
Position 1301: 0.0026031212470955904
Position 3981: 0.0020795352119582096
Position 305: 0.0016149605398697482
Position 1201: 0.001588040677366164
Position 4400: 0.001576657881179786
Position 628: 0.001554147338322719
Position 3455: 0.001511994754905591
Position 6185: 0.0014471506096128883
Position 350: 0.0013913117096398273
Position 1543: 0.0012862920860006583
Position 170: 0.0012684119741686725
Position 6418: 0.001159095207029525
Position 210: 0.0010838191598654034
Position 683: 0.001044238029026966
Position 5227: 0.0009420562665612882
Position 6638: 0.0009260383069719628
Position 965: 0.0008803902689760075
Position 6217: 0.000879666901695304
Position 2933: 0.0008625473656006342
Position 6646: 0.0008596076607990446
Position 4270: 0.0008105117120952165
Position 1508: 0.0007858413444015947
Position 6191: 0.0007362028818740127
Position 291: 0.0005929533789855401
Position 6174: 0.00057854368913128
Position 3591: 0.0005513614110521257
Position 470: 0.0005432939412243713
Position 2450: 0.00047930356128604904
Position 2692: 0.0004567790234710162
Position 391: 0.00043849633708968247
Position 1861: 0.0004221813960452124
Position 6570: 0.00035317564356285335
Position 1153: 0.0003425601294723162
Position 1305: 0.00034072527482884946
Position 6439: 0.0003377616386377545
Position 2346: 0.00028123786962923705
Position 28: 0.000159579292409166
Position 664: 0.00013934214181256845
Position 2271: 0.0001249431069043943
Position 53: 0.00011489148042142066
Position 652: 0.00010409853966741719
Position 130: 0.00010232592503022734
Position 693: 0.00010032557680505757
Position 174: 6.662740431135169e-05
Position 2552: 6.583792927033696e-05
Position 102: 4.451957711856474e-05
Position 63: 4.4337408188096373e-05
Position 623: 4.3961897889633916e-05
Position 562: 4.025898266884057e-05
Position 4: 2.469130887330801e-05
Position 37: 2.0121649883732748e-05
Position 112: 1.7479245372185047e-05
Position 65: 8.498757200691412e-06
Position 135: 8.38139706985891e-06
Position 474: 3.691145013728769e-06
Position 527: 3.1826760168637537e-06
Position 158: 2.1825509923122466e-06
Position 618: 1.5676961360395397e-06
Position 6021: 1.0548355845270128e-06
Position 114: 2.1802634636556937e-07
Position 491: 5.7521945904461314e-08
Position 145: 5.4445901102000114e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6051: 0.9872753103934558
Position 3366: 0.9229711288865711
Position 1701: 0.8304644107506611
Position 6314: 0.7062768756602251
Position 3871: 0.5386338336155752
Position 769: 0.3005900368468012
Position 2859: 0.11004166581004034
Position 3690: 0.08563027967332763
Position 3480: 0.07346380568733661
Position 6291: 0.06943084722723578
Position 6552: 0.05837670775329882
Position 1634: 0.04780085108047504
Position 1650: 0.044150410706717165
Position 6505: 0.04089357823316705
Position 6821: 0.038445896854870654
Position 3752: 0.036125589998541686
Position 3776: 0.0331503865959581
Position 2667: 0.03197329621267755
Position 418: 0.027311528562124678
Position 6220: 0.025017427901989388
Position 3705: 0.024702794378894374
Position 3073: 0.021724407799752897
Position 3015: 0.021691136956172676
Position 1959: 0.019999496941424638
Position 5381: 0.01974678871579899
Position 3686: 0.019059480665616284
Position 560: 0.017581151557524
Position 2932: 0.015659036757903633
Position 3170: 0.014959412449823276
Position 1250: 0.0132654212824068
Position 3738: 0.013184030199433512
Position 5632: 0.01155823006789437
Position 6616: 0.01031741139508904
Position 3887: 0.009923015394389315
Position 4871: 0.009496442046009974
Position 4253: 0.009322435225749513
Position 391: 0.008523893221992316
Position 5246: 0.008196870266307214
Position 2086: 0.008130687990921157
