Gene = Mgmt
index = 678
Annotated 5SS: [    74  56791 191496 227015]
Annotated 3SS: [ 56653 191334 226874 233270]
SMsplice 5SS: [    74  34360  36302  37483  42540  56791  70084  73334  78815  93761
  98973 111182 116083 130043 135086 152685 154466 169528 191496 223529
 227015 233201]
SMsplice 3SS: [ 34204  36178  37095  42434  56653  69951  73197  78683  93663  98818
 111098 116004 129937 134963 152584 154324 169392 191334 223424 226874
 232992 233270]
top_k =  500
Partition function (log Z): -139.72767728108394

Sorted 5' Splice Sites (High to Low Probability):
Position 74: 0.9899990350498844
Position 8887: 0.2830147239661347
Position 7105: 0.06480949907805152
Position 10980: 0.06285947084750411
Position 6009: 0.059811768862600624
Position 6044: 0.05188176091765244
Position 8800: 0.03380487256011678
Position 316: 0.023194285299454245
Position 2783: 0.022554114557821758
Position 3355: 0.01428393071827751
Position 4832: 0.012480570265618102
Position 8897: 0.008990857113648807
Position 791: 0.008428142692285256
Position 7373: 0.005757692993657487
Position 3375: 0.004447725948987811
Position 346: 0.0028601156347031055
Position 1199: 0.00255650020059373
Position 4920: 0.0020913924755298846
Position 5320: 0.0016317099025248078
Position 5997: 0.0014488638509695807
Position 4916: 0.001401196599358346
Position 4664: 0.0012782540733617233
Position 638: 0.0010871983322155348
Position 2070: 0.0008467337324146297
Position 3592: 0.0007146876597135434
Position 5993: 0.000662840619300696
Position 5717: 0.0006390427039475261
Position 898: 0.0004897760316053496
Position 1705: 0.0004594507010549067
Position 245: 0.00032719857963753866
Position 2767: 0.0002937570734054043
Position 357: 0.000289142158961336
Position 5097: 0.0002165788715639194
Position 3596: 0.00020912038088373528
Position 224: 0.00020324215733795992
Position 5614: 0.00019878626724451645
Position 4997: 0.0001819916477075182
Position 652: 6.452136921480219e-05
Position 1136: 5.572270119127782e-05
Position 295: 4.7527448578786076e-05
Position 657: 2.827319607268956e-05
Position 578: 1.8254936955642207e-05
Position 887: 1.1547829071327293e-05
Position 14: 2.0940681476421583e-06
Position 665: 1.9452423703660065e-06
Position 78: 1.7759047563023216e-06
Position 37: 1.3521093094132574e-06
Position 192: 8.991302678893214e-07
Position 671: 8.078929790620191e-07
Position 120: 8.004561860080699e-07
Position 133: 7.700957917283241e-07
Position 91: 6.750758956568332e-07
Position 93: 6.296725984390151e-07
Position 146: 2.9608012662279164e-07
Position 62: 2.0702477085116687e-07
Position 257: 1.333013749927445e-07
Position 236: 1.327856943968646e-07
Position 136: 7.862143907963755e-08
Position 55: 7.052588254800283e-08
Position 42: 5.0873112267511055e-08
Position 149: 4.377221410577315e-08
Position 35: 4.1233448090699474e-08
Position 49: 2.6221463706720264e-08
Position 228: 1.2687081776304076e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 10785: 0.32582346755920755
Position 11838: 0.20754947214012995
Position 8726: 0.16873188287453525
Position 8790: 0.15520228658568383
Position 5888: 0.14606565422650752
Position 6740: 0.09667088086475292
Position 10666: 0.08094268050054727
Position 13939: 0.05247600500047764
Position 175: 0.03773410469125451
Position 11141: 0.03669954718142805
Position 6777: 0.028877828103779493
Position 3286: 0.028386295041308508
Position 6908: 0.024019301735654214
Position 10332: 0.020521092014841626
Position 4497: 0.017920398895286644
Position 8662: 0.017268824373748038
Position 7009: 0.016212103629992928
Position 9839: 0.013560814004679726
Position 7987: 0.013264590165780467
Position 2648: 0.013202454990009145
Position 4660: 0.012931064453579359
Position 10243: 0.009918688799995518
Position 10707: 0.008961479091830784
Position 10643: 0.008582916404166377
Position 10366: 0.00851329594433061
Position 9041: 0.007540774494343115
Position 9341: 0.007508333844021234
Position 7193: 0.006714642567732292
Position 2664: 0.006568660775641199
Position 5572: 0.006480027302121637
Position 6936: 0.0064554432766200966
Position 276: 0.005127835569910378
Position 385: 0.0048223167272051885
Position 197: 0.003290540744357015
Position 5937: 0.00306543461019069
Position 2716: 0.0029726016795526963
Position 4169: 0.002404534402897728
Position 7290: 0.00226807144680689
Position 5251: 0.0019269178260390215
Position 703: 0.0019267657503169798
Position 2581: 0.0018431497324032568
Position 6154: 0.0017123532246820956
Position 8407: 0.001682870711436107
Position 8218: 0.0016664011520786965
Position 1095: 0.0015716027155944288
Position 4625: 0.0015642427939003708
Position 2413: 0.0015565133526256093
Position 790: 0.001507748492231862
Position 1616: 0.001495648969402929
Position 1274: 0.0014909927080270849
Position 6008: 0.0014837486453202421
Position 1981: 0.0011855011064060739
Position 8037: 0.0011159437000354364
Position 315: 0.0010334779861025547
Position 7472: 0.0009468470887218249
Position 3892: 0.0009327930118284331
Position 7574: 0.0009103195309088683
Position 1367: 0.0008839478574472604
Position 3454: 0.0008315279503692292
Position 5012: 0.0007970161617977683
Position 4230: 0.0007965330911958824
Position 1951: 0.0007898045912267574
Position 7939: 0.0007683399317990989
Position 5585: 0.0007585989688342531
Position 3956: 0.0007327705342041967
Position 6571: 0.0007297377287160422
Position 1149: 0.0006981723096684579
Position 6851: 0.000696696391537508
Position 4882: 0.0006789079216820195
Position 6659: 0.0006648799043851305
Position 7596: 0.0006468193435434863
Position 3495: 0.0006407609712718557
Position 5755: 0.0006398820204746932
Position 1222: 0.0006262845657762412
Position 6824: 0.0005984753280284425
Position 4831: 0.0005831253072099925
Position 3258: 0.000550028709979932
Position 2980: 0.0005489528844721239
Position 3429: 0.0005038148757189071
Position 4338: 0.0004889166880355313
Position 4970: 0.00048408663500386384
Position 647: 0.0004317455065138843
Position 6384: 0.000423160242550403
Position 4204: 0.0003592812603111443
Position 5644: 0.0003494701147415543
Position 4408: 0.00030322576487988665
Position 5696: 0.0003020088035106184
Position 931: 0.0002723456689530821
Position 1448: 0.00027120629304905135
Position 1915: 0.0002699945201514725
Position 1586: 0.000250449564743751
Position 5546: 0.00023871970484874862
Position 3354: 0.00023091129822038343
Position 3915: 0.00021908042601713582
Position 2806: 0.000200936131819316
Position 746: 0.00019727312224319284
Position 4860: 0.00019322371160076794
Position 1704: 0.00019118828761910563
