Gene = Snapin
index = 996
Annotated 5SS: [202 486 880]
Annotated 3SS: [ 438  760 1439]
SMsplice 5SS: [202 486 880]
SMsplice 3SS: [ 438  760 1439]
top_k =  500
Partition function (log Z): -1.2324613165752938

Sorted 5' Splice Sites (High to Low Probability):
Position 880: 0.987937924704763
Position 486: 0.7507981702399281
Position 202: 0.645174730068385
Position 197: 0.14427003727259471
Position 647: 0.04690300532973792
Position 1569: 0.02605443344474117
Position 330: 0.019942432590522266
Position 1595: 0.017568732461321575
Position 308: 0.0130844992210362
Position 1561: 0.01009696405217099
Position 349: 0.007367465901267966
Position 490: 0.004881741450074339
Position 676: 0.004851574019270898
Position 167: 0.004597958054501299
Position 188: 0.0040002279823287265
Position 214: 0.003426743341960032
Position 549: 0.003223103872240907
Position 2016: 0.0030161053199731845
Position 1334: 0.0030130628108068643
Position 1787: 0.002900666159756662
Position 1552: 0.002177978956666077
Position 1687: 0.002000522283136635
Position 2567: 0.0018885909669243569
Position 853: 0.0018225584291152678
Position 2139: 0.001621732695836058
Position 343: 0.0007575803864007195
Position 1321: 0.0005891398109375454
Position 1620: 0.0005851196875241539
Position 2556: 0.0005390156619493491
Position 1525: 0.00043847055530175125
Position 247: 0.00041164397174219875
Position 1244: 0.0003278597238952186
Position 653: 0.00029618683135467264
Position 539: 0.0002865962809912656
Position 2757: 0.00022030121894179168
Position 844: 0.00018654673305477332
Position 649: 0.00015454981486535352
Position 449: 0.00012039648683439535
Position 896: 9.39109438961124e-05
Position 72: 7.995051222979895e-05
Position 1361: 7.438597491457953e-05
Position 955: 6.478123775036585e-05
Position 363: 6.172480806648007e-05
Position 151: 6.114812130534034e-05
Position 930: 6.0908080622947676e-05
Position 1512: 5.180044537767443e-05
Position 1626: 3.416763258629599e-05
Position 297: 2.448906053883875e-05
Position 790: 2.1174901205926322e-05
Position 561: 2.0542940153311126e-05
Position 4: 2.0207138353251176e-05
Position 52: 1.5343696740405535e-05
Position 85: 1.2389317893309159e-05
Position 43: 1.1658550450511524e-05
Position 396: 1.0807086697596573e-05
Position 387: 5.446196291224352e-06
Position 104: 5.27752375445808e-06
Position 11: 3.957515702753452e-06
Position 357: 3.1727067575431916e-06
Position 412: 2.7215649071119945e-06
Position 378: 2.2738056038785123e-06
Position 1665: 2.2160161377829782e-06
Position 83: 2.00945658974028e-06
Position 1305: 1.1544226677407298e-06
Position 2166: 1.1512475532422477e-06
Position 567: 1.1134656145351594e-06
Position 1454: 1.1019470058326981e-06
Position 1653: 1.0297441615503894e-06
Position 735: 8.461943590933649e-07
Position 1912: 7.971663425441937e-07
Position 847: 7.158377736173228e-07
Position 814: 4.828461741510309e-07
Position 1181: 2.5969016170684827e-07
Position 1086: 2.2160078372806617e-07
Position 1590: 1.0342965724164065e-07
Position 1232: 8.853277772617572e-08
Position 927: 8.622681046948553e-08
Position 1110: 6.335613654630163e-08
Position 402: 2.8425512267832048e-09
Position 425: 2.540231768331763e-09
Position 415: 1.61844122540535e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1439: 0.9507849537503441
Position 760: 0.9503693061773053
Position 438: 0.3880778885857158
Position 418: 0.13792902368631826
Position 402: 0.07434537703923065
Position 2058: 0.029143159739036542
Position 625: 0.026484007287231607
Position 2693: 0.020535418480009036
Position 712: 0.01908611430373751
Position 2261: 0.017789628424069028
Position 588: 0.01673612096919709
Position 548: 0.016086242638714054
Position 1215: 0.011442182209241886
Position 2856: 0.009496007816036515
Position 2002: 0.0066860461418275586
Position 555: 0.0065160208499636255
Position 1668: 0.00625519009327088
Position 363: 0.0043245814325270845
Position 381: 0.003142231963225588
Position 2109: 0.0029475199971054997
Position 2199: 0.002319899046517884
Position 1164: 0.002161963646103118
Position 1829: 0.001721934133836581
Position 2456: 0.0016648728913266377
Position 1249: 0.0011378924116306065
Position 1903: 0.0010717147080496015
Position 315: 0.0010702485004613347
Position 2872: 0.0007031448405965604
Position 786: 0.0006736540199244563
Position 1534: 0.0006017517891664366
Position 2741: 0.0005913472811479186
Position 1465: 0.0005530672866988823
Position 2700: 0.0005345263323301875
Position 2966: 0.0005018710129411116
