Gene = Zfp511
index = 1202
Annotated 5SS: [ 195  482 1010 1229 3034]
Annotated 3SS: [ 407  807 1103 2913 3830]
SMsplice 5SS: [ 195  482 1010 1229 3034]
SMsplice 3SS: [ 407  705 1103 2913 3830]
top_k =  500
Partition function (log Z): 2.835398960471347

Sorted 5' Splice Sites (High to Low Probability):
Position 195: 0.9888710721007918
Position 1229: 0.9694594486093928
Position 3034: 0.7229907519893292
Position 1010: 0.6657831850924547
Position 482: 0.6059235204122552
Position 2429: 0.2575642081211407
Position 3486: 0.22495377209640596
Position 3081: 0.11469834157508622
Position 723: 0.10703566895473678
Position 3054: 0.09446799227169585
Position 3527: 0.0326927008613564
Position 1170: 0.015116289689806283
Position 1233: 0.013064237016684476
Position 1874: 0.011737135476084832
Position 830: 0.006264896908410131
Position 591: 0.006111131577141693
Position 1014: 0.00599646296281994
Position 669: 0.005885142342828985
Position 3119: 0.005147406382944186
Position 3640: 0.004799794586856041
Position 545: 0.004619931853357006
Position 2519: 0.004529834748252519
Position 2460: 0.0033964661051078533
Position 1030: 0.002131394915418361
Position 1750: 0.0021239085081684855
Position 2510: 0.001926906854033192
Position 162: 0.0017947612297158004
Position 1834: 0.0015164922625577571
Position 2110: 0.0015020409059089412
Position 664: 0.001311306784613718
Position 1851: 0.001156308229842978
Position 3038: 0.0009418977080417011
Position 456: 0.0009100376829090549
Position 1682: 0.000846283310204635
Position 1323: 0.0008266517218660412
Position 579: 0.000818923392537762
Position 2291: 0.0007258540957270265
Position 1408: 0.0006898418989206319
Position 3952: 0.0006098832036831042
Position 809: 0.0005546415664541707
Position 2146: 0.0005234325957620725
Position 3744: 0.0005159479357377392
Position 660: 0.0004704647061958052
Position 199: 0.00036634234567355925
Position 458: 0.0003308592609413459
Position 220: 0.00033071390957692843
Position 39: 0.0003267363913802065
Position 328: 0.00032360119722428163
Position 730: 0.0003049924566874186
Position 1931: 0.00028670060928001037
Position 2443: 0.0002676520896135696
Position 2709: 0.0002481752319640259
Position 1904: 0.00023118839637802012
Position 950: 0.00022949311060246525
Position 921: 0.0002239790227223928
Position 1044: 0.0001507127576666238
Position 848: 0.00014295070676998328
Position 979: 0.00014237615559134232
Position 3611: 0.00013663431647446852
Position 2136: 0.0001297461069247112
Position 758: 0.00012823689543590698
Position 258: 0.00012340742086955472
Position 3490: 0.00011963752352347889
Position 3603: 0.00010934149420053696
Position 1184: 5.546225328053862e-05
Position 431: 5.384460862746431e-05
Position 157: 5.213101322065001e-05
Position 850: 4.8035476882901e-05
Position 825: 4.553672393058332e-05
Position 656: 3.8563479748387646e-05
Position 417: 3.7077182431853435e-05
Position 817: 3.4145722161188196e-05
Position 264: 3.218915205438097e-05
Position 349: 2.8225845615763225e-05
Position 1285: 2.650617949665622e-05
Position 336: 1.6505229314162252e-05
Position 404: 1.3881648260671075e-05
Position 13: 1.3041040118557708e-05
Position 277: 9.891100716665325e-06
Position 44: 6.601111990144978e-06
Position 373: 5.089972693413436e-06
Position 36: 3.683108260459565e-06
Position 356: 2.8125902159084045e-06
Position 108: 2.2951930110214005e-06
Position 3040: 2.220195342398003e-06
Position 292: 1.0400438860085673e-06
Position 395: 3.1514083253749577e-07
Position 1041: 1.1396838012298836e-07
Position 397: 1.0972017771633158e-07
Position 840: 1.0956166560081768e-07
Position 699: 1.9749728480464345e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1103: 0.968325181502815
Position 2913: 0.9678293296662555
Position 407: 0.6328985447131062
Position 3830: 0.6303954429239852
Position 705: 0.4036516434746767
Position 2290: 0.26186583336323943
Position 3377: 0.16525495643286703
Position 3139: 0.11904783265272659
Position 807: 0.1181224368561545
Position 3450: 0.09162734138204126
Position 863: 0.07706101875537019
Position 3858: 0.07261295742433568
Position 829: 0.05502480419356661
Position 985: 0.04982882965439975
Position 3467: 0.04969816068971681
Position 3319: 0.0332984024137039
Position 1123: 0.022423344771917826
Position 440: 0.021776665587025606
Position 848: 0.013670287449190511
Position 1729: 0.010829956502984841
Position 2918: 0.010425847853289146
Position 866: 0.010279493599873717
Position 3399: 0.01024278809102177
Position 4039: 0.01008917457341454
Position 3704: 0.009447781234405225
Position 656: 0.008199718427620385
Position 384: 0.00738973947994853
Position 624: 0.006330647346050318
Position 3285: 0.005556656860488751
Position 2227: 0.0053464041115955365
Position 1669: 0.003849784918888768
Position 1109: 0.0032900725311869553
Position 3553: 0.0030517806678222207
Position 2024: 0.0030377720779553846
Position 3597: 0.002928314980747476
Position 2412: 0.002531331274274849
Position 2871: 0.002391901268601926
Position 306: 0.0022484852704381937
Position 1632: 0.0015601685475600173
Position 2832: 0.0015256109885607135
Position 3118: 0.0014029998176742543
Position 3617: 0.0013358547605771107
Position 3419: 0.0012575305290981826
Position 3632: 0.001154166978285545
Position 579: 0.0011343547408915683
Position 4134: 0.001054032290431485
Position 1131: 0.0008942607849922158
Position 3767: 0.0008238996993866453
Position 2088: 0.0007559596275553788
Position 1603: 0.0007502468768250846
Position 711: 0.0006915686722605528
Position 4070: 0.0006861478920878582
Position 3015: 0.0006486840190560992
Position 1299: 0.0006448088798327061
Position 3865: 0.0006080575241094634
Position 2269: 0.0005854210071985508
Position 2571: 0.0005603474175229446
Position 1702: 0.0005379139784294975
Position 758: 0.0004923567803920978
Position 787: 0.00048085246633992906
Position 3333: 0.00046678275018539807
