Gene = Ufc1
index = 1161
Annotated 5SS: [ 104  391 4876 5141 5507 5854]
Annotated 3SS: [ 196 4807 5076 5429 5762 6052]
SMsplice 5SS: [ 104  391 3457 4876 5170 5507 5854]
SMsplice 3SS: [ 196 3309 4807 5076 5429 5762 6052]
top_k =  500
Partition function (log Z): 7.597418696984999

Sorted 5' Splice Sites (High to Low Probability):
Position 4876: 0.9708558008445071
Position 5170: 0.8670850454687513
Position 391: 0.8545536268191923
Position 5507: 0.8002589330967148
Position 3457: 0.7741197225449692
Position 5854: 0.6982163268447964
Position 104: 0.6673137408835383
Position 3749: 0.32583033083752605
Position 2419: 0.2849218391355644
Position 5141: 0.12228779607100478
Position 40: 0.08582192501956727
Position 798: 0.06186643878825712
Position 3447: 0.057687254515277224
Position 4017: 0.05379384314956816
Position 5540: 0.053066054795163735
Position 348: 0.05091455486311649
Position 217: 0.04528148091627192
Position 1538: 0.03975711894962057
Position 5524: 0.0387833122468783
Position 108: 0.03819434758665739
Position 2196: 0.035953590029666804
Position 1609: 0.03494827995516503
Position 1503: 0.030894257069424075
Position 213: 0.02810932950754179
Position 4296: 0.021083104984023143
Position 635: 0.013613129213956646
Position 3971: 0.01132904082877628
Position 4895: 0.010893397660294296
Position 2391: 0.010843425574928334
Position 1746: 0.010522000097718398
Position 4901: 0.009669580397974421
Position 352: 0.0074472646378270875
Position 2573: 0.007274664716691642
Position 3759: 0.005945588913622522
Position 4884: 0.005384808715488519
Position 55: 0.005011082692992715
Position 3167: 0.00398489078255501
Position 3847: 0.003334240954518359
Position 679: 0.002354975954091377
Position 3975: 0.0021978986156959927
Position 5521: 0.0019223671325631127
Position 5188: 0.0018131939536683759
Position 1456: 0.0017679721471412918
Position 310: 0.001752933725718593
Position 5200: 0.0013872051586507382
Position 158: 0.001237010034993301
Position 658: 0.0012207351628027426
Position 3712: 0.00120123733680283
Position 5279: 0.0011643967431440039
Position 1265: 0.0011196912930420244
Position 64: 0.0010678122619680777
Position 444: 0.001020423432861422
Position 1494: 0.0007913936607344295
Position 3137: 0.0007414706209902632
Position 5313: 0.0007390088021073161
Position 2218: 0.0005714203625710149
Position 5906: 0.0005278540055049059
Position 5645: 0.00040227383499367775
Position 5501: 0.00039163147331787245
Position 4931: 0.0003194836378996828
Position 18: 0.00031075207552378327
Position 5872: 0.00028036716539689925
Position 5874: 0.0002667937994507012
Position 6099: 0.00021267373386342936
Position 1292: 0.0002032694957294705
Position 436: 0.00018645113141397583
Position 5245: 0.00015586376764666388
Position 4897: 0.0001345609055586421
Position 5858: 0.0001221311380465378
Position 5351: 0.00012093937639459601
Position 82: 8.538498903335148e-05
Position 196: 8.508841943746998e-05
Position 768: 7.606892418524965e-05
Position 5147: 7.110259570202789e-05
Position 378: 6.186504588125498e-05
Position 5174: 6.130499103881146e-05
Position 1541: 5.4206782650949545e-05
Position 1209: 5.1710845783777675e-05
Position 1297: 4.990851073666148e-05
Position 5894: 4.8363223894550954e-05
Position 692: 4.107484292029092e-05
Position 483: 3.789607589548316e-05
Position 2541: 3.785484017494464e-05
Position 418: 3.532928998239552e-05
Position 1886: 3.458813045812618e-05
Position 5095: 3.1172059081913575e-05
Position 1162: 3.0447017825271365e-05
Position 21: 2.2469723717116598e-05
Position 395: 2.1663158139131644e-05
Position 788: 1.7462799943877764e-05
Position 292: 1.7414818385118584e-05
Position 5145: 1.7016811364203286e-05
Position 4970: 1.3200844301662012e-05
Position 4807: 1.2989036369664617e-05
Position 1571: 1.0104132967853947e-05
Position 1545: 9.336350329560007e-06
