Gene = Copb1
index = 286
Annotated 5SS: [  106   842  4666  5904  7984  9288 14087 16362 17185 17418 17925 19773
 21515 22537 27765 28109 31509 33069 35186 37090 38249]
Annotated 3SS: [  691  4435  5733  7868  9194 13948 16241 17076 17270 17778 19675 21353
 22415 27536 27928 31363 32948 35039 36999 38092 38773]
SMsplice 5SS: [  106  4666  5904  7984  9288 14087 16362 17185 17418 17925 19773 21515
 27765 28109 31509 33069 35186 37090 38249]
SMsplice 3SS: [ 4554  5733  7868  9194 13948 16241 17076 17270 17778 19675 21353 27536
 27928 31363 32948 35039 36999 38092 38773]
top_k =  500
Partition function (log Z): 32.87684830245566

Sorted 5' Splice Sites (High to Low Probability):
Position 17925: 0.9997445212696776
Position 21515: 0.9986575696356934
Position 37090: 0.9964170541705722
Position 16362: 0.9962150414881609
Position 31509: 0.9927026126630367
Position 14087: 0.9530177684034727
Position 38249: 0.9514746338496177
Position 9288: 0.9424741574304945
Position 19773: 0.9361714419086172
Position 7984: 0.916481894178536
Position 4666: 0.8796596295977671
Position 33069: 0.8592203378553164
Position 35186: 0.7980400995165079
Position 5904: 0.7312481076582322
Position 106: 0.65449247096384
Position 842: 0.6388081335783522
Position 17185: 0.6276753179959205
Position 27765: 0.5946329291223142
Position 13819: 0.43835258345261685
Position 17418: 0.40728169484022153
Position 28109: 0.3704648521024779
Position 12642: 0.34159942934677673
Position 28056: 0.3176842044102596
Position 512: 0.25205948314146664
Position 5931: 0.17714633854961048
Position 17214: 0.1717086104327636
Position 21191: 0.15358035058934322
Position 5636: 0.14686696774584146
Position 1384: 0.13204454933419382
Position 22537: 0.1297962664648025
Position 5642: 0.12744634977527333
Position 33029: 0.11788687026714466
Position 12624: 0.08205605066992457
Position 19365: 0.07174672687262663
Position 301: 0.0666516270386075
Position 16983: 0.06382303494922606
Position 5958: 0.06279927306291487
Position 36238: 0.0608950455341022
Position 34897: 0.05625818693859659
Position 8212: 0.050154613237529865
Position 34844: 0.04987982815133557
Position 31766: 0.04643798538114197
Position 30142: 0.04256098396880932
Position 27770: 0.04190261564859242
Position 14340: 0.041756854890473434
Position 35201: 0.037112105972270035
Position 18384: 0.0369581461247603
Position 13790: 0.03541408527703811
Position 17554: 0.032996648278871235
Position 413: 0.032859117254495085
Position 4142: 0.031494649230653746
Position 6430: 0.02880374504957282
Position 20810: 0.028712126956014255
Position 14054: 0.028464769552493625
Position 19752: 0.025933257156835685
Position 18404: 0.025915258424882754
Position 35158: 0.025834174462189073
Position 38847: 0.025047694520073865
Position 13697: 0.021851432366999848
Position 34923: 0.020114966696777013
Position 19230: 0.018914770580186528
Position 56: 0.01831670303706237
Position 6992: 0.018187044181275064
Position 16794: 0.017412918326734375
Position 8205: 0.017390790476671157
Position 33343: 0.017004735920259438
Position 36256: 0.016333935462331726
Position 19760: 0.015562628100349338
Position 15358: 0.015063846115716721
Position 35151: 0.014892129216468377
Position 557: 0.01418096743107142
Position 32454: 0.013770558468292981
Position 4252: 0.013400416966650279
Position 32651: 0.013155598409892624
Position 20071: 0.01304933402418568
Position 38876: 0.012781355425784617
Position 14286: 0.01195222482274257
Position 17422: 0.011423980617207577
Position 212: 0.011057121433672054
Position 18415: 0.010841423191912428
Position 32712: 0.01020033126002881
Position 5575: 0.008356597244237238
Position 16075: 0.007950875351178036
Position 23839: 0.007922370458583676
Position 16783: 0.007353079663328356
Position 13864: 0.00717189653365323
Position 35505: 0.007144914286003297
Position 9360: 0.006898776010877345
Position 19337: 0.006697108462912654
Position 19389: 0.006612859705646918
Position 36720: 0.006528262174938768
Position 5834: 0.006466228026786622
Position 34892: 0.0063492235185083545
Position 38614: 0.006124036774711136
Position 22137: 0.0058187947720589675
Position 6136: 0.005611535984198015
Position 35146: 0.005454737389850514
Position 6199: 0.005195088847463433
Position 17406: 0.0049070418014028555
Position 37529: 0.004859137860082816
Position 12963: 0.004513341545741797
Position 18826: 0.0042626563107243534
Position 37552: 0.004127224207736487
Position 13548: 0.003946618788611093
Position 3430: 0.003839442802777914
Position 10949: 0.003816735006974191
Position 27175: 0.003772513093480757
Position 17379: 0.0037108391743582575
Position 33657: 0.0034887370254853885
Position 31821: 0.0034560362593899266
Position 7795: 0.003349782313211926
Position 32368: 0.003203768385862171
Position 10958: 0.003178754019293639
Position 8582: 0.0031328812834350885
Position 248: 0.002946731922023784
Position 11679: 0.002883976943800335
Position 36832: 0.0026857447736876178
Position 14614: 0.0026741342229836796
Position 12463: 0.00262186154465245
Position 19643: 0.002358442259856797
Position 33196: 0.0023282071740796098
Position 12893: 0.0022733412308342926
Position 19320: 0.0022413494388839627
Position 33223: 0.0021475169281059644
Position 25832: 0.0020922876356281057
Position 356: 0.002052839276993618
Position 10700: 0.001977655802444724
Position 5217: 0.0019385419170379985
