Gene = AB124611
index = 82
Annotated 5SS: [  107  2883 12914 13685 14423]
Annotated 3SS: [ 2561 12885 13640 14384 18475]
SMsplice 5SS: [  107  2883  9797 12914 13728 14423]
SMsplice 3SS: [ 2561  9706 12885 13640 14384 17279]
top_k =  500
Partition function (log Z): -3.9978699920317826

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9910497154751082
Position 14423: 0.8424398759400787
Position 9797: 0.7066264873066865
Position 12914: 0.6387869002953915
Position 2883: 0.5586485224635253
Position 13728: 0.548262551893057
Position 15969: 0.42011850536383316
Position 2778: 0.38893361004532667
Position 7549: 0.25360161422260674
Position 2356: 0.18400649990380255
Position 9787: 0.1473135888331928
Position 13685: 0.12840228165997047
Position 13723: 0.1273624819761278
Position 409: 0.11712299560575094
Position 14232: 0.0811709768127629
Position 14465: 0.08007729135129965
Position 2335: 0.05110430354540763
Position 13197: 0.04459043397890605
Position 1457: 0.04037195241023846
Position 14936: 0.03895785598404195
Position 14067: 0.036330679722439814
Position 14189: 0.030873878397773134
Position 13523: 0.023637069284109476
Position 16966: 0.021959827755582483
Position 16970: 0.02164849896093719
Position 2699: 0.021058596644260897
Position 14120: 0.020631630273285295
Position 14584: 0.01773191105454556
Position 2472: 0.017534382105324462
Position 13004: 0.016734385241456103
Position 14048: 0.015525171442949782
Position 2823: 0.015204136368106774
Position 17156: 0.014720320373569374
Position 3130: 0.013769149994131785
Position 663: 0.010728093261902905
Position 14331: 0.008837677286771428
Position 7580: 0.008086436379478026
Position 444: 0.007036719821779243
Position 7735: 0.004918768038717131
Position 2086: 0.004164002723573744
Position 478: 0.0033408494931501218
Position 296: 0.0012276135534770663
Position 1823: 0.0011808300186868326
Position 16988: 0.0010588154802717233
Position 16555: 0.0010106338854326468
Position 9824: 0.0008741787743897669
Position 2303: 0.0007309206598924371
Position 1862: 0.0006567509366198998
Position 1879: 0.0005664328344011068
Position 14944: 0.0003806901039521063
Position 15083: 0.0002736142163352251
Position 2411: 0.0002673077684896854
Position 2864: 0.00018235893110928083
Position 14594: 0.00016967492350732506
Position 2098: 0.00015726865246479423
Position 1976: 0.0001471308812274563
Position 184: 0.00014606849974354335
Position 1986: 0.00014603524010962674
Position 391: 0.00012899245688905106
Position 1961: 0.0001253886419020914
