Gene = Colca2
index = 283
Annotated 5SS: [ 221  974 4689 6242]
Annotated 3SS: [ 878 4633 6011 7643]
SMsplice 5SS: [ 230  974 4689]
SMsplice 3SS: [ 878 4633 6011]
top_k =  500
Partition function (log Z): -3.659032009578587

Sorted 5' Splice Sites (High to Low Probability):
Position 974: 0.9945569787062004
Position 230: 0.8536450394289605
Position 4689: 0.6135411497911498
Position 6242: 0.45302795939600493
Position 7346: 0.20712025549382987
Position 1753: 0.13856327419584577
Position 3788: 0.12919556004793384
Position 3938: 0.12078901026267037
Position 2273: 0.08700005633239057
Position 221: 0.07810461901041599
Position 5113: 0.06768553548361736
Position 4814: 0.06203156344763643
Position 143: 0.050050822502791636
Position 420: 0.03298271296689694
Position 3755: 0.02775658757020573
Position 1597: 0.01810322336040052
Position 554: 0.017141424639237395
Position 7361: 0.013943952748234454
Position 4225: 0.012893892736904396
Position 4453: 0.01027680548546516
Position 331: 0.008970623991783729
Position 772: 0.0065014748979868595
Position 3635: 0.005749711077051455
Position 7297: 0.005747763599057635
Position 1452: 0.005019899332520311
Position 674: 0.004920938813211581
Position 425: 0.0035747940637006104
Position 2869: 0.0032671387328084304
Position 6290: 0.003225205189741719
Position 5196: 0.003018242809123535
Position 5604: 0.002751522592788553
Position 497: 0.0023050329162934893
Position 7399: 0.002033481429965629
Position 678: 0.0019260897993401147
Position 1583: 0.0014872334977697487
Position 1245: 0.0014452342312154436
Position 6325: 0.001275949809574963
Position 6212: 0.0012484987287074247
Position 91: 0.001138452907312549
Position 6127: 0.0005068227031529669
Position 790: 0.0004914723289296007
Position 4221: 0.00048566318871214075
Position 2840: 0.00046732109488821364
Position 4353: 0.0001418113081917344
Position 376: 0.00012248753594766644
Position 118: 8.005631585392474e-05
Position 559: 6.324364767345795e-05
Position 1593: 6.0543123863126034e-05
Position 225: 5.1714608801017445e-05
Position 234: 5.059996799387103e-05
Position 1575: 4.747903826543448e-05
Position 334: 4.578433825893974e-05
Position 690: 4.317421978592997e-05
Position 821: 3.185160962637427e-05
Position 1518: 3.0231001080132412e-05
Position 1493: 2.5774260757907248e-05
Position 646: 2.429125651479393e-05
Position 2124: 2.1050988061692133e-05
Position 1111: 1.6037149457290313e-05
Position 616: 1.503197471416437e-05
Position 3078: 1.4425577793427098e-05
Position 282: 1.4159952731221177e-05
Position 275: 1.3407022225874496e-05
Position 58: 1.2942833931310163e-05
Position 1607: 1.2930397738478535e-05
Position 1603: 1.2764410174628439e-05
Position 517: 1.0754859502342109e-05
Position 890: 5.686335018005662e-06
Position 2998: 4.548016272183696e-06
Position 663: 3.860727872701737e-06
Position 1024: 3.650770171013056e-06
