Gene = Tpbg
index = 1134
Annotated 5SS: [213]
Annotated 3SS: [1270]
SMsplice 5SS: [213]
SMsplice 3SS: [1270]
top_k =  500
Partition function (log Z): -9.048400643672416

Sorted 5' Splice Sites (High to Low Probability):
Position 213: 0.806306814197094
Position 576: 0.4761778924485451
Position 1383: 0.4545224047078441
Position 2006: 0.1296455710852013
Position 2189: 0.06544076476220329
Position 602: 0.06379869419855144
Position 1115: 0.06093035138866719
Position 849: 0.03028758429635598
Position 1650: 0.010766533900924666
Position 568: 0.008765634360305046
Position 1323: 0.00859590558625072
Position 1822: 0.007246228074871872
Position 87: 0.007045397008895812
Position 1996: 0.0056969400870160196
Position 972: 0.005267221406822429
Position 3032: 0.00516997243020467
Position 912: 0.00402670326845818
Position 184: 0.003994323572168213
Position 349: 0.0031567542314726127
Position 1827: 0.003115537598726996
Position 1852: 0.002121166400877563
Position 170: 0.0018884145543092024
Position 1080: 0.0017686828556579698
Position 811: 0.00153170611620119
Position 464: 0.0014883473834759503
Position 206: 0.0006985933631214859
Position 1024: 0.0006476289257267347
Position 1387: 0.0005415533518430622
Position 386: 0.00042701957359363727
Position 956: 0.0004245027999300943
Position 798: 0.00036492304598539894
Position 1411: 0.0003561910882024065
Position 156: 0.000237863771547789
Position 195: 0.00021353549624823537
Position 2027: 0.00018572739563063248
Position 1368: 0.0001496160703760137
Position 1098: 0.0001357737838951712
Position 883: 0.0001260874470696035
Position 1035: 7.61877747798312e-05
Position 339: 6.65537563286499e-05
Position 325: 6.465278893601038e-05
Position 298: 5.3895000167609224e-05
Position 1089: 5.2906271295556276e-05
Position 2356: 4.06512786395107e-05
Position 200: 3.9733436425481454e-05
Position 94: 3.596185539342282e-05
Position 1030: 3.153428667848583e-05
Position 71: 2.4564770956535063e-05
Position 959: 2.2811227187707854e-05
Position 1145: 2.233376415858134e-05
Position 1001: 1.1202208175148554e-05
Position 1447: 9.923052496085686e-06
Position 10: 8.239528129432683e-06
Position 628: 3.0112844064913704e-06
Position 1711: 2.8267516962043872e-06
Position 1370: 2.5703205338212743e-06
Position 536: 9.221391196680543e-07
Position 445: 7.845315812104418e-07
Position 482: 5.946181076558076e-07
Position 458: 9.046087353594687e-08
Position 494: 8.210726311647849e-08
Position 583: 1.4089455084546077e-08
Position 648: 1.3935285933167397e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1270: 0.7124227699610377
Position 455: 0.20923701952654455
Position 1905: 0.192096046179411
Position 2950: 0.1033735496275822
Position 2072: 0.09679745526443209
Position 320: 0.09451895000372157
Position 1703: 0.08029964408460187
Position 3134: 0.06431672552528447
Position 911: 0.05644633899256334
Position 4473: 0.0484661362760422
Position 2695: 0.046990251051696026
Position 416: 0.04328632893598261
Position 2093: 0.04328214099026374
Position 4504: 0.04210069060794411
Position 1738: 0.0385137626947281
Position 2822: 0.03624336217644927
Position 740: 0.03345500117623351
Position 1495: 0.029721787680421316
Position 2117: 0.02333911504631218
Position 3937: 0.020429744129584884
Position 1941: 0.020081493924809186
Position 364: 0.020052776317943517
Position 560: 0.014997228796664288
Position 2676: 0.011780085551896816
Position 1764: 0.010843083467755258
Position 1544: 0.009727901548666231
Position 507: 0.007519836429203309
Position 3306: 0.007228893791769328
Position 383: 0.0045736229717585125
Position 4165: 0.004493682377513507
Position 975: 0.004464739311489761
Position 2048: 0.0043359329872144515
Position 510: 0.003955861569348183
Position 513: 0.0035292087539990917
Position 3456: 0.002690690682850054
Position 1500: 0.0022615900964340395
Position 644: 0.001975636053528474
Position 951: 0.001801315977637362
Position 494: 0.001748949748507531
Position 2755: 0.0016403507159477855
Position 385: 0.001389253826153132
Position 2166: 0.001342509508892273
Position 3921: 0.0012924254437333398
Position 2481: 0.0011747867806441155
Position 380: 0.0011199373335568836
Position 2342: 0.001073375803128376
Position 1035: 0.0010439398777633178
Position 1451: 0.000981779847107286
Position 955: 0.0008794617104924899
Position 1154: 0.0008516695122919111
Position 153: 0.0007937861429699191
Position 463: 0.0006851507977446631
Position 3036: 0.0006659134163301591
Position 2979: 0.000638244340994242
Position 995: 0.0004749641640159691
Position 1851: 0.00045400688482819294
Position 2327: 0.0004059306561222428
Position 1041: 0.000398136120798671
Position 845: 0.0003894185434681078
Position 338: 0.0003875587474824465
Position 1295: 0.00036793484951352717
Position 473: 0.000310649786135413
Position 1001: 0.00027095304314702316
Position 868: 0.0002482399001272666
Position 1299: 0.00017319972444978935
Position 325: 0.0001487269659961994
Position 978: 0.00014723619862725928
Position 918: 0.00011384494485193769
Position 927: 8.999606979775722e-05
Position 333: 7.23097791759346e-05
Position 1577: 6.18582601508025e-05
Position 768: 6.112105833541441e-05
Position 1225: 5.5033555220058975e-05
Position 924: 3.826913354595329e-05
Position 212: 3.6605146419005094e-05
Position 1338: 3.0509187600151544e-05
Position 548: 2.6427548919397996e-05
Position 1065: 1.6426641981129693e-05
Position 492: 1.399388459455521e-05
Position 487: 1.2781999500784694e-05
Position 780: 1.192181692899159e-05
Position 162: 1.1454248891380119e-05
Position 1194: 9.935528966440403e-06
Position 1297: 7.925465834352019e-06
Position 489: 6.545525723517852e-06
Position 521: 5.653708096795776e-06
Position 165: 1.3510950037692498e-06
Position 181: 1.160943640780223e-06
Position 168: 1.021791987045158e-06
Position 192: 3.850604066407667e-07
Position 99: 3.687142412562589e-07
Position 268: 2.463269183693169e-07
Position 393: 1.9250398275961123e-07
Position 183: 1.206380859670503e-07
Position 626: 8.613907459818568e-08
Position 247: 8.150338448790492e-08
Position 601: 4.660489417873097e-08
Position 580: 2.278565109798151e-08
Position 1356: 2.0928472714040773e-08
Position 575: 1.1896902967172116e-08
Position 259: 1.400993899508157e-09
Position 271: 5.018798540637684e-10
