Gene = Rpe
index = 915
Annotated 5SS: [  198  5695 13886 14417 15215]
Annotated 3SS: [ 5614 13745 14281 15127 16922]
SMsplice 5SS: [  198  5695 13886 14417]
SMsplice 3SS: [ 5614 13745 14281 16455]
top_k =  500
Partition function (log Z): -8.909673675074611

Sorted 5' Splice Sites (High to Low Probability):
Position 5695: 0.9976535645805996
Position 198: 0.8195222411605351
Position 13886: 0.7785598137049585
Position 14417: 0.7029216473532606
Position 15215: 0.33303018710409305
Position 806: 0.12880349169041452
Position 6056: 0.10723211647057083
Position 14441: 0.0930354080059925
Position 3883: 0.07677865401649071
Position 3935: 0.07616382536228453
Position 2909: 0.06594805940085856
Position 3219: 0.05602699719600392
Position 4926: 0.04470169462697572
Position 818: 0.044509029177326534
Position 187: 0.03538114647325456
Position 6781: 0.03283718924706155
Position 12771: 0.02889106633444919
Position 18248: 0.025793091092634272
Position 2375: 0.021403404427306056
Position 1926: 0.01458601801222388
Position 16130: 0.012135832892399463
Position 1964: 0.011487931369706224
Position 4706: 0.00951952530402047
Position 3749: 0.007563345642622442
Position 1427: 0.0075210413005637215
Position 2927: 0.007149540713338457
Position 2737: 0.006986613834576755
Position 2518: 0.005673795642852767
Position 5034: 0.004074740113602206
Position 1457: 0.0038670690336440393
Position 4854: 0.003425818002316934
Position 235: 0.0032008323633410276
Position 735: 0.002882258472255605
Position 2953: 0.0021635378350621315
Position 377: 0.0020222867097971792
Position 3501: 0.0017805251856888536
Position 1959: 0.0016397808642821198
Position 625: 0.0015481639747443312
Position 5978: 0.0015442635671913476
Position 358: 0.0014723010032692081
Position 728: 0.0014436567690013264
Position 6421: 0.001396094359821557
Position 141: 0.0013388013680454888
Position 3725: 0.0012120104937066835
Position 2488: 0.0011725869098471661
Position 4657: 0.001095908592155013
Position 3171: 0.0010795987754943946
Position 1174: 0.000987807281308968
Position 9701: 0.0009809691478416362
Position 3868: 0.0008533509831244134
Position 5751: 0.0006556444533437613
Position 708: 0.0006385710220726926
Position 1433: 0.0005725491580698272
Position 5699: 0.0005704839321833722
Position 387: 0.0005314145877627597
Position 8894: 0.0004813855058557481
Position 285: 0.000476153218419852
Position 6191: 0.0004498102949573644
Position 433: 0.00041594487997584145
Position 1459: 0.0003257117274551036
Position 5755: 0.0002460495840510922
Position 822: 0.00023713600137573797
Position 6206: 7.244343743520791e-05
Position 618: 2.2231591320865257e-05
Position 270: 1.9765895840835715e-05
Position 7122: 1.654392047388777e-05
Position 692: 1.4259261592130973e-05
Position 1037: 2.9016664124921014e-06
Position 241: 2.0562914156524284e-06
Position 81: 1.8989298147788198e-06
Position 732: 1.819897949039446e-06
Position 45: 1.7144216351392644e-06
Position 102: 1.6495083741021288e-06
Position 6210: 1.511034709570836e-06
Position 697: 1.0132954663724996e-06
Position 5956: 9.871658387057267e-07
Position 384: 9.078920577723008e-07
Position 441: 8.597495264442259e-07
Position 415: 8.307139386617164e-07
Position 7673: 7.400760211509433e-07
Position 2145: 6.020043988448656e-07
Position 6230: 5.013261881928775e-07
Position 1938: 3.590348751576271e-07
Position 623: 3.5609559512965065e-07
Position 265: 3.281076775839507e-07
Position 23: 2.9355490981209146e-07
Position 560: 2.070204831540508e-07
Position 6008: 1.4755067970756362e-07
Position 5886: 8.743595028725159e-08
Position 5973: 8.273340481517998e-08
Position 667: 4.428419225870818e-08
Position 889: 1.628665771071432e-08
Position 505: 9.564585012873981e-09
Position 413: 2.3897242465871173e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5614: 0.9118268696372271
Position 14281: 0.7841922396596389
Position 13745: 0.7785598137049585
Position 15127: 0.34287990459035306
Position 16455: 0.23741694076127406
Position 18731: 0.19577335778075683
Position 18073: 0.13506529613052246
Position 18219: 0.12310818370217512
Position 3814: 0.11727796291529624
Position 5543: 0.08763339345411897
Position 5929: 0.0828636598519278
Position 15100: 0.07345687889049321
Position 16922: 0.061834155432931
Position 4841: 0.050872885619660906
Position 2819: 0.04475575416895516
Position 14229: 0.03720406842468155
Position 16951: 0.032215458168605646
Position 3047: 0.03061546391296103
Position 2855: 0.029444496648765563
Position 5849: 0.026976410578836218
