Gene = Dpm3
index = 347
Annotated 5SS: [ 234 7249]
Annotated 3SS: [7004 7370]
SMsplice 5SS: [ 234 7249]
SMsplice 3SS: [7004 7370]
top_k =  500
Partition function (log Z): -7.99410931570652

Sorted 5' Splice Sites (High to Low Probability):
Position 234: 0.7520381153857892
Position 7249: 0.39219967594863836
Position 2466: 0.3198375200439509
Position 208: 0.20363438763961136
Position 2572: 0.14599002565049593
Position 1500: 0.06899671817237653
Position 3360: 0.05673376509921928
Position 352: 0.032233161704894146
Position 6871: 0.021796057471066145
Position 2299: 0.019042759594172017
Position 6808: 0.016952966281296004
Position 6015: 0.01584889607582326
Position 1929: 0.011096457181217434
Position 3527: 0.00985098203227164
Position 2403: 0.008734781188740836
Position 2678: 0.008587764242856436
Position 809: 0.007958661669360255
Position 7192: 0.0072716231074961175
Position 3449: 0.005859074816197625
Position 212: 0.004314141417797504
Position 145: 0.0031869971271307478
Position 1267: 0.0024676143132140536
Position 3424: 0.002286828901092921
Position 376: 0.0019307340961695649
Position 893: 0.0017898261913121564
Position 2884: 0.0012801655515448916
Position 2516: 0.0010585530671712979
Position 2105: 0.0009929711140275038
Position 3159: 0.0009570997821080142
Position 223: 0.0008259246251390471
Position 7045: 0.0007495220596709787
Position 865: 0.0007479547979100703
Position 1780: 0.0007339072736321401
Position 2669: 0.0007120449837774176
Position 6020: 0.0006680940411054574
Position 1418: 0.0005756430385410704
Position 1436: 0.0004947807114853776
Position 288: 0.00047331850817193007
Position 2894: 0.000443163505467888
Position 3306: 0.0003049725426470974
Position 3108: 0.0002858668000077787
Position 2255: 0.00022104838961618984
Position 3523: 0.00021926766608008425
Position 2762: 0.0001425031144664895
Position 340: 0.00014066454452734943
Position 1514: 0.00012958266087293886
Position 1356: 0.0001083004425095609
Position 1333: 5.877405663948968e-05
Position 1681: 4.948768839143401e-05
Position 2270: 1.3712773762091262e-05
Position 2372: 1.2252131236423627e-05
Position 803: 3.1894411302538975e-06
Position 227: 2.242296710792193e-06
Position 954: 2.197668952637986e-06
Position 201: 9.679246618425749e-07
Position 668: 4.820990434403645e-07
Position 337: 4.41649590286945e-07
Position 191: 3.598884682758018e-07
Position 240: 3.4778134422862553e-07
Position 1853: 3.4017637928241774e-07
Position 238: 3.1443812898845027e-07
Position 327: 3.0039605500938285e-07
Position 787: 2.9423305738199527e-07
Position 117: 2.271733778900603e-07
Position 303: 2.2671243757166076e-07
Position 782: 1.4240245612627596e-07
Position 221: 1.3866043886905586e-07
Position 1044: 1.354148662558994e-07
Position 152: 1.2598775679597099e-07
Position 643: 1.1653064263670487e-07
Position 82: 1.1405054219878246e-07
Position 452: 1.0331448521881285e-07
Position 446: 9.576257016384699e-08
Position 298: 8.595229641617895e-08
Position 649: 6.349646087357183e-08
Position 265: 5.721862617770224e-08
Position 391: 4.538042302174371e-08
Position 356: 4.364097069580465e-08
Position 48: 4.042999892288456e-08
Position 273: 3.864770905685684e-08
Position 431: 3.105434178379538e-08
Position 659: 1.9090958080613216e-08
Position 358: 1.543458327949815e-08
Position 46: 1.053313571378418e-08
Position 296: 3.990488928169675e-12
Position 434: 2.8645881619958885e-12
Position 275: 2.1648147845567374e-12
Position 634: 1.951314927017891e-12
Position 437: 1.552572081357306e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 7370: 0.5523633487274788
Position 7004: 0.3973880211501417
Position 3261: 0.33128475256085144
Position 2214: 0.23660423252774268
Position 2382: 0.08046969154968979
Position 2442: 0.0728458447069688
Position 2353: 0.04828606681825765
Position 6739: 0.042732823694332636
Position 3706: 0.03965630294630329
Position 7095: 0.03599800465110671
Position 2465: 0.031192995351138664
Position 5875: 0.026442453800443223
Position 2248: 0.025828774704069715
Position 1266: 0.02309524041832472
Position 1304: 0.021068413668691846
Position 7064: 0.019845363294454132
Position 1119: 0.01325744750732988
Position 2169: 0.013036432656059345
Position 7035: 0.013032653555541273
Position 1172: 0.008942352307467127
Position 1965: 0.006456728648374698
Position 3187: 0.006449275245210355
Position 6716: 0.006444775977269108
Position 714: 0.0063211197850856
Position 7559: 0.0052098713640025855
Position 1775: 0.004505565746141249
Position 6211: 0.004439396112459615
Position 3029: 0.0038842389896305385
Position 4426: 0.003231932844916298
Position 2194: 0.0024984012780580266
Position 2485: 0.00245653597886362
Position 749: 0.0023056986290544553
Position 4593: 0.002086926221825289
Position 1389: 0.0019855359919999965
Position 643: 0.0019240702870255146
Position 808: 0.00186227486248262
Position 1395: 0.0017703552423993401
Position 6641: 0.0017011435621590372
Position 2983: 0.001666687213853922
Position 1311: 0.001638304682986964
Position 4554: 0.0014719725815387978
Position 3603: 0.001403733408088314
Position 5191: 0.0013479826054678162
Position 3218: 0.0012255116567102466
Position 2772: 0.0011863562752097792
Position 1773: 0.0011758148560317625
Position 1222: 0.0011078547452535554
Position 1828: 0.0010191000345861523
Position 3241: 0.0009370621799786014
Position 2809: 0.0009076585743813116
Position 3077: 0.0008587905508320396
Position 3901: 0.000816537203974782
Position 1840: 0.000773055450966847
Position 2394: 0.0007456142676511136
Position 1803: 0.0007245812816219043
Position 1779: 0.0006895232927703092
Position 446: 0.0006821182215662843
Position 1418: 0.0006725777473916089
Position 3875: 0.00066476442201945
Position 5891: 0.0005938374871198352
Position 5546: 0.0005935941204800667
Position 1588: 0.0005919955367007316
Position 2789: 0.0005599669977598758
Position 1196: 0.0005380170466278567
Position 1244: 0.0005379392368711905
Position 2618: 0.0005326842381680656
Position 1411: 0.0005172826407575171
Position 2877: 0.0005020649664034717
Position 1768: 0.0004950483277197711
Position 2956: 0.00048578464350114854
Position 1664: 0.0004575043696661839
Position 1125: 0.0004406346437239514
Position 2492: 0.00043416275354317223
Position 1610: 0.0004153483291980871
Position 2667: 0.00034865108544220226
Position 2223: 0.0003458916473817422
Position 1622: 0.000312477107072468
Position 4032: 0.0002826899224679316
Position 5760: 0.0002720687288657886
Position 2041: 0.0002624746071789662
Position 1177: 0.00022135641245082854
Position 1567: 0.0002079891115432489
Position 647: 0.00019374420664604764
Position 1322: 0.00018013071189374415
Position 375: 0.0001755956312025209
Position 1901: 0.00015101458644011878
Position 3382: 0.00014758480755219452
Position 690: 0.00013803076530288837
Position 667: 0.00013315172277797132
Position 2847: 0.00011780220235812103
Position 1336: 0.00010488723909517344
Position 1121: 0.00010352045011115385
Position 1578: 0.00010057994691567185
Position 662: 9.608019032769023e-05
Position 1346: 9.414582230432647e-05
Position 1597: 7.860588188841647e-05
Position 1864: 7.716691809946824e-05
Position 1908: 6.846296485087393e-05
Position 2290: 6.387542091229334e-05
Position 2747: 5.688875351565244e-05
Position 2897: 5.1550482380863463e-05
Position 2009: 4.692841056763056e-05
Position 1810: 4.510434930807785e-05
Position 1869: 3.836564245956609e-05
Position 431: 3.3221696869954184e-05
Position 695: 2.9848514451245072e-05
Position 676: 2.8155745308381693e-05
Position 834: 2.6429321470939838e-05
Position 1340: 2.318403053065837e-05
Position 1422: 2.3116357671311538e-05
Position 1673: 2.2633905907201957e-05
Position 1714: 1.663145365258336e-05
Position 1356: 1.1578899870473553e-05
Position 716: 3.543481977114433e-06
Position 2087: 4.80339815903336e-07
Position 1286: 1.31534271960622e-07
Position 754: 7.024658460323101e-08
Position 420: 4.090805391592961e-08
Position 857: 4.044040995002934e-08
Position 1082: 6.6468709910322125e-09
Position 881: 3.790049435481679e-09
Position 845: 3.1187373793598936e-09
