Gene = Eed
index = 361
Annotated 5SS: [  572  4087  8753  9444 10678 11413 13271 16255 18728 24729 25453]
Annotated 3SS: [ 3933  8659  9377 10551 11330 13178 16120 18621 24569 25378 25919]
SMsplice 5SS: [  572  4087  8753 10678 11413 13001 13271 16255 24729 25453]
SMsplice 3SS: [ 3933  8659 10551 11330 12893 13178 16120 24569 25378 25919]
top_k =  500
Partition function (log Z): 1.7244616179159262

Sorted 5' Splice Sites (High to Low Probability):
Position 4087: 0.9522307280733615
Position 13271: 0.90899579818131
Position 11413: 0.8998089460298153
Position 16255: 0.8775851651140127
Position 8753: 0.8338606390688935
Position 572: 0.7719453982829404
Position 10678: 0.6628671750036952
Position 19933: 0.65947702561142
Position 13001: 0.5451302539329657
Position 24729: 0.4458845624417976
Position 2297: 0.42233127974221746
Position 18728: 0.3941978792290947
Position 67: 0.35264892051283947
Position 9625: 0.22602848527356836
Position 25453: 0.2017590080783121
Position 4670: 0.19738983864561496
Position 8774: 0.13825195171955781
Position 12997: 0.12932203259926783
Position 11671: 0.12541432782218942
Position 917: 0.12024043701782433
Position 16340: 0.08991212376964168
Position 21568: 0.08606165304626842
Position 14897: 0.08356941114984348
Position 11403: 0.07867024934317804
Position 24640: 0.07118576744808085
Position 5952: 0.06322801741231154
Position 12920: 0.04337184746922612
Position 9651: 0.04147324503293109
Position 13287: 0.03868568971353449
Position 3002: 0.03544942956285836
Position 6944: 0.03224165536211965
Position 9378: 0.03211045969684111
Position 4980: 0.029848596883603033
Position 6607: 0.029618584627451615
Position 13435: 0.029496432537514626
Position 2776: 0.02851064693399057
Position 14621: 0.027105958305345016
Position 5772: 0.026595236466686607
Position 5631: 0.024150452629646095
Position 7759: 0.023827959114579574
Position 10036: 0.023005675282603607
Position 5926: 0.021921359411508815
Position 13515: 0.020610972959951547
Position 2134: 0.019984170999421538
Position 9288: 0.019584890269876077
Position 8764: 0.0177310640874558
Position 15659: 0.01729403151421935
Position 1531: 0.014974822465040201
Position 13892: 0.01466079941659632
Position 3021: 0.013551747943103574
Position 810: 0.012741526595441522
Position 2192: 0.011501702467962295
Position 8006: 0.011340662568862203
Position 13521: 0.01049872550104498
Position 18255: 0.009956577204732999
Position 5948: 0.009498219355976924
Position 15259: 0.00927276975467099
Position 9619: 0.00919829147141675
Position 12681: 0.007899146411215445
Position 13542: 0.007648105609955238
Position 9855: 0.007576911757468619
Position 9109: 0.00679880974615594
Position 4779: 0.00659708556758105
Position 6505: 0.00622991825257254
Position 1628: 0.005532760408474313
Position 3341: 0.005015417224168579
Position 15237: 0.005007699162281681
Position 16793: 0.004440862507888643
Position 1982: 0.0042279375403457475
Position 258: 0.004135129066796191
Position 1869: 0.0040017316816722045
Position 791: 0.003455248998814954
Position 12348: 0.00338770839417729
Position 5260: 0.003254886798763069
Position 12102: 0.003240196033725191
Position 10478: 0.00323176430781636
Position 8908: 0.0031185472163634304
Position 4927: 0.003007334678881398
Position 2826: 0.002924469078496304
Position 4878: 0.0028851047846142367
Position 627: 0.002797536170134115
Position 2551: 0.0027339607789530944
Position 6181: 0.002284534388803379
Position 6724: 0.0017968782071046607
Position 13005: 0.0016443535880935212
Position 2370: 0.0015976059316295732
Position 11435: 0.0015797735804699417
Position 2834: 0.0012174850352439368
Position 111: 0.0011544811276286663
Position 2506: 0.001107886923910965
Position 4272: 0.0007006012209057017
Position 619: 0.0006704264204676385
Position 1963: 0.0005894430239744592
Position 13236: 0.0005588566823191511
Position 169: 0.0004185826230861824
Position 4614: 0.00035444324659823485
Position 11707: 0.0003522812284590524
Position 240: 0.00031620318619306827
Position 87: 0.0002560513522199398
Position 11: 0.00016153128149857092
Position 126: 0.0001099801664191827
Position 404: 8.158002808333233e-05
Position 97: 7.850813049003073e-05
Position 612: 6.621247686912733e-05
Position 178: 5.5500001787651516e-05
Position 49: 5.45061933866996e-05
Position 176: 4.397739964174643e-05
Position 590: 2.0641170123675812e-05
Position 13259: 1.2183459178077788e-05
Position 13266: 1.01030670810136e-05
Position 289: 3.851891228434555e-06
Position 391: 1.898348639645691e-06
Position 523: 1.417710215696096e-06
Position 576: 1.2228827764114382e-06
Position 351: 9.63756910449414e-07
Position 601: 7.521712209120994e-07
Position 333: 7.279562807612606e-07
Position 606: 6.964378763573538e-07
Position 281: 5.735161122207299e-07
Position 279: 5.553353159377584e-07
Position 1231: 3.6839045916498916e-07
Position 801: 3.247141127085055e-07
Position 948: 2.0835635494076828e-08

