Gene = Gclm
index = 429
Annotated 5SS: [  555 10054 13735 16371 17246 19352]
Annotated 3SS: [ 9987 13649 16310 17042 19236 20670]
SMsplice 5SS: [  555 10054 13735 16371 17246 19352 20762]
SMsplice 3SS: [ 9987 13649 16310 17042 19236 20670 24029]
top_k =  500
Partition function (log Z): -2.602823043330783

Sorted 5' Splice Sites (High to Low Probability):
Position 13735: 0.9999999999999977
Position 19352: 0.8996898590155306
Position 17246: 0.899240892925825
Position 16371: 0.8279198864114481
Position 555: 0.7574891318128966
Position 20762: 0.6802108498096895
Position 18018: 0.46620813365264224
Position 807: 0.3152565771820989
Position 10054: 0.2945694523018569
Position 20524: 0.18448678941563731
Position 16240: 0.14601075012604192
Position 16697: 0.13981473614734222
Position 84: 0.12443140389226501
Position 16881: 0.08112347267001797
Position 3126: 0.07449964557893975
Position 19424: 0.06914284871665759
Position 20553: 0.06895465671830912
Position 1751: 0.04406410770299499
Position 22452: 0.037781404628816136
Position 16953: 0.03733850720568334
Position 14955: 0.03656561731941672
Position 20025: 0.03393404933712098
Position 11228: 0.03149327007276813
Position 22398: 0.031484265401597177
Position 16885: 0.02561147173268108
Position 16851: 0.022496212945795496
Position 17805: 0.019614360239574153
Position 22432: 0.019195715142392877
Position 17843: 0.01669117981023889
Position 18143: 0.014927533236343311
Position 20068: 0.0127189255372743
Position 17868: 0.01124038583241589
Position 19968: 0.008350721256204816
Position 19555: 0.007153119438352962
Position 15366: 0.006792139336719206
Position 631: 0.006640349707969098
Position 16275: 0.005755837822306244
Position 16646: 0.004866401643262402
Position 564: 0.004807286575698144
Position 22467: 0.0030241018482065536
Position 23536: 0.0027869121001335173
Position 23477: 0.0026509072287645985
Position 17111: 0.002554774445777813
Position 17890: 0.0025376894841716577
Position 22317: 0.0021931093359623412
Position 19804: 0.0020806355926243805
Position 22410: 0.0019025055281871746
Position 2553: 0.0017206959301235695
Position 16253: 0.0016562109953859741
Position 18026: 0.0014950901193161537
Position 1616: 0.0014567429132436522
Position 17918: 0.0013333827199776256
Position 17665: 0.001140695744774966
Position 19817: 0.001129329377200141
Position 23221: 0.0010007413354425991
Position 17255: 0.000971086641995625
Position 20492: 0.0009063926576542311
Position 64: 0.0008461889899355518
Position 17352: 0.0008437120425594818
Position 58: 0.0007605803445588118
Position 15939: 0.0007413200493868832
Position 19772: 0.0007396464227312722
Position 668: 0.00071675803279189
Position 639: 0.0006659585320942411
Position 16978: 0.0006200715290179047
Position 89: 0.00029176738211705996
Position 20624: 0.00028097411865573386
Position 17999: 0.00027075737280734776
Position 20769: 0.00023254850069097225
Position 824: 0.00022859530989299208
Position 20775: 0.0002268040353821318
