Gene = Igfl3
index = 563
Annotated 5SS: [  52 3580 3826]
Annotated 3SS: [3251 3755 5243]
SMsplice 5SS: [  52 3580 3826]
SMsplice 3SS: [3251 3755 4183]
top_k =  1000
Partition function (log Z): -7.701246524220845

Sorted 5' Splice Sites (High to Low Probability):
Position 3580: 0.8121692458882664
Position 52: 0.7386239179097902
Position 3826: 0.543133598727966
Position 3978: 0.17604573670928045
Position 569: 0.17257482346977168
Position 4499: 0.08981605716614238
Position 1834: 0.08906849126407812
Position 581: 0.061336955477211165
Position 2143: 0.056746567285852284
Position 3134: 0.04463102954848527
Position 432: 0.039664275589686236
Position 619: 0.036744491306160934
Position 670: 0.03457682757104343
Position 4768: 0.030648798364835316
Position 3355: 0.027677406821062667
Position 3860: 0.022699300799233234
Position 909: 0.011752051829297302
Position 3139: 0.009051488644417825
Position 2720: 0.005631782329468599
Position 56: 0.003788043132725736
Position 519: 0.003357030527550698
Position 918: 0.0032518941473639175
Position 4783: 0.003251684655930342
Position 920: 0.0029941526800525142
Position 922: 0.0027331897548523755
Position 2150: 0.002579862783363809
Position 924: 0.0020926929932064027
Position 2241: 0.0018930587932868353
Position 4075: 0.0018617695878370064
Position 3644: 0.001858934703780466
Position 3357: 0.0016545016542507734
Position 916: 0.0016238667400115395
Position 1289: 0.001475193172209651
Position 926: 0.001396796602750659
Position 902: 0.0013621688097846668
Position 4471: 0.0011097580212912092
Position 1349: 0.0010906860907756535
Position 996: 0.0010066173516573961
Position 4710: 0.0009858030066230677
Position 4562: 0.0009209013214609368
Position 4749: 0.0008445227192679536
Position 928: 0.0008168168553034096
Position 3252: 0.0006055901692241805
Position 3913: 0.0005928450502245696
Position 3610: 0.0005911494187438796
Position 930: 0.0004969657545254336
Position 912: 0.000437906019407239
Position 1901: 0.0004284744355738052
Position 1759: 0.00042380751498183566
Position 932: 0.00040055113870488495
Position 2351: 0.0003870412177667548
Position 889: 0.0003842059866441275
Position 3170: 0.0003775052211430165
Position 2786: 0.00036382176029569344
Position 934: 0.0003536572875057731
Position 1849: 0.00033114436572948843
Position 4779: 0.00024697272201413834
Position 4475: 0.0002454945265543564
Position 82: 0.00023454563084658752
Position 1962: 0.00022705032014223368
Position 119: 0.0002251173939915814
Position 936: 0.00022307547661795302
Position 1306: 0.00021445797942755415
Position 4787: 0.0001930901854926839
Position 1463: 0.00017510690617243994
Position 1076: 0.0001570747570407184
Position 938: 0.00014463830523808033
Position 1505: 0.00014462458203569077
Position 1986: 0.00014022218052057723
Position 287: 0.0001324790445592458
Position 136: 0.0001282862633952028
Position 3141: 0.00011149944491440896
Position 3597: 0.0001113814264479696
Position 131: 0.00010322960927060774
Position 940: 9.50053552666588e-05
Position 123: 9.464991155799351e-05
Position 587: 9.39190410167618e-05
Position 3818: 9.374942688486367e-05
Position 942: 7.524656202018753e-05
Position 3390: 7.291750137988778e-05
Position 575: 6.797443149159695e-05
Position 1477: 6.505872118931057e-05
Position 944: 6.14782292563917e-05
Position 3573: 3.4175546696340566e-05
Position 127: 2.5929784321625898e-05
Position 84: 1.9800557205982123e-05
Position 1539: 1.94701621702728e-05
Position 232: 1.2095330160576603e-05
Position 946: 8.906019654363158e-06
Position 303: 5.0022470194561685e-06
Position 234: 4.356946302138985e-06
Position 436: 3.909106027066997e-06
Position 3815: 3.7114272960179076e-06
Position 476: 3.170899651133474e-06
Position 467: 2.7929220367179403e-06
Position 153: 2.4589190141339998e-06
Position 612: 1.2857900845461972e-06
Position 573: 1.0841435923255388e-06
Position 368: 1.0014908774886678e-06
Position 445: 9.56684555106489e-07
Position 486: 8.177272221840517e-07
Position 212: 7.142445948563056e-07
Position 526: 6.527059986110602e-07
Position 461: 6.499696951060456e-07
Position 684: 6.300010371690047e-07
Position 633: 5.692357725735478e-07
Position 678: 5.525323070666421e-07
Position 348: 3.906816141294954e-07
Position 377: 2.2833009967838085e-07
Position 421: 2.0985557547403174e-07
Position 948: 1.7508324484592216e-07
Position 641: 1.6492690921451863e-07
Position 950: 1.4070414632733698e-07
Position 690: 1.4067930105280204e-07
Position 952: 1.2064243620892663e-07
Position 954: 1.0684972429865445e-07
Position 1080: 8.979732090571812e-08
Position 1101: 8.625483185052297e-08
Position 1094: 8.597531918039097e-08
Position 978: 3.8735860286490166e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3755: 0.8068310632253942
Position 3251: 0.5025510391908309
Position 4183: 0.3570686414899249
Position 5243: 0.16661651945203548
Position 3444: 0.16513435846266425
Position 4638: 0.14133551404038455
Position 3326: 0.07766674733105206
Position 1633: 0.06651871022042742
Position 3062: 0.0653875555153252
Position 2048: 0.049588381134274356
Position 3421: 0.045298639068558945
Position 819: 0.04460182925674893
Position 3971: 0.04449162603799807
Position 368: 0.03700600947748933
Position 3290: 0.03545992065537676
Position 4387: 0.03441125410977661
Position 4359: 0.034131510414139025
Position 4561: 0.029535651887712455
Position 5043: 0.02649771571480932
Position 4037: 0.02263942774515635
Position 5187: 0.020212460813035363
Position 3456: 0.019751139133246103
Position 1649: 0.017116788956250947
Position 3806: 0.01610367239461602
Position 4065: 0.014516251347828484
Position 5271: 0.014253194961807415
Position 341: 0.012181903595092572
Position 4194: 0.011461307755229215
Position 3912: 0.011301591328224
Position 3567: 0.010809290788438673
Position 471: 0.010140532591665917
Position 3901: 0.00941689759024948
Position 254: 0.007982594869767311
Position 4608: 0.007672776873797132
Position 3492: 0.00729008913503181
Position 5300: 0.007144575720534345
Position 278: 0.006171379527684318
Position 4230: 0.00524830444665103
Position 1203: 0.0045558139851980765
Position 4428: 0.004294009078288317
Position 210: 0.003970952616205423
Position 4090: 0.0038550234276870017
Position 295: 0.00385372967880925
Position 1986: 0.0037921756306215394
Position 4373: 0.0034501292377129116
Position 2083: 0.003261141025676219
Position 3299: 0.0032106757652439447
Position 345: 0.003158672964123497
Position 3918: 0.00285862324712415
Position 3022: 0.0028057144073699264
Position 1813: 0.002791201620959437
Position 4330: 0.002765628325649627
Position 2577: 0.002522621263561637
Position 2620: 0.0023313901005114096
Position 432: 0.0022133956830077376
Position 2062: 0.00209920859681087
Position 3608: 0.002057549384511483
Position 458: 0.0018265708895047602
Position 3762: 0.001756069706681994
Position 669: 0.001655550946527116
Position 1606: 0.0015179356581518128
Position 3517: 0.0015167565803162564
Position 4074: 0.0014919947788771904
Position 2624: 0.001328689049445149
Position 3383: 0.0013113590008589663
Position 2945: 0.0011770855625325778
Position 1653: 0.0011572315314838156
Position 4589: 0.0011429696982052859
Position 568: 0.001124378658499156
Position 1508: 0.0010672563540264145
Position 501: 0.0010205466466235266
Position 2803: 0.0008539988828864932
Position 3269: 0.0008517942393735236
Position 493: 0.0007888931431190529
Position 5277: 0.0006681513151833149
Position 3355: 0.0005906899382048602
Position 4344: 0.0005794377699033271
Position 136: 0.0005461185526553262
Position 3366: 0.0005278365068207509
Position 5094: 0.000498756666549454
Position 2025: 0.0004905695437815607
Position 486: 0.0004815615759464766
Position 448: 0.000403815386379219
Position 2012: 0.0003839064930865932
Position 1932: 0.0003700273076616079
Position 1528: 0.0003664388459086968
Position 212: 0.000355509024296475
Position 2785: 0.0003467873406590357
Position 1684: 0.0003421563855008479
Position 2029: 0.00032986840439946024
Position 225: 0.0003284978102029797
Position 4399: 0.000328258563684859
Position 4320: 0.00031347811824121175
Position 445: 0.00030498505695437467
Position 439: 0.00028384500378173633
Position 2634: 0.00027224135088918045
Position 2195: 0.00027052931436603113
Position 4341: 0.0002530013584090792
Position 1454: 0.0002425576209610104
Position 3859: 0.0002340722905220174
Position 2715: 0.0002188086247933318
Position 4099: 0.00021783328078267203
Position 2037: 0.0002109106136335755
Position 2867: 0.0001908416212543026
Position 1672: 0.0001908275639422833
Position 1690: 0.00018738712582459178
Position 4204: 0.00016442677841184227
Position 1349: 0.00015733131351348774
Position 3107: 0.00015567488908617652
Position 3778: 0.00015251555127519302
Position 1773: 0.00012733954748214455
Position 4733: 0.0001249841526537115
Position 4932: 0.00012365145019523714
Position 1520: 0.00011412149577267648
Position 4406: 0.00011374242629055504
Position 1580: 9.5848203856751e-05
Position 3930: 9.385190875577859e-05
Position 1116: 9.052029810137317e-05
Position 1894: 8.646384125657539e-05
Position 1398: 8.020633392940676e-05
Position 5211: 7.35391288860798e-05
Position 2816: 7.171856023944836e-05
Position 1900: 7.169140152699549e-05
Position 1808: 6.574880445594012e-05
Position 1819: 6.428910909961761e-05
