Gene = Tnp1
index = 1130
Annotated 5SS: [185]
Annotated 3SS: [583]
SMsplice 5SS: [185]
SMsplice 3SS: [583]
top_k =  1000
Partition function (log Z): -6.271832269423625

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.7067036774034798
Position 196: 0.280410799905596
Position 164: 0.011661208534480392
Position 125: 0.0008493361507917095
Position 422: 0.0001954585299889154
Position 189: 6.792953747009648e-05
Position 154: 5.381303900802797e-05
Position 266: 2.8955899217168354e-05
Position 464: 2.2511185406645262e-05
Position 269: 2.2428833567733284e-05
Position 41: 2.1874090138228232e-05
Position 48: 4.081033200958685e-06
Position 299: 3.134438407545325e-06
Position 215: 2.99145023887906e-06
Position 376: 2.3440011683065585e-06
Position 505: 2.095643096672485e-06
Position 115: 1.2026396480052412e-06
Position 328: 1.0844980360191006e-06
Position 541: 8.122751875091986e-07
Position 370: 3.7122507713877847e-07
Position 384: 2.754730822692946e-07
Position 635: 2.1400594691542134e-07
Position 342: 1.7587557651798024e-07
Position 394: 1.4056252944388555e-07
Position 320: 1.0957095391734342e-07
Position 336: 7.89410297748608e-08
Position 562: 7.327817970712931e-08
Position 638: 6.185372342056818e-08
Position 396: 5.0258048661801587e-08
Position 360: 4.719677096469219e-08
Position 413: 4.560352202135376e-08
Position 609: 2.1871681961667087e-08
Position 354: 1.7199056656845842e-08
Position 587: 1.6305700758814635e-08
Position 559: 6.454766075452895e-09
Position 347: 5.0877392957820475e-09
Position 551: 1.1312355563464375e-09
Position 553: 4.0822577997464065e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 583: 0.9563360743121003
Position 587: 0.030388755174573498
Position 518: 0.005021249060402892
Position 464: 0.002948503600459247
Position 416: 0.0021278292378925866
Position 370: 0.0010345610425449882
Position 421: 0.0005510985267014586
Position 375: 0.0005167347806899776
Position 659: 0.0002549605692220628
Position 624: 0.00021115778031564512
Position 241: 0.00016346909135283373
Position 668: 8.60479132862599e-05
Position 259: 6.70887926583494e-05
Position 394: 6.243456471317449e-05
Position 438: 5.9028573189673213e-05
Position 730: 4.231303966765189e-05
Position 477: 3.792631170923354e-05
Position 525: 3.692984094719621e-05
Position 662: 3.224408961473873e-05
Position 676: 9.574068998764132e-06
Position 746: 8.130581271100436e-06
Position 297: 7.591298257319939e-06
Position 702: 7.4090999694112185e-06
Position 290: 6.756257448531511e-06
Position 692: 6.3227703088590465e-06
Position 503: 5.64446857505508e-06
Position 284: 5.5481214777555536e-06
Position 706: 5.1454394274602174e-06
Position 305: 4.297382318123059e-06
Position 714: 2.50582572451404e-06
Position 720: 2.3472555040209936e-06
Position 276: 2.2540658510960582e-06
Position 694: 1.0098110132291951e-06
Position 111: 9.452526209989965e-07
Position 226: 7.561273254577994e-07
Position 266: 6.50422706445419e-07
Position 269: 4.376472251464719e-07
Position 255: 4.3132312922588706e-07
Position 299: 3.982298436072572e-07
Position 678: 3.352233112732074e-07
Position 732: 2.8910927177660563e-07
Position 167: 9.876915038635275e-08
Position 120: 5.783708870249294e-08
Position 137: 2.324436726716489e-08
Position 124: 2.2089996195619778e-08
Position 189: 1.8095935885941413e-08
Position 207: 1.236910765747516e-08
Position 215: 1.0031190901070777e-08
Position 131: 9.888682863369951e-09
Position 135: 4.3207467350073305e-09
Position 204: 3.370581634552056e-09
Position 122: 1.8572168575391778e-09
Position 152: 1.437664917451774e-09
Position 150: 1.0650388609125227e-09
Position 164: 5.187236769731775e-10
Position 200: 3.6375617070992383e-12
