Gene = Ppp1r13l
index = 845
Annotated 5SS: [  101  7407  7644  9089  9272  9442 10431 12169 14166 14403 14676 16472]
Annotated 3SS: [ 7325  7500  8577  9172  9349  9988 11707 14033 14268 14508 16271 16750]
SMsplice 5SS: [  101  7407  7644  8875  9272  9442 10431 14166 14403 14676]
SMsplice 3SS: [ 7325  7500  8763  9172  9349 10360 14033 14268 14508 16271]
top_k =  1000
Partition function (log Z): 23.119278994049388

Sorted 5' Splice Sites (High to Low Probability):
Position 14403: 0.997647713078131
Position 101: 0.9897943774600141
Position 14166: 0.955726227556297
Position 7644: 0.9527524913982697
Position 8875: 0.9279935820591199
Position 9442: 0.873012895254078
Position 9272: 0.8668910179729897
Position 14676: 0.8276544616806457
Position 7407: 0.7932690930267273
Position 10431: 0.774831394596466
Position 9089: 0.7253221748432144
Position 1074: 0.4120494770081804
Position 12169: 0.29018220266993766
Position 3530: 0.15910169606962798
Position 16472: 0.13826563090685412
Position 9286: 0.12878125004731533
Position 16073: 0.10172095980130941
Position 5835: 0.09400669231468724
Position 14695: 0.09324390593728749
Position 6339: 0.06926531976043065
Position 4369: 0.06300118814843794
Position 1114: 0.05225445273848327
Position 14726: 0.0396443832860037
Position 7441: 0.03755644363988633
Position 10028: 0.03031039447158239
Position 16372: 0.03018654065180573
Position 10203: 0.029986582056022604
Position 814: 0.02990919596807234
Position 14195: 0.026176005055515192
Position 8586: 0.021871580711029463
Position 9453: 0.02118821525955304
Position 15949: 0.020285845690941388
Position 4618: 0.01783740254273052
Position 14626: 0.015255181679903551
Position 2334: 0.013577088471426326
Position 6627: 0.013062950446702018
Position 14157: 0.01274662283737003
Position 6193: 0.012081958631977672
Position 14702: 0.011156366196556038
Position 7423: 0.010166232650367042
Position 8840: 0.009750264203732976
Position 11881: 0.008801764796818604
Position 1384: 0.008740953924744162
Position 13596: 0.008526082919543503
Position 13826: 0.008459358424802015
Position 7765: 0.008420831543200788
Position 11803: 0.007757459612997729
Position 15131: 0.007417790765617677
Position 11420: 0.007000164855777127
Position 6216: 0.006754356820290808
Position 15642: 0.0060333607566778105
Position 4381: 0.005795518508230766
