Gene = Hscb
index = 548
Annotated 5SS: [ 282 3471 3798 5123 8842]
Annotated 3SS: [ 3373  3707  4977  8793 10565]
SMsplice 5SS: [ 282 3471 5123]
SMsplice 3SS: [ 3373  4977 10565]
top_k =  1000
Partition function (log Z): -3.4701744947366704

Sorted 5' Splice Sites (High to Low Probability):
Position 3471: 0.9297719414190873
Position 5123: 0.8955769091353019
Position 6588: 0.4819475230469223
Position 282: 0.4265863221276745
Position 3146: 0.39472896995336426
Position 2939: 0.39266885052546546
Position 8988: 0.2715272840316283
Position 91: 0.26227477583071745
Position 6364: 0.24505862575820525
Position 3803: 0.1879821825737092
Position 8842: 0.1411321348857411
Position 1019: 0.12079785752621763
Position 721: 0.0801982531354574
Position 198: 0.06910026953195283
Position 3416: 0.06263354509880578
Position 1430: 0.05852063766254181
Position 1038: 0.05526757044406121
Position 1562: 0.05430758040524522
Position 3798: 0.04759222022177285
Position 323: 0.0339200821584413
Position 9140: 0.03314917305992214
Position 7503: 0.029678587881488215
Position 731: 0.027214553938711
Position 483: 0.024944436269677284
Position 8968: 0.02403040136897415
Position 5084: 0.023858030334758626
Position 1072: 0.021659469750846826
Position 29: 0.018032883512139868
Position 10217: 0.014559809483920303
Position 80: 0.013459998194822215
Position 2198: 0.013145999620401505
Position 1804: 0.011971184203162965
Position 365: 0.009671101987132807
Position 6536: 0.00803095335935365
Position 915: 0.007552749359821631
Position 3744: 0.007400453029615421
Position 4203: 0.005710105303595102
Position 8891: 0.00563534846247394
Position 179: 0.004923045397898925
Position 7165: 0.0048077961527619425
Position 472: 0.0035525925494036066
Position 8990: 0.0031245163328807216
Position 3268: 0.0027482338895428206
Position 1365: 0.0019969763744416124
Position 8498: 0.001989041335200351
Position 1955: 0.0018293687708366658
Position 643: 0.0017958206042914548
Position 193: 0.0016872863741489172
Position 9758: 0.0016239306204618646
Position 8958: 0.0015614340842131998
Position 51: 0.0014454398465900613
Position 4727: 0.0014065758683152114
Position 8946: 0.0012887976990487915
Position 8883: 0.0012482013137068955
Position 1058: 0.0010141054856749676
Position 3504: 0.000937614699235847
Position 6748: 0.0009290946309234555
Position 499: 0.0008296005767328048
Position 2461: 0.0008202160456235554
Position 4082: 0.0007643272811827442
Position 4653: 0.0007624099102615987
Position 1687: 0.0007441171844115216
Position 257: 0.0007131440679618929
Position 4748: 0.0007130061266150829
Position 1774: 0.000673596157614823
Position 8318: 0.0005622658708674031
Position 3674: 0.0005349259008313808
Position 8933: 0.0005129989542734332
Position 4321: 0.0005000397543580921
Position 9697: 0.00048339118977070366
Position 6389: 0.00044263124761444856
Position 789: 0.0003958200962460536
Position 2962: 0.00026913437095763015
Position 295: 0.0002616542607101705
Position 3837: 0.00023495011895691842
Position 6624: 0.0002189877452867289
Position 9090: 0.00018102473888219575
Position 489: 0.00017954678934170402
Position 389: 0.00017162870404535926
Position 3520: 0.0001715128870777144
Position 5286: 0.00015193941795741157
Position 43: 0.0001227390305090884
Position 353: 0.00010967471288162974
Position 105: 0.00010882252201746027
Position 1572: 9.199648139732476e-05
Position 5546: 7.9098285442326e-05
Position 1701: 7.08650945524959e-05
Position 665: 6.436298938084382e-05
Position 714: 6.294977268171146e-05
Position 7090: 5.934023844077649e-05
Position 625: 5.769574382573031e-05
Position 3464: 5.734722036273363e-05
Position 610: 5.4933038511726323e-05
Position 298: 5.085542484139592e-05
Position 200: 4.419186038807012e-05
Position 593: 4.063164466285012e-05
Position 210: 3.404222843343371e-05
Position 165: 2.961227837375236e-05
Position 15: 2.95604217276773e-05
Position 1232: 2.9260559701261464e-05
Position 565: 2.879111534432048e-05
Position 606: 2.699674707563122e-05
Position 409: 2.1314312445443375e-05
Position 68: 1.870053231587618e-05
Position 1108: 1.4662095470466957e-05
Position 492: 1.2892662699085462e-05
Position 84: 1.2085788090447431e-05
Position 588: 1.1094999829178704e-05
Position 1153: 6.529077994260582e-06
Position 470: 5.1120226015447486e-06
Position 577: 4.69138851914993e-06
Position 1023: 4.672253149472329e-06
Position 1445: 4.3606646531138624e-06
Position 630: 4.102344567471232e-06
Position 1042: 4.102098913294581e-06
Position 82: 2.651461169902767e-06
Position 1182: 2.3874777509483283e-06
Position 1361: 2.096333947233388e-06
Position 540: 1.932416307783446e-06
Position 4011: 1.595799095042778e-06
Position 1442: 1.5274867244273136e-06
Position 1482: 1.4828869449142436e-06
Position 2763: 1.4611395294309964e-06
Position 3854: 1.3799764964725688e-06
Position 1207: 1.0537135932388648e-06
Position 1150: 8.766147804177193e-07
Position 1309: 5.317575249360791e-07
Position 513: 5.021832115392427e-07
Position 795: 3.948930102994941e-07
Position 3938: 3.8818798544834426e-07
Position 3524: 2.1915782207408957e-08
Position 799: 5.800339764758166e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4977: 0.8857083190667797
Position 3373: 0.8518308635520577
Position 10565: 0.7495774230045855
Position 8793: 0.6227999304907974
Position 6432: 0.35216833254129576
Position 2863: 0.3452349010771201
Position 3067: 0.3219720713322901
