Gene = Sh3bp2
index = 974
Annotated 5SS: [   56 25855 26994 29729 30167 31134 31518 33804 34607 34899 35262 35817]
Annotated 3SS: [25714 26890 29610 30095 31044 31448 33154 34497 34842 35179 35756 36512]
SMsplice 5SS: [   56  4690 13697 23951 25855 26994 29740 30167 31134 31518 33351 33804
 34607 34899 35262]
SMsplice 3SS: [ 4598 13625 23894 25714 26890 29610 30095 31044 31401 33154 33713 34497
 34842 35179 36512]
top_k =  1000
Partition function (log Z): -21.904949945476623

Sorted 5' Splice Sites (High to Low Probability):
Position 4690: 0.9100986895493052
Position 56: 0.8511133070761522
Position 13697: 0.5175560852281742
Position 6853: 0.494075099351731
Position 11119: 0.45880760050076186
Position 3850: 0.40364174982662027
Position 2841: 0.28348131431865026
Position 10551: 0.2270459876190478
Position 4952: 0.2111502374677742
Position 157: 0.11653171147669596
Position 10449: 0.11158710986314865
Position 6244: 0.1074066909321612
Position 910: 0.07517044052703784
Position 4920: 0.05406628067186538
Position 1079: 0.045960552571227976
Position 6916: 0.04504983390346312
Position 5154: 0.03965207153070837
Position 1480: 0.03690591575001989
Position 1047: 0.035929294027904485
Position 3915: 0.035304799573061464
Position 5352: 0.028514288651417724
Position 4964: 0.019324534009368434
Position 2858: 0.017455207582517774
Position 892: 0.015859822371976206
Position 16146: 0.015673282797073192
Position 7127: 0.01443443995683756
Position 3154: 0.012699327246727444
Position 483: 0.012450021918403671
Position 4715: 0.011854933875495528
Position 4073: 0.010883111345298178
Position 2702: 0.010285329391812014
Position 7048: 0.008852968611954592
Position 5836: 0.007451758913477897
Position 152: 0.007361973846637194
Position 10234: 0.006501662367072855
Position 1674: 0.005844104285841434
Position 831: 0.005795003933005872
Position 6235: 0.004679114443595378
Position 2942: 0.004537143897740706
Position 7138: 0.004118781815690777
Position 11358: 0.0036947548663586005
Position 965: 0.0031463663658058186
Position 7019: 0.0030071971548954806
Position 7134: 0.00268672948186588
Position 3938: 0.0012983690860298158
Position 1921: 0.0011810718155525466
Position 414: 0.0010827919684948677
Position 698: 0.0006782251335210168
Position 3510: 0.0006673348098244465
Position 1567: 0.0004924066961870226
Position 676: 0.00040698160803901996
Position 2401: 0.0003967485577078088
Position 5897: 0.00032890688198855235
Position 2442: 0.0003061755662837823
Position 2380: 0.0002697566231452299
Position 450: 0.00023530567255947792
Position 129: 0.0001997371971781747
Position 5362: 0.00019472697227400387
Position 2372: 0.00018833038167073222
Position 438: 0.00014099233983719386
Position 142: 0.00011983361914009267
Position 369: 0.00011725964024244911
Position 2141: 9.113373921027799e-05
Position 2204: 8.902718909771364e-05
Position 2209: 8.723986643534179e-05
Position 1713: 8.569015363250075e-05
Position 847: 6.49355182369799e-05
