Gene = Prlh
index = 854
Annotated 5SS: [97]
Annotated 3SS: [740]
SMsplice 5SS: [97]
SMsplice 3SS: [740]
top_k =  1000
Partition function (log Z): -9.333588981310378

Sorted 5' Splice Sites (High to Low Probability):
Position 97: 0.49102743167593765
Position 186: 0.2661037180225906
Position 303: 0.23344535002361766
Position 653: 0.023229795946643258
Position 402: 0.009616416358625828
Position 164: 0.005989882331692245
Position 446: 0.0036613533480225097
Position 259: 0.0014898963493604996
Position 644: 0.0010366738102869557
Position 467: 0.0005472586066709781
Position 283: 0.0005096520971083922
Position 128: 0.0003651746601112913
Position 487: 0.0003111207659721108
Position 532: 0.00021623842776715224
Position 101: 0.00018988188517920983
Position 492: 0.00017870412376940853
Position 462: 0.00015063228083282227
Position 300: 0.00012036665250016195
Position 657: 0.00011973613918719422
Position 209: 0.00011309601900113159
Position 558: 8.461200263337409e-05
Position 253: 8.301371768002832e-05
Position 206: 7.462800402235055e-05
Position 333: 6.620542637738204e-05
Position 307: 6.58886464985112e-05
Position 318: 5.9520123531906546e-05
Position 673: 5.8624488606090835e-05
Position 499: 4.0726229331531835e-05
Position 592: 3.6581560942861985e-05
Position 291: 2.4441400292528567e-05
Position 681: 2.1914763561138644e-05
Position 527: 1.874104949894719e-05
Position 763: 1.7199235850792763e-05
Position 45: 1.697690964012838e-05
Position 450: 1.6731917478010512e-05
Position 23: 1.5623291743711156e-05
Position 256: 7.930438930897618e-06
Position 355: 6.172755576599105e-06
Position 642: 4.475429557355135e-06
Position 788: 1.8099493257429478e-06
Position 847: 4.886106475557679e-07
Position 827: 1.7228891676059893e-07
Position 705: 1.6357269680649664e-07
Position 771: 1.3794236930489856e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 740: 0.8706360353552987
Position 300: 0.04013928697283758
Position 386: 0.028700930128261196
Position 230: 0.022179885340301398
Position 401: 0.016197383698078074
Position 541: 0.0150583455541397
Position 351: 0.011475807712763157
Position 244: 0.006489766384864563
Position 269: 0.006238167688848577
Position 680: 0.00465405814983332
Position 810: 0.003744540465663523
Position 446: 0.0023979007341258874
Position 612: 0.0016024765070789234
Position 807: 0.0015723299086474504
Position 482: 0.0015559305367157153
Position 783: 0.0013058362696512023
Position 691: 0.0009551624157786675
Position 897: 0.0005675435223750729
Position 206: 0.0004854501804166509
Position 628: 0.0003919120280940366
Position 558: 0.0003401185576748189
Position 273: 0.00033293671258819514
Position 185: 0.0003320677705391324
Position 804: 0.0002449858316681781
Position 190: 0.000210670406938416
Position 858: 0.00020986526658182985
Position 430: 0.0001524983551875935
Position 815: 0.000139168539224137
Position 472: 0.0001142877241836222
Position 307: 0.00010152920865971381
Position 171: 9.54761124926535e-05
Position 696: 9.129088556212343e-05
Position 202: 8.54950992395855e-05
Position 651: 6.781527078505397e-05
Position 424: 6.178681202473397e-05
Position 879: 4.6336354511013256e-05
Position 450: 3.357260117479878e-05
Position 407: 2.3622343184209534e-05
Position 562: 2.2280931204696754e-05
Position 550: 1.8532294279276553e-05
Position 642: 1.7499814297775022e-05
Position 906: 1.423763951054569e-05
Position 638: 1.1636132212576472e-05
Position 910: 8.239154144545064e-06
Position 164: 6.2056199254194335e-06
Position 822: 4.4418678034698136e-06
Position 566: 3.5502124596012798e-06
Position 886: 2.7763979643403353e-06
Position 572: 1.790761736343573e-06
Position 457: 1.547886795829124e-06
Position 570: 1.1757997176093078e-07
Position 97: 2.9067806209787334e-08
Position 409: 2.0501000115010026e-10
Position 117: 1.4870055103211046e-10
Position 122: 1.301254492750868e-10
Position 89: 2.080479568543541e-11
Position 101: 9.841203549043427e-12
