Gene = Lce1m
index = 628
Annotated 5SS: [44]
Annotated 3SS: [420]
SMsplice 5SS: [184]
SMsplice 3SS: [420]
top_k =  1000
Partition function (log Z): -10.088164863185352

Sorted 5' Splice Sites (High to Low Probability):
Position 184: 0.7265412307648557
Position 44: 0.22220983181917275
Position 119: 0.03468114107088773
Position 151: 0.009747526801287012
Position 106: 0.0023718092613794787
Position 339: 0.0010463442076220453
Position 491: 0.0008182441087413943
Position 514: 0.0007994313385516612
Position 203: 0.0007938160060101966
Position 970: 0.0005075027606006797
Position 222: 0.00048080029608446004
Position 177: 0.000451003221728379
Position 245: 0.00038865325259872783
Position 850: 0.00028338108686538454
Position 266: 0.00019493287195485439
Position 886: 0.00015221542914833534
Position 862: 0.00014069566697200942
Position 18: 0.00012128062311002283
Position 523: 0.00011245409036239346
Position 302: 0.00010487038888104442
Position 197: 9.299393406085336e-05
Position 619: 9.159720430796559e-05
Position 165: 8.941006400523285e-05
Position 823: 8.461249655169295e-05
Position 793: 7.81327269950416e-05
Position 754: 7.53112854931472e-05
Position 1128: 5.606029082422754e-05
Position 439: 4.440271586345011e-05
Position 784: 4.410825037795635e-05
Position 691: 4.1160353055985115e-05
Position 814: 3.765244499498048e-05
Position 745: 3.1624820974922756e-05
Position 664: 3.095699430620097e-05
Position 772: 3.0474067592487803e-05
Position 646: 2.844851569625051e-05
Position 733: 2.4484485446638618e-05
Position 682: 2.3582513422059478e-05
Position 350: 2.2763853851889382e-05
Position 574: 2.1582558643115326e-05
Position 31: 2.1358693328201886e-05
Position 1080: 2.0522786724948145e-05
Position 655: 1.5855210912954985e-05
Position 721: 1.521262478579673e-05
Position 856: 1.492962345931424e-05
Position 628: 1.4870168313005777e-05
Position 1120: 1.2792665112784146e-05
Position 868: 1.2046482009667212e-05
Position 841: 1.1599564703136943e-05
Position 709: 1.0480894097759556e-05
Position 434: 9.717985863377283e-06
Position 81: 9.142155471712652e-06
Position 541: 6.890521328305301e-06
Position 577: 6.319151470846285e-06
Position 844: 6.014755116210547e-06
Position 1035: 5.472830988277804e-06
Position 538: 5.040486282699674e-06
Position 458: 3.857488901516977e-06
Position 892: 2.954143460847141e-06
Position 355: 2.819795518849261e-06
Position 397: 8.208629801552721e-09
Position 378: 1.3730314460116647e-09
Position 420: 2.5015212893369025e-10
Position 883: 8.76830583417493e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 420: 0.42282696754545895
Position 1061: 0.18783864391404723
Position 517: 0.12780334594271742
Position 222: 0.05765146689358185
Position 634: 0.05433923229543926
Position 547: 0.03944984336061228
Position 565: 0.026398081594744473
Position 1104: 0.021273568402368596
Position 326: 0.008819280591290547
Position 649: 0.007418952114408533
Position 446: 0.005277908842534467
Position 482: 0.005233392005229843
Position 1064: 0.004837172497505863
Position 443: 0.0032570583252804915
Position 652: 0.00287822640105514
Position 955: 0.002548818612797132
Position 350: 0.0024414864642877602
Position 706: 0.0021340771674196323
Position 294: 0.0019243977429183679
Position 679: 0.0015047198581098773
Position 969: 0.0013081341437406891
Position 602: 0.0012907216360038489
Position 769: 0.0012484908261591945
Position 431: 0.000980579246352816
Position 1237: 0.0008360640915360527
Position 1127: 0.0008163567846637865
Position 355: 0.0006813197355376605
Position 892: 0.0005959502394893582
Position 238: 0.00048426436869747976
Position 688: 0.0004412728486881141
Position 715: 0.0004180931038313849
Position 1204: 0.00040627233828113564
Position 328: 0.00039819321002496105
Position 364: 0.00039536577606133684
Position 703: 0.0003703535328156261
Position 375: 0.0003269727027451329
Position 727: 0.00027983164145499993
Position 811: 0.00027928865242936486
Position 183: 0.0002740510299145565
Position 676: 0.00027049258444649684
Position 808: 0.00024828146415624354
Position 778: 0.00024197576777634113
Position 766: 0.00023726766776521055
Position 739: 0.0002346602159910186
Position 661: 0.00023056056745617573
Position 1119: 0.00022662122611724096
Position 993: 0.00022486239191573624
Position 730: 0.00021477923182274314
Position 838: 0.0002032546020301158
Position 919: 0.0001829015193396334
Position 751: 0.00018265019567077412
Position 592: 0.00017739183225091813
Position 742: 0.00014992384144534742
Position 841: 0.00014778297252939166
Position 718: 0.00013618781932760196
Position 130: 0.00012310642443214237
Position 931: 0.00011423058644624407
Position 491: 0.00010355191038371808
Position 805: 9.845699015351682e-05
Position 941: 9.467216036790784e-05
Position 925: 8.839637547879637e-05
Position 913: 8.731491184688817e-05
Position 452: 8.565720408850835e-05
Position 664: 8.460365583096807e-05
Position 242: 7.71773150538918e-05
Position 296: 7.48247381228975e-05
Position 916: 7.302213128730189e-05
Position 177: 6.574803023388905e-05
Position 889: 6.182243860679603e-05
Position 790: 6.0646629711944144e-05
Position 117: 6.029755880961992e-05
Position 781: 6.020817341344047e-05
Position 448: 5.9846789608804295e-05
Position 938: 5.673185343565171e-05
Position 691: 5.5621513803749386e-05
Position 754: 5.539580862242156e-05
Position 245: 5.528639189555991e-05
Position 835: 4.870659189949006e-05
Position 256: 3.172128085015659e-05
Position 1007: 2.9141416285650578e-05
Position 458: 2.2710341252447013e-05
Position 1189: 2.153889624079903e-05
Position 1134: 1.9615563405047243e-05
Position 1071: 1.9122543422912817e-05
Position 874: 1.8508448066110564e-05
Position 793: 1.818468664337524e-05
Position 901: 1.72734244779901e-05
Position 823: 1.621329269680131e-05
Position 1033: 1.6067807851656458e-05
Position 862: 1.4948426986999455e-05
Position 904: 1.4379194630479606e-05
Position 464: 1.4088060007766257e-05
Position 203: 1.3724525107233526e-05
Position 1028: 9.899704934848016e-06
Position 139: 9.0797505150398e-06
Position 820: 7.936043172020241e-06
Position 853: 7.636551192638916e-06
Position 163: 6.532238460454957e-06
Position 333: 6.400119732050186e-06
Position 155: 6.384573443019085e-06
Position 877: 5.983332814651121e-06
Position 850: 3.974040576880544e-06
Position 1019: 2.9785218470602695e-06
Position 865: 2.9381950322389593e-06
Position 193: 2.4102123975554196e-06
Position 1141: 1.5903953967486834e-06
Position 147: 1.4593465210717275e-07
Position 93: 9.271380739237005e-08
Position 149: 4.1269549343874495e-08
Position 81: 1.681645020455808e-08
Position 97: 9.376575426834692e-09
Position 158: 8.328338917957804e-09
