Gene = Lat
index = 623
Annotated 5SS: [ 387  593  733 1040 1236 1349 1489 1659 4976 5137 5339]
Annotated 3SS: [ 564  697  951 1170 1318 1427 1563 4912 5073 5233 5492]
SMsplice 5SS: [ 387 1236 1489 1659 4976 5137 5339]
SMsplice 3SS: [1093 1427 1563 4862 5073 5233 5492]
top_k =  1000
Partition function (log Z): 10.01528619441019

Sorted 5' Splice Sites (High to Low Probability):
Position 5137: 0.926236961237998
Position 1489: 0.9151308029472017
Position 5339: 0.8595627439311735
Position 1659: 0.8406600064651515
Position 1236: 0.8056422029691708
Position 4976: 0.791247211587827
Position 1040: 0.6964933923265004
Position 387: 0.5556243994758884
Position 593: 0.5524387572942197
Position 733: 0.5011163317131712
Position 4789: 0.455052698083869
Position 1349: 0.30366187796800104
Position 375: 0.15245108694189027
Position 3934: 0.13931545470038295
Position 4980: 0.10850429564051398
Position 776: 0.08719496762324766
Position 4517: 0.07118307959546198
Position 26: 0.06852703234779405
Position 4085: 0.05639531860916707
Position 1508: 0.03329485687221093
Position 5151: 0.030067065268305795
Position 1497: 0.01671223688912109
Position 5149: 0.016276619059400803
Position 361: 0.010326297784520058
Position 3982: 0.00883661726071243
Position 308: 0.008000860189869913
Position 1493: 0.007819361216383849
Position 1044: 0.0067997762144227725
Position 273: 0.006517088648981741
Position 1903: 0.005131082379528871
Position 4490: 0.00512966528905673
Position 3800: 0.00450348803635462
Position 1353: 0.003966426984784822
Position 1901: 0.003942464619680853
Position 4949: 0.0032875472134001518
Position 420: 0.0029981477933406506
Position 780: 0.002931132562272217
Position 774: 0.0028185260856347055
Position 2251: 0.002208733303845165
Position 1094: 0.0016770149624329481
Position 5410: 0.001645827031933061
Position 764: 0.0014402987374942128
Position 5087: 0.0010943648363446322
Position 56: 0.0010675980595052693
Position 5141: 0.001013925006920777
Position 4008: 0.0009330789973463965
Position 497: 0.0009065400742746992
Position 365: 0.0007214643187293515
Position 3000: 0.0007165863217134294
Position 4613: 0.0006333579501368027
Position 840: 0.0006075579525854951
Position 1360: 0.0005123765765641326
Position 737: 0.0005101635222998329
