Gene = Tmie
index = 1126
Annotated 5SS: [  844  4486  6318  9483 12666]
Annotated 3SS: [ 4273  6086  9364 12515 13155]
SMsplice 5SS: [   77  9483 12666 12895]
SMsplice 3SS: [ 9364 12515 12769 13155]
top_k =  1000
Partition function (log Z): -8.602477340588505

Sorted 5' Splice Sites (High to Low Probability):
Position 9483: 0.9830478788920132
Position 12666: 0.7425153429451458
Position 12895: 0.48289343972333126
Position 77: 0.48204440861287595
Position 11004: 0.33488746225703614
Position 6822: 0.23526437039189774
Position 81: 0.20330122337788953
Position 844: 0.18502466441785187
Position 2502: 0.15751099101538688
Position 4486: 0.15518887058206834
Position 12151: 0.1489862777420503
Position 7043: 0.11941276663346541
Position 6852: 0.11848866400148517
Position 11332: 0.110370668782028
Position 3275: 0.09879568999725866
Position 3270: 0.08682964701596431
Position 418: 0.08554418971359849
Position 3230: 0.08265380817344808
Position 10093: 0.0816412432126517
Position 3767: 0.07387007196270125
Position 6378: 0.06911717856349114
Position 10860: 0.06617621421934318
Position 11239: 0.06559954201482905
Position 13206: 0.063460623537535
Position 6318: 0.061824658484339795
Position 8705: 0.05663285147870116
Position 3479: 0.04988272090295383
Position 5844: 0.03193175932246637
Position 7575: 0.028821814720129763
Position 6835: 0.026750822068434967
Position 12917: 0.02259023540394957
Position 7561: 0.021163917154070223
Position 5855: 0.0179849466077894
Position 9449: 0.012816564339873437
Position 13386: 0.01209963695977823
Position 6896: 0.011386630707456085
Position 5869: 0.011214388989152077
Position 1266: 0.011155225127890545
Position 364: 0.010866209855528617
Position 7583: 0.010840782194888487
Position 12670: 0.009073802282091327
Position 3603: 0.008987946793106234
Position 291: 0.008790447118258087
Position 10805: 0.008159836681989751
Position 12326: 0.007914699459061977
Position 7587: 0.007571893957300476
Position 7591: 0.006913728149921928
Position 6782: 0.006850349763594327
Position 10022: 0.006592453425718444
Position 7617: 0.006533877240803897
Position 11130: 0.006501540829418618
Position 4686: 0.005316781159432554
Position 6848: 0.005213058647918352
Position 207: 0.005105046728133672
Position 8004: 0.00492087421804382
Position 1045: 0.004660125441523667
Position 10058: 0.004341685535892171
Position 493: 0.003612950355167237
Position 12900: 0.003158069674792242
Position 1381: 0.00280982772516406
Position 379: 0.002650344877334357
Position 383: 0.0024704576503914912
Position 14243: 0.002360695373861583
Position 159: 0.0023551872051059118
Position 238: 0.0023504370445835638
Position 12580: 0.002289740394283603
Position 5470: 0.002094513314677716
Position 7579: 0.002020976609523181
Position 12122: 0.0019217469280912707
Position 5206: 0.0016809261364187202
Position 1686: 0.0014197617096933708
Position 5253: 0.0014119273736554895
Position 1079: 0.0013981810535438329
Position 13269: 0.0013708112476203543
Position 2470: 0.0013547361405164718
Position 9558: 0.0012368377885951555
Position 2791: 0.00123103748488723
Position 3225: 0.0011012165546163937
Position 7438: 0.001003083676396343
Position 2758: 0.0009748526523524124
Position 3305: 0.0009482048689806369
Position 517: 0.0009318327755731395
Position 11113: 0.0008964289953484392
Position 9686: 0.0008835722516110266
Position 12343: 0.000860965037794694
Position 4244: 0.000835105034041879
Position 1141: 0.0008279736640664046
Position 1133: 0.0006421995813257126
Position 12607: 0.0006219415835179215
