Gene = Rps3a1
index = 933
Annotated 5SS: [ 195 1005 1464 3663 4220]
Annotated 3SS: [ 900 1275 3453 4109 4591]
SMsplice 5SS: [ 195 1005 1464 3663 4266]
SMsplice 3SS: [ 900 1275 3453 4109 4591]
top_k =  1000
Partition function (log Z): 0.21556996523089067

Sorted 5' Splice Sites (High to Low Probability):
Position 1005: 0.9201595167584138
Position 195: 0.895809193178277
Position 3663: 0.6798629136188276
Position 1464: 0.6650226041849835
Position 4266: 0.4685992656144501
Position 4220: 0.4426451921834079
Position 3625: 0.16386757038363184
Position 1485: 0.0833577341650493
Position 1231: 0.07916955763460784
Position 1414: 0.03259638165409902
Position 167: 0.031249110176964304
Position 331: 0.029697632788635245
Position 805: 0.01762087797559318
Position 1986: 0.015775069127143142
Position 1704: 0.011313900720022963
Position 1534: 0.011155041084348605
Position 619: 0.010983877198053537
Position 280: 0.010274333452170634
Position 3928: 0.008520619481866047
Position 3667: 0.008484078396883359
Position 215: 0.005800874441350854
Position 756: 0.005624237654570042
Position 1212: 0.005522810288106706
Position 815: 0.004999877245163501
Position 2335: 0.0047573668479205964
Position 2257: 0.0041762158270495335
Position 4500: 0.0036524972948466425
Position 3649: 0.0033404219746552754
Position 628: 0.0032210279720571978
Position 193: 0.0026857285719899667
Position 245: 0.0026330003702882917
Position 3262: 0.0025713230210759577
Position 928: 0.002475022696150011
Position 791: 0.0023550501198654266
Position 3436: 0.002200354380835108
Position 261: 0.0017020494043325535
Position 1009: 0.001610138475836304
Position 487: 0.0015341483881115723
Position 124: 0.00151354392893941
Position 139: 0.0012736752525608723
Position 2493: 0.0012118191815783026
Position 4514: 0.0011054619183658563
Position 1530: 0.000950877024015831
Position 765: 0.000806864638848608
Position 1522: 0.0007120644529229108
Position 3652: 0.0006879417890898686
Position 4189: 0.0006457638685224668
Position 841: 0.0006202392299250499
Position 4308: 0.0006100799306848269
Position 1503: 0.0005172485830225968
Position 760: 0.0004849973185220129
Position 844: 0.00045433451349327235
Position 199: 0.00044704237638714653
Position 4252: 0.0004179077780086121
Position 881: 0.0004092466373275048
Position 770: 0.0003805881982503243
Position 639: 0.00030338016799905077
Position 1014: 0.0002795343669486642
Position 4212: 0.0002712084022599307
Position 4520: 0.00026344155783581384
Position 3580: 0.00024938931949747555
Position 241: 0.00021609420948489667
Position 458: 0.0002125513024478615
Position 833: 0.00020762513724587348
Position 1257: 0.00019502056061975785
Position 1203: 0.00018343607716558074
Position 2064: 0.00015546954284139346
Position 509: 0.00014790591347825825
Position 4224: 0.0001478935872632459
Position 1114: 0.00014368794627816312
Position 1223: 0.0001347560495154067
Position 253: 0.00013197904199487926
Position 1050: 0.00012881003744866652
Position 3849: 0.00012644215688805587
Position 586: 0.00012094625455098991
Position 4289: 0.00011219334547113899
Position 3495: 0.00010957943328878086
Position 3931: 0.00010398265863437604
Position 3920: 0.00010137419666706555
Position 1072: 9.96545315095463e-05
Position 52: 8.070224543671155e-05
Position 2542: 8.026706814375786e-05
Position 1102: 7.802686480193278e-05
Position 79: 7.112624451463098e-05
Position 96: 6.581456983707422e-05
Position 1235: 6.223964195671992e-05
Position 4060: 6.0728607656873026e-05
Position 308: 5.7094327788283495e-05
Position 736: 5.603473077120324e-05
Position 595: 5.297067756499555e-05
Position 4270: 5.2097587438798397e-05
Position 422: 5.181319652465832e-05
Position 4314: 4.6635937632040386e-05
Position 385: 4.3690237922413044e-05
Position 371: 4.0884317937361236e-05
Position 369: 3.882377903967959e-05
Position 225: 3.8078740098637774e-05
