Gene = Rwdd3
index = 941
Annotated 5SS: [  104 12928 15295 15509]
Annotated 3SS: [12439 15178 15392 15637]
SMsplice 5SS: [  104   421   584  4148  4423 11926 15295]
SMsplice 3SS: [  275   512  4038  4292 11837 15178 15392]
top_k =  1000
Partition function (log Z): -3.611309497166057

Sorted 5' Splice Sites (High to Low Probability):
Position 104: 0.8846456892527674
Position 15295: 0.8093227332490437
Position 11926: 0.8037670618441417
Position 4148: 0.7816943998294977
Position 4423: 0.6674466324981208
Position 421: 0.6205509261854449
Position 15509: 0.38120183008555514
Position 617: 0.2971304532392749
Position 1852: 0.27857183448920675
Position 15529: 0.21249115259211088
Position 739: 0.1736881726514574
Position 11949: 0.12655702469447924
Position 994: 0.09350087552337924
Position 14249: 0.09308339590042042
Position 14101: 0.08431315415794151
Position 14876: 0.0841404490650521
Position 613: 0.0790251308999394
Position 12928: 0.07224820800776395
Position 12881: 0.07194999190452034
Position 11953: 0.06770850684609057
Position 14260: 0.06441670907487962
Position 4407: 0.05942569333955244
Position 5436: 0.059360177618861226
Position 606: 0.05834100676881653
Position 7488: 0.05423685535371497
Position 856: 0.04488536738335641
Position 279: 0.044296555903811284
Position 7254: 0.04166793422467747
Position 4960: 0.03680996024854843
Position 3730: 0.03476062049664685
Position 6018: 0.030744297882512883
Position 3375: 0.01874322526824054
Position 5946: 0.0181118199953403
Position 15483: 0.017548280914624487
Position 15499: 0.01597509744890451
Position 31: 0.012037648892394696
Position 743: 0.011626633392720158
Position 6783: 0.01150692369542912
Position 774: 0.011216762748409374
Position 3237: 0.010829847701219652
Position 11080: 0.010827648323588974
Position 7469: 0.009596919137931606
Position 12491: 0.008707896505325333
Position 2176: 0.007873067622020035
Position 3246: 0.007760380175113118
Position 8335: 0.007758036936845694
Position 15761: 0.007160169588708219
Position 7476: 0.005894683260259293
Position 3491: 0.005883084892534336
Position 178: 0.004544426078225566
Position 1856: 0.004520020091636882
Position 3604: 0.0037931916772315295
Position 375: 0.0036685462812090387
Position 1990: 0.0035964882632585427
Position 15525: 0.003418971716911081
Position 2030: 0.0027237819537435795
Position 634: 0.0027211242658633093
Position 15275: 0.0026076668413542734
Position 1578: 0.0025279369131367088
Position 15487: 0.0023692735866354233
Position 2608: 0.0020082286958318413
Position 3485: 0.001914413593462413
Position 3122: 0.0015923777888952335
Position 437: 0.0015150334602791378
Position 3599: 0.001511460957366948
Position 13755: 0.0014731969405370829
Position 2634: 0.0013957703333473401
Position 155: 0.0013832956363324113
Position 15829: 0.0013780210619416702
Position 401: 0.0013323467933306226
Position 16061: 0.0012769727930387806
Position 196: 0.0012301079133226003
Position 4557: 0.0010567060815733398
Position 998: 0.0010075714037478737
Position 1914: 0.0009536404222212776
Position 882: 0.0009474021742036202
Position 90: 0.0009321706326560899
Position 345: 0.000899317165689246
Position 4119: 0.0008396830070239903
Position 415: 0.0007002795587937608
Position 15850: 0.0006994959364017073
Position 5131: 0.0006592259918356168
Position 81: 0.0005954249091389465
Position 379: 0.00058494786446951
Position 2318: 0.0004974636386548376
Position 2675: 0.0003976288632765494
Position 1938: 0.0003670707751372812
Position 98: 0.000348538198048242
Position 689: 0.0003174967864027804
Position 13672: 0.0003133710770998017
Position 764: 0.0002910373879057079
Position 201: 0.0002860093712176138
Position 4974: 0.00025757904719147465
Position 637: 0.0002009241510732683
Position 1410: 0.0001963253631087614
Position 5391: 0.00019279594757067037
Position 5506: 0.0001830987060675766
Position 834: 0.00016934013912906875
Position 5776: 0.00016663785800632617
Position 5770: 0.00016529852319642263
Position 1468: 0.00016464927415804734
Position 1375: 0.00016462196844866823
Position 5466: 0.00016085590935196992
Position 143: 0.00015492884967821942
Position 372: 0.00015100103019537582
Position 15337: 0.00014222707670151008
Position 5782: 0.00011768130182335021
Position 4913: 0.00011001413069003401
Position 162: 8.79293088845234e-05
Position 982: 8.111632262977615e-05
Position 391: 7.910334566808483e-05
Position 4594: 7.889991961275071e-05
Position 4509: 7.626177987546701e-05
Position 809: 6.921806437223896e-05
Position 157: 5.714951006318793e-05
Position 783: 5.404382610120022e-05
Position 382: 4.152439673163652e-05
Position 751: 4.088700558597042e-05
Position 1026: 4.046902968568075e-05
Position 12138: 3.6966884820130134e-05
Position 352: 3.6853881061670176e-05
Position 5395: 3.584929310203628e-05
Position 1544: 3.3391040903252654e-05
Position 4427: 3.222044443509639e-05
Position 4465: 2.951323313627236e-05
Position 1038: 2.3113385846697573e-05
Position 749: 2.1543196523313296e-05
Position 1538: 2.1238307843465416e-05
Position 1331: 2.0609098100162476e-05
Position 320: 1.9104912153124983e-05
Position 286: 1.9077698051015863e-05
Position 1473: 1.4202142337313835e-05
Position 1085: 1.1884128325430709e-05
Position 903: 1.1242639604392065e-05
Position 824: 1.0215286522602949e-05
Position 297: 8.548335278971348e-06
Position 933: 7.315614206190563e-06
Position 22: 7.136535880642766e-06
Position 343: 4.377149733313121e-06
Position 218: 3.32395810559965e-06
Position 1360: 3.18354734849533e-06
Position 8: 1.3790046137626746e-06
Position 650: 2.7485188869882576e-07
Position 258: 2.716478657382112e-07
Position 677: 5.2337177608767987e-08
Position 472: 2.585507043631988e-09
Position 504: 6.64486721126606e-10
Position 475: 1.699384305801017e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 11837: 0.9844124139087909
Position 15392: 0.936996157070799
Position 4038: 0.785116838866089
Position 15178: 0.7734750635554148
Position 512: 0.756453226174474
Position 4292: 0.7005032222332146
Position 15637: 0.49669666926094286
Position 275: 0.49557451687809106
Position 1786: 0.25395768157463844
Position 15937: 0.13383304782079808
Position 12793: 0.10672704964556347
Position 7396: 0.06976836291251545
Position 14093: 0.0625450612235411
Position 5282: 0.058332192306738355
Position 14121: 0.055341390403248106
Position 15141: 0.049752899721695935
Position 218: 0.04839988330874838
Position 14711: 0.047357513487959156
Position 5884: 0.04348213847419308
Position 13950: 0.041917034908411484
Position 15617: 0.03770379349300669
Position 3308: 0.02990921859732311
Position 14064: 0.025525141877103537
Position 1789: 0.02417357496418831
Position 14140: 0.021983910431999182
Position 3479: 0.02198094751927949
Position 13918: 0.020074985003194008
Position 320: 0.019708428871897356
Position 4790: 0.018777386180405767
Position 13730: 0.01759117175023464
Position 12701: 0.017082859318815022
Position 7136: 0.016517102937709315
Position 14809: 0.015335032264638771
Position 1714: 0.013235039532430482
Position 14632: 0.01308097139725066
Position 4856: 0.012307885622286617
Position 12681: 0.0122473407158484
Position 7133: 0.011304570262836907
Position 10931: 0.010835884521145997
Position 12439: 0.01016925200382912
Position 3027: 0.010134132779025333
Position 11718: 0.010032320623488522
Position 6709: 0.00998658475338927
Position 2996: 0.009341094917610456
Position 4311: 0.00908215113996152
Position 14672: 0.00865183831999956
Position 307: 0.008206620366957115
Position 6967: 0.007970362896522065
Position 8204: 0.007758036936845691
Position 4259: 0.00733031929408388
Position 694: 0.007001687634931941
Position 3656: 0.006691216829891864
Position 4296: 0.0059241947932861215
Position 7023: 0.005894162192650456
Position 3510: 0.005847685761291104
Position 5934: 0.00543874098827319
Position 175: 0.004843831402563749
Position 12678: 0.004771825027971373
Position 13857: 0.0046993723097157065
Position 12584: 0.004693169801018031
Position 769: 0.004559428715558659
Position 855: 0.004510028506268379
Position 15707: 0.004284558309905393
Position 11698: 0.004269653716577906
Position 2474: 0.003801761970599082
Position 4647: 0.003075271080746447
Position 4859: 0.002993794130994434
Position 13947: 0.002962733483086232
Position 365: 0.002778058128833568
Position 1748: 0.0024266688434942075
Position 5260: 0.0020741160019359575
Position 1969: 0.0019278537076757437
Position 13186: 0.001758538157334064
Position 3367: 0.0016913818797442844
Position 4270: 0.001655934013832436
Position 6622: 0.001540137060372754
Position 12023: 0.0014420665303693935
Position 1432: 0.0014266446100884638
Position 286: 0.0013381159088414838
Position 1990: 0.0011126357239336418
Position 15641: 0.0009339045234895423
Position 12383: 0.0008949372696027511
Position 16239: 0.0007622287335798154
Position 16113: 0.0007453565258442405
Position 2859: 0.0007449874948855181
Position 1756: 0.0007244779292635587
Position 4317: 0.0006945508604629442
Position 5057: 0.0006643472063388426
Position 2034: 0.0006163707712169155
Position 2038: 0.000584668733893603
Position 1428: 0.0005311925188892344
Position 16178: 0.0005147440594589675
Position 15409: 0.00040526744363917906
Position 903: 0.0003720426010893696
Position 1225: 0.00035716232415793027
Position 4324: 0.0003381192086436789
Position 15850: 0.0003257972310034592
Position 13512: 0.0003181531488962194
Position 15712: 0.00030037757416370237
Position 875: 0.000283893046719076
Position 337: 0.0002812511532443821
Position 583: 0.0002751140432477007
Position 16015: 0.0002683661835339892
Position 232: 0.0002661088665450408
Position 12529: 0.0002598084528924805
Position 1363: 0.00025943822528029276
Position 805: 0.0002500449736505145
Position 3079: 0.00024699794804821246
Position 13549: 0.00024006615419739613
Position 530: 0.00020491046127153203
Position 1442: 0.00020402294699720588
Position 3187: 0.00020093882361127955
Position 12907: 0.0001882778142144228
Position 13165: 0.0001775901143001566
Position 13785: 0.00016803827142026286
Position 965: 0.00015460415020558565
Position 2249: 0.00014350658635170488
Position 2217: 0.00013253040072117356
Position 1462: 0.00011854055828024061
Position 1334: 8.287384450068537e-05
Position 2209: 7.098838163791796e-05
