Gene = Endod1
index = 379
Annotated 5SS: [572]
Annotated 3SS: [23354]
SMsplice 5SS: [ 572 7335]
SMsplice 3SS: [ 7192 23354]
top_k =  1000
Partition function (log Z): -13.703380868608104

Sorted 5' Splice Sites (High to Low Probability):
Position 572: 0.9899702121561981
Position 7335: 0.9238076371616096
Position 954: 0.27434129142014635
Position 13392: 0.15544470113246445
Position 9139: 0.10893646153174286
Position 16034: 0.10703183817651463
Position 1849: 0.1028357255208085
Position 10331: 0.08013304553018868
Position 10832: 0.05900004506544465
Position 13583: 0.058403019999568324
Position 1240: 0.05324970158775757
Position 1472: 0.04848928196750052
Position 13387: 0.03559056502000661
Position 6592: 0.03005802381543393
Position 7348: 0.01056831681106596
Position 2737: 0.00997934215404502
Position 963: 0.007956118778124757
Position 428: 0.006038977827684261
Position 118: 0.00428994495989521
Position 101: 0.0038542446923332543
Position 8078: 0.0038335410099448707
Position 6: 0.002734822737555458
Position 874: 0.001306984969284056
Position 1231: 0.0012481253327107711
Position 1364: 0.0010060924083642063
Position 279: 0.000674220500821599
Position 1348: 0.0003708815766529953
Position 750: 0.0003618020808223277
Position 7475: 0.0002444042968635106
Position 9757: 0.00023189727932151221
Position 4309: 0.00023152782729846986
Position 4116: 0.00019789434797306142
Position 4305: 0.00018368261203299206
Position 3383: 0.00017186023179182906
Position 4044: 0.0001516531908430257
Position 1412: 0.00014585538472837212
Position 122: 0.00011505780023049619
Position 4792: 0.00011503271315136587
Position 661: 0.00010434181248831078
Position 108: 0.00010000476144647356
Position 2566: 9.20358197527744e-05
Position 604: 7.240255097553279e-05
Position 2448: 7.210258451409463e-05
Position 2040: 7.090954403887453e-05
Position 4135: 6.402740691009499e-05
Position 1052: 6.0317091078352094e-05
Position 1149: 4.982248415765325e-05
Position 168: 4.748100639554155e-05
Position 667: 4.205049902419108e-05
Position 1097: 3.805926276614351e-05
Position 624: 3.6742417581153915e-05
Position 923: 3.641231708641074e-05
Position 971: 2.2556101178539507e-05
Position 103: 1.7592835039749553e-05
Position 763: 1.4424656704912962e-05
Position 1129: 1.270882710302564e-05
Position 378: 1.2285997231201359e-05
