Gene = Timm29
index = 1082
Annotated 5SS: [349]
Annotated 3SS: [427]
SMsplice 5SS: [349]
SMsplice 3SS: [427]
top_k =  1000
Partition function (log Z): -8.590038628711618

Sorted 5' Splice Sites (High to Low Probability):
Position 349: 0.6278830431023551
Position 519: 0.4521208288198813
Position 271: 0.15757777021772815
Position 109: 0.11842475725344374
Position 280: 0.05972993716185039
Position 1180: 0.025974086503209776
Position 321: 0.02527374156976215
Position 1360: 0.02307447447929087
Position 1012: 0.02111020718298539
Position 569: 0.017117040064912298
Position 2689: 0.011125448103961913
Position 829: 0.008759494085509368
Position 240: 0.008558452550965878
Position 266: 0.007341937418310316
Position 315: 0.005274697780476208
Position 2207: 0.004929214381126258
Position 301: 0.0038465479953015626
Position 45: 0.002944872591785233
Position 2707: 0.0029296856365096475
Position 113: 0.002283565374967402
Position 1039: 0.0020699027312412023
Position 2776: 0.0018314539347183776
Position 353: 0.0014620867781511052
Position 609: 0.0010142147972064287
Position 148: 0.001013092856091148
Position 706: 0.0009042390075325671
Position 103: 0.0007744886889893676
Position 928: 0.0006422637446527824
Position 374: 0.0006254088945567806
Position 2003: 0.0005831988451315801
Position 1411: 0.0005525850150381076
Position 981: 0.0005250683537514895
Position 1679: 0.0004985076045513764
Position 304: 0.0003031342570428417
Position 1990: 0.00024030396392477583
Position 1189: 0.00023989751001825924
Position 131: 0.00021902222980032802
Position 2638: 0.00017889660428441204
Position 523: 0.00016273424491193998
Position 204: 0.00011520627141922612
Position 3007: 7.004813391870152e-05
Position 657: 5.113543758741894e-05
Position 2940: 4.989987746379852e-05
Position 2975: 3.977281675811041e-05
Position 969: 3.2246363234610016e-05
Position 549: 2.0635673287290705e-05
Position 689: 2.0423571887493166e-05
Position 897: 1.8335442627308903e-05
Position 123: 1.8080955800714027e-05
Position 335: 1.2121747783764368e-05
Position 925: 1.0326175223309223e-05
Position 1171: 8.61022031012483e-06
Position 615: 5.564371815460509e-06
Position 1136: 5.273554717329787e-06
Position 849: 5.192282896500464e-06
Position 468: 4.475553570803274e-06
Position 25: 3.9374499181563434e-06
Position 675: 3.420879812668628e-06
Position 802: 2.9999325795012372e-06
Position 730: 2.4262746586073037e-06
Position 833: 2.2966228766592078e-06
Position 356: 2.2008784844372336e-06
Position 1242: 1.5298559573071718e-06
Position 701: 1.5386905256701938e-07
Position 378: 1.332442184911203e-07
Position 390: 2.6379126447249587e-08
Position 395: 1.7551718138312563e-08
Position 387: 6.5725310741802675e-09
Position 401: 3.5357497766106915e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 427: 0.908636606675888
Position 2891: 0.11781575013730249
Position 2569: 0.07078082716790322
Position 861: 0.06708787273426932
Position 1989: 0.05408394795999428
Position 1246: 0.048970858392663685
Position 756: 0.04727623878520806
Position 2848: 0.027486001251249375
Position 229: 0.02365638900818554
Position 2065: 0.021325845973381226
Position 792: 0.01959039721130146
Position 666: 0.016193187295314396
Position 739: 0.01523140047011823
Position 1556: 0.013911212133811239
Position 2103: 0.0128017904049546
Position 410: 0.012425324527077689
Position 2439: 0.009178913943584084
Position 1112: 0.008631940059778149
Position 1351: 0.007435763460454665
Position 2974: 0.006737485270079339
Position 1011: 0.006108846445236051
Position 2014: 0.006015932682554153
Position 1682: 0.005941465889085728
Position 942: 0.004600607084160965
Position 1593: 0.00450855015749014
Position 1814: 0.00407367443850883
Position 1278: 0.0035923086468356382
Position 1038: 0.0033676792237189493
Position 2536: 0.003333333080380656
Position 1747: 0.0030127238929205866
Position 2492: 0.0030062952923952937
Position 2688: 0.002739461104183903
Position 166: 0.002663824602477984
Position 2444: 0.0023634546289706426
Position 1457: 0.0023469849791047798
Position 2808: 0.002290846137472709
Position 1861: 0.0019718539607854607
Position 1773: 0.0019263391817392213
Position 1143: 0.0015653061442190076
Position 220: 0.0014521678897980422
Position 1562: 0.0014338486221494556
Position 761: 0.0014095778225282887
Position 1098: 0.0012100873781249423
Position 3233: 0.0011248402060678104
Position 1391: 0.0010484359499788665
Position 2196: 0.001019850091208819
Position 2944: 0.000929913980061082
Position 1692: 0.0009190739295694578
Position 1123: 0.0008816862070313359
Position 1252: 0.0007608177643475998
Position 1732: 0.0007256142485868671
Position 1572: 0.0007062746974351793
Position 2386: 0.0006836666135575266
Position 246: 0.0006694918156587668
Position 1511: 0.0006069283264193799
Position 2294: 0.0005749121729346725
Position 1533: 0.0005229253780087445
Position 1226: 0.000513772589754096
Position 683: 0.0005058828959535927
Position 1749: 0.00044715147944539307
Position 771: 0.00036523738801305487
Position 1796: 0.000336395769072452
Position 1635: 0.00032877050538809377
Position 1381: 0.00031615490044781296
