Gene = Rpsa
index = 935
Annotated 5SS: [ 142  934 1588 2675 3208 3477]
Annotated 3SS: [ 767 1468 2428 3078 3310 3710]
SMsplice 5SS: [ 142  934 1588 3208 3477]
SMsplice 3SS: [ 827 1468 3078 3310 3710]
top_k =  1000
Partition function (log Z): 0.6488436483157369

Sorted 5' Splice Sites (High to Low Probability):
Position 3208: 0.9727141380272305
Position 1588: 0.9637706678369508
Position 142: 0.8489609573950558
Position 934: 0.8292580312827299
Position 3477: 0.4414682356720099
Position 2675: 0.38769252242626817
Position 3818: 0.2007861326075206
Position 3416: 0.1294759897994397
Position 2840: 0.088355241428603
Position 3435: 0.06943348124257664
Position 4256: 0.042915810663550845
Position 719: 0.04121672629397772
Position 297: 0.032226138739515485
Position 475: 0.028422968337493342
Position 3645: 0.024988640331006586
Position 995: 0.024551617154430157
Position 2546: 0.023006152469477133
Position 3443: 0.021728520890214233
Position 4223: 0.020833763715338495
Position 2268: 0.018654753366562325
Position 2784: 0.01646857968509491
Position 2788: 0.013245658341381581
Position 3427: 0.012090148357971944
Position 983: 0.010341243261038975
Position 1619: 0.009695634578037658
Position 499: 0.0092354594084418
Position 1006: 0.008783124408310607
Position 3369: 0.008299483147496595
Position 2250: 0.007172298792075418
Position 2205: 0.00609976271400537
Position 2022: 0.00595403101409569
Position 513: 0.005682261526090009
Position 381: 0.005045173699940112
Position 3574: 0.004907670463417171
Position 954: 0.00483162263521127
Position 1555: 0.004546829669517186
Position 330: 0.004363236439009684
Position 3481: 0.00435261556548957
Position 215: 0.004015451335866917
Position 3140: 0.003589994740409048
Position 3612: 0.00353086844502076
Position 3775: 0.0034244794965533577
Position 1954: 0.00321406689122811
Position 167: 0.003110133968510809
Position 1247: 0.0030269038790627077
Position 1226: 0.0029260202416555576
Position 877: 0.0025111172561820437
Position 1831: 0.002354001454231682
Position 2356: 0.0022018372454695742
Position 3152: 0.0021006853219020095
Position 971: 0.0018869641977377226
Position 928: 0.001791326943480883
Position 1401: 0.0016503780381043
Position 62: 0.0015749698957019038
Position 292: 0.001207494512744979
Position 2366: 0.0011918628142943259
Position 2812: 0.0009798363781662752
Position 3394: 0.0009505280036294914
Position 3532: 0.0007717141274858413
Position 3169: 0.0007390259339437489
Position 4304: 0.0007280786722406264
Position 1930: 0.0007092649455599926
Position 121: 0.000699979322484385
Position 517: 0.000568712286906753
Position 3857: 0.0005579875119596378
Position 4197: 0.0005523070504172146
Position 2543: 0.0005363290844097827
Position 2168: 0.0005313543126453383
Position 3564: 0.0004975542805202492
