Gene = 2900092C05Rik
index = 42
Annotated 5SS: [  183   392  2981 38067 42259]
Annotated 3SS: [  298  2938 37966 42100 43495]
SMsplice 5SS: [ 183  392 2981]
SMsplice 3SS: [  298  2873 42100]
top_k =  1000
Partition function (log Z): -26.498262801671952

Sorted 5' Splice Sites (High to Low Probability):
Position 392: 0.968228122858202
Position 183: 0.8040623273893257
Position 2981: 0.7807558232745729
Position 7077: 0.22728188377777125
Position 4645: 0.18917898706769148
Position 4954: 0.1417934353567062
Position 4848: 0.1326555131842673
Position 5440: 0.09718809364489094
Position 7185: 0.063057794179177
Position 2541: 0.05806209207518431
Position 3051: 0.04546526632907324
Position 48: 0.037385325937302365
Position 12495: 0.030487123483898065
Position 3396: 0.027224218496472143
Position 71: 0.023450084985782063
Position 5404: 0.021116240897823824
Position 7917: 0.01704955642791373
Position 4234: 0.014260214145954245
Position 819: 0.013016279848279369
Position 1100: 0.010493286236363687
Position 1664: 0.010097982482863465
Position 1220: 0.009108257661592224
Position 1529: 0.008796221657786735
Position 4170: 0.00835831481360914
Position 217: 0.005987916662807738
Position 5570: 0.005308332242621328
Position 417: 0.004514459405017383
Position 1466: 0.0035748721522863972
Position 7983: 0.0025351852574264848
Position 453: 0.0023659368210330843
Position 1068: 0.0018424740939215532
Position 1505: 0.0017663084111200244
Position 2168: 0.0016187067169815775
Position 3030: 0.0015481093638686123
Position 17: 0.0014469347317634447
Position 1660: 0.0012439832952868192
Position 158: 0.0011871677602180639
Position 1819: 0.0007616772921194546
Position 4965: 0.0006222873264257804
Position 2998: 0.0005906867586868438
Position 2487: 0.0005558186831523244
Position 2148: 0.00048561454156912493
Position 376: 0.00040123364065229556
Position 53: 0.0003593813815039694
Position 969: 0.00030835045621054963
Position 5367: 0.0002797833791192429
Position 1073: 0.0002298861413871779
Position 2213: 0.00020985123081852499
Position 32: 0.00014068980225304364
Position 59: 9.943387367183356e-05
Position 8: 8.96933653331744e-05
Position 202: 7.678306964416712e-05
Position 4868: 3.1382876954619144e-05
Position 232: 2.483987785714232e-05
Position 125: 2.2552765141847288e-05
Position 100: 1.783336863843806e-05
Position 3055: 1.660676762086842e-05
Position 615: 1.4013165489295478e-05
Position 3007: 1.3782716766616564e-05
Position 569: 8.484349849157411e-06
Position 78: 5.039195397910784e-06
Position 498: 4.658635481639245e-06
Position 436: 3.5922632186912446e-06
Position 441: 2.878883198171635e-06
Position 655: 2.042494168914626e-06
Position 88: 1.7181501937872445e-06
Position 584: 1.7119602396363127e-06
Position 444: 1.3809959836783516e-06
Position 579: 1.3506052217678724e-06
Position 538: 1.0714421259830917e-06
Position 261: 9.188171182958782e-07
Position 30: 7.44512173832799e-07
Position 519: 7.319482359210549e-07
Position 588: 6.080343739961497e-07
Position 455: 5.278833518701512e-07
Position 835: 4.947168454613689e-07
Position 447: 4.613758645474011e-07
Position 467: 4.0650476886791975e-07
Position 309: 3.846556697631081e-07
Position 551: 3.4289990589179187e-07
Position 396: 3.2269991970254625e-07
Position 450: 2.819138503591835e-07
Position 438: 1.7664766482802037e-07
Position 471: 1.6130331484565932e-07
Position 491: 1.0459312859271732e-07
Position 854: 9.924202987686026e-08
Position 464: 7.591116741298414e-08
Position 4920: 4.968973564698277e-08
Position 285: 3.955177333056721e-08
Position 302: 1.953800392268141e-08
Position 823: 1.0708858955306088e-08
Position 1178: 4.317947831935323e-09
Position 1521: 1.6741626284977305e-09
Position 489: 4.161266533810495e-12
Position 482: 3.887721870596549e-12
Position 477: 1.742621151397896e-13
Position 459: 5.651524868773187e-15
Position 469: 4.3058478031790534e-16
Position 462: 3.837126665151573e-16
Position 457: 3.8124315932605767e-16
Position 480: 3.1332430974881485e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 298: 0.7741087878836689
Position 2873: 0.6398845595118386
Position 13536: 0.5107113720616053
Position 2938: 0.17346953176998411
Position 10951: 0.16971890859790056
Position 6966: 0.1686150611130446
Position 4540: 0.16438979746801924
Position 6980: 0.13102828512697176
Position 4705: 0.1109286963407079
Position 4835: 0.08606573006879166
Position 7854: 0.06832520252537486
Position 246: 0.05319754543613747
Position 5193: 0.048776089196583584
Position 9630: 0.04823181173660816
Position 5324: 0.04687285920182837
Position 2371: 0.04411627753195104
Position 4750: 0.031271214886976595
Position 12370: 0.030487123483898065
Position 3297: 0.026035051737727664
Position 12862: 0.025682657748240433
Position 8973: 0.02541790197715871
Position 5520: 0.019771217596267397
Position 4847: 0.015480320453558264
Position 9602: 0.015424731356858542
Position 5223: 0.014253412852175684
Position 1502: 0.013983496400569437
Position 4581: 0.011832705741397323
Position 4871: 0.011316833696640312
Position 4815: 0.011229213964446079
Position 5059: 0.010920692838939908
Position 5163: 0.010713671856012111
Position 285: 0.009639900993256009
Position 4054: 0.009594942654549432
Position 4414: 0.009306662487659803
Position 706: 0.009249696075984372
Position 4886: 0.009121376226699536
Position 6234: 0.00895223509805964
Position 3859: 0.00883300125419508
Position 6929: 0.008466712336422185
Position 4459: 0.008213554523203513
Position 4092: 0.008001638498655126
Position 4785: 0.007829661943694596
Position 1137: 0.007828891258631778
Position 7833: 0.007204193929869998
Position 4547: 0.007165655338507165
Position 2835: 0.006779396352962218
Position 5345: 0.0062482389106327425
Position 7384: 0.0059597011530447596
Position 5439: 0.005939818080359981
Position 5118: 0.005929339845452402
Position 2731: 0.00555343417543449
Position 143: 0.005260211611163455
Position 6713: 0.004691782933923455
Position 2455: 0.004530426947500899
Position 339: 0.004033034680519359
Position 960: 0.004032805174675052
Position 5094: 0.0038843066516201885
Position 6200: 0.003827436301494091
Position 2627: 0.003311219315913521
Position 1025: 0.0029095266877795624
Position 4110: 0.0027710179508519664
Position 3224: 0.002714757917664935
Position 1389: 0.0026614510338580253
Position 2400: 0.0026422140432762046
Position 8719: 0.0025795466106068097
Position 2343: 0.002468346313238821
Position 753: 0.0024206616051756715
Position 305: 0.002366620904564747
Position 1528: 0.0019262175592480411
Position 6439: 0.0018968168640557058
Position 7126: 0.0017990648053858075
Position 1359: 0.001795083828815202
Position 2414: 0.00169730849237099
Position 922: 0.0016170910340971448
Position 2942: 0.0016122696197475566
Position 903: 0.0015484159029988513
Position 4758: 0.0015067475761468504
Position 1926: 0.001447148745078638
Position 5782: 0.0013994301119038338
Position 1436: 0.0013547178590896309
Position 373: 0.0012783137126106809
Position 967: 0.001273791239814281
Position 5075: 0.0012683805871830998
Position 6180: 0.001192950074074418
Position 302: 0.0010851994476443452
Position 1614: 0.0010747681181810297
Position 2390: 0.0010729936821556024
Position 3952: 0.0008510498236293748
Position 3299: 0.0008484661457054869
Position 4483: 0.0008358356593002456
Position 3902: 0.0008051220473475417
Position 2375: 0.0007997621696726298
Position 2198: 0.0007827970095994836
Position 1092: 0.0007400592810838856
Position 1327: 0.000721674376764189
Position 2799: 0.0007063682475077966
Position 2432: 0.000703643943243115
Position 4664: 0.0006784502665393699
Position 6052: 0.0006765500465521681
Position 1396: 0.000634977715099266
Position 7964: 0.0006268441981546879
Position 1929: 0.0005709586236403943
Position 1303: 0.0005616728235054488
Position 1058: 0.0004987555589417033
Position 1581: 0.0004931808912471329
Position 818: 0.00048606921601289014
Position 2020: 0.00047665978124552486
Position 3376: 0.00046459100161650466
Position 582: 0.0004442203229601164
Position 3346: 0.00043923732758653
Position 7591: 0.00042795757494161355
Position 3323: 0.00041594347677106447
Position 7464: 0.0004057800074836201
Position 2674: 0.0004031769382178856
Position 7754: 0.000402020697908996
Position 1028: 0.0003926889692868065
Position 4153: 0.00036279399584248896
Position 5035: 0.00035753659244051466
Position 3798: 0.00035529834523563206
Position 309: 0.00034993155095516094
Position 344: 0.00030673315323705207
Position 4295: 0.00029781316936823414
Position 4508: 0.00029214229222032466
Position 3452: 0.0002823862490956488
Position 2345: 0.0002608608967331518
Position 908: 0.0002447111009788079
Position 1596: 0.00023467880345474413
Position 890: 0.00023245341089366187
Position 1450: 0.00023240353356301956
Position 3481: 0.0002249567681699516
Position 4233: 0.0002216838170066633
Position 3875: 0.00021770584289752516
Position 1750: 0.0002023466185905515
Position 4123: 0.0001996835193337959
Position 1735: 0.00019321564239974863
Position 3246: 0.0001645470314454645
Position 3117: 0.00015055540880899853
Position 5485: 0.00014914400985945682
Position 5789: 0.0001479622962048556
Position 3152: 0.0001436946457175012
Position 346: 0.00013552880343039146
Position 4592: 0.00013498400891486556
Position 1308: 0.00013044895205881316
Position 4354: 0.00012583420671583416
Position 5998: 0.0001251923965334854
Position 5550: 0.00011232223962014188
Position 682: 0.00010870030957503667
Position 2472: 9.453102942791053e-05
Position 258: 8.392905894910486e-05
Position 1254: 8.34452175183008e-05
Position 3724: 7.302902573750534e-05
Position 2440: 7.293702750940062e-05
Position 4162: 7.01957489458324e-05
Position 1942: 6.779750894498705e-05
Position 4395: 6.750010506153877e-05
Position 2487: 6.678892666436705e-05
Position 1816: 6.53720575803445e-05
Position 3919: 6.24595567677269e-05
Position 1341: 5.510749106783703e-05
Position 3700: 5.38540184822346e-05
Position 2043: 5.212521561800093e-05
Position 1462: 5.122272104934467e-05
Position 658: 4.4332901669846014e-05
Position 3770: 4.006191203506668e-05
Position 4621: 3.948940580698811e-05
Position 261: 3.800513680446584e-05
Position 2136: 3.681264014606057e-05
Position 1985: 3.6015721320420494e-05
Position 3564: 3.507160481202221e-05
Position 1709: 3.375920483740955e-05
Position 1329: 3.358420970396066e-05
Position 3094: 3.11300564246743e-05
Position 2962: 3.029525214026082e-05
Position 2522: 2.951786878309887e-05
Position 2686: 2.9315306055992198e-05
Position 2744: 2.8581688534724793e-05
Position 1097: 2.8113155785412792e-05
