Gene = Fcer1g
index = 406
Annotated 5SS: [ 169 3189 3370 4299]
Annotated 3SS: [3096 3333 4277 4437]
SMsplice 5SS: [ 169 3370 3664]
SMsplice 3SS: [3333 3506 4437]
top_k =  1000
Partition function (log Z): -1.4716371254329257

Sorted 5' Splice Sites (High to Low Probability):
Position 169: 0.9968147090004418
Position 3664: 0.6039817391011884
Position 3189: 0.40506576961613044
Position 3370: 0.3953418404471043
Position 4299: 0.38830702443130355
Position 2511: 0.32159364982091143
Position 3668: 0.21598887321185292
Position 4584: 0.1995646783631127
Position 3444: 0.1421486078647925
Position 2192: 0.06589032378876426
Position 4075: 0.06299882827695788
Position 2175: 0.01694196832130769
Position 1779: 0.01688626324858075
Position 2515: 0.016097812484431425
Position 4241: 0.012889387695176543
Position 818: 0.007777434166250732
Position 3702: 0.006710796675418656
Position 4222: 0.006100116085114634
Position 3365: 0.005152842640861597
Position 3340: 0.005123033747953276
Position 3394: 0.003704104143246305
Position 656: 0.00339815226333782
Position 772: 0.0032762185584814295
Position 2162: 0.0030057155844293985
Position 280: 0.002998636856536408
Position 3154: 0.0028886913523754275
Position 3400: 0.0023686260577654382
Position 4135: 0.002178139769590705
Position 3730: 0.0021155173944078396
Position 1484: 0.00207356096751306
Position 1244: 0.0019934584753376265
Position 1016: 0.0019610300442824595
Position 619: 0.0019069270604586007
Position 4207: 0.0016553061912787772
Position 4497: 0.001514741554059396
Position 3512: 0.0013872468347030363
Position 3377: 0.0013427429432417838
Position 2534: 0.0012580853898260548
Position 3785: 0.0011325731376120966
Position 4514: 0.0011241291135778407
Position 4332: 0.001118459304192375
Position 2295: 0.0011145031867014017
Position 3486: 0.001006376642777393
Position 3706: 0.0009190532175498088
Position 3465: 0.0007834058271212277
Position 564: 0.0007683244892726059
Position 965: 0.0007560417045969601
Position 1561: 0.0006326967943424353
Position 3962: 0.0006043202758975774
Position 1793: 0.0005822767063541585
Position 2207: 0.0005414207514086057
Position 832: 0.0005175777375158999
Position 1410: 0.0004333071301073115
Position 2453: 0.000343111104353358
Position 1913: 0.0003410322948478256
Position 2550: 0.00025839288533027147
Position 4564: 0.0002521190994476628
Position 2180: 0.00023758630885194827
Position 860: 0.00021062460470670682
Position 2087: 0.00020068608195721185
Position 3580: 0.00018349945611795487
Position 1951: 0.0001488258997650835
Position 1540: 0.0001351450318524639
Position 1114: 0.00012957067287404323
Position 688: 0.00012742480051475906
Position 2632: 0.00011925638203267216
Position 786: 0.00011635906234342803
Position 132: 0.00011090711303329635
Position 946: 0.00010939022435403732
Position 891: 0.00010452613550504991
Position 1530: 9.694478635917913e-05
Position 2785: 9.683257124569449e-05
Position 2147: 9.046026224804908e-05
Position 2759: 8.724491087879365e-05
Position 813: 8.134501480283458e-05
Position 1796: 7.6670526630991e-05
Position 822: 6.930189950477316e-05
Position 4573: 6.918122426616772e-05
Position 3476: 6.743115002797018e-05
Position 1188: 6.534912108944655e-05
Position 2167: 5.985585822708445e-05
Position 2156: 5.9189439672599705e-05
Position 1949: 5.869259643348227e-05
Position 2236: 5.6912170823064156e-05
Position 3149: 5.221908418897248e-05
Position 2527: 5.1557159628499446e-05
Position 1377: 4.6779556752268414e-05
Position 2544: 4.5112981978451737e-05
Position 2091: 4.243437954014269e-05
Position 1815: 4.162138172425485e-05
Position 4115: 3.832321804569484e-05
Position 1393: 3.4935903130640385e-05
Position 3085: 3.4619239895851605e-05
Position 2011: 3.369134992359028e-05
Position 1350: 3.338938225486223e-05
Position 1798: 2.837373377212416e-05
Position 803: 2.7502011190904088e-05
Position 3672: 2.405335966103456e-05
Position 2712: 2.3735264001032406e-05
Position 1568: 2.235876370171596e-05
Position 464: 2.0364380024141313e-05
Position 2593: 1.659839476859509e-05
Position 851: 1.6487057713455878e-05
Position 2047: 1.4725912698386468e-05
Position 1213: 1.3341707438662646e-05
Position 1193: 1.0674831475776583e-05
Position 192: 1.1622285027008161e-06
Position 1565: 5.056200777949481e-07
Position 156: 4.942967851116829e-07
Position 1199: 3.220673411962904e-07
Position 1594: 3.03372306109729e-07
Position 1370: 2.80696865174223e-07
Position 1303: 2.7351778462468456e-07
Position 815: 2.598150849339833e-07
Position 468: 2.455328162116701e-07
Position 1355: 2.2647031856876444e-07
Position 1482: 1.9627587777560375e-07
Position 1583: 1.7994020191630467e-07
Position 1862: 1.6982222580164844e-07
Position 1558: 1.2629623876314937e-07
Position 1588: 1.152895543569269e-07
Position 140: 8.973807130743644e-08
Position 335: 5.953815101879532e-08
Position 330: 4.557878682453909e-08
Position 40: 4.2784516953320686e-08
Position 29: 3.9642266047040184e-08
Position 516: 2.689980716821355e-08
Position 605: 2.0581017437276282e-08
Position 66: 1.593332970982902e-08
Position 1107: 1.5405879089908587e-08
Position 207: 1.2384184218245216e-08
Position 385: 1.0449751159338029e-08
Position 1141: 7.363423739147679e-09
Position 553: 6.7365098880163056e-09
Position 381: 6.323973651281756e-09
Position 389: 6.269298315695085e-09
Position 1118: 6.261060591396326e-09
Position 1021: 6.087081779896283e-09
Position 488: 4.27696513168203e-09
Position 393: 4.157403514042298e-09
Position 479: 3.995638886763146e-09
Position 397: 3.655854141100164e-09
Position 379: 2.6538769678955126e-09
Position 61: 2.3915251793304258e-09
Position 401: 1.8869210528157673e-09
Position 44: 1.7728334828034948e-09
Position 724: 1.7105671108602252e-09
Position 370: 1.6851413558671123e-09
Position 3386: 7.551640838567614e-10
Position 26: 2.365812549723506e-10
Position 6: 1.7374757776044897e-10
Position 472: 4.9161050940692743e-20

Sorted 3' Splice Sites (High to Low Probability):
Position 4437: 0.9006845901009659
Position 3333: 0.6206334380498759
Position 3506: 0.6113085573716808
Position 3096: 0.37076263222489414
Position 2425: 0.3296377999580783
Position 4693: 0.21390550816076992
Position 4195: 0.18847859557347296
Position 4277: 0.177176513486222
Position 3534: 0.14879800336823304
Position 3858: 0.032703385968983284
Position 2061: 0.028430990749333352
Position 4329: 0.027786248414294563
Position 3935: 0.026421351395261694
Position 3039: 0.022462462741768878
Position 2021: 0.020569827869443648
Position 1979: 0.018140811070853073
Position 1689: 0.01512408391317994
Position 691: 0.012090717503554546
Position 4014: 0.011791466723984822
Position 3116: 0.009353882034494925
Position 4407: 0.00919486085618792
Position 3558: 0.008987579642143303
Position 2430: 0.008228811139103748
Position 2081: 0.008215924126822661
Position 3991: 0.007734473052753256
Position 4583: 0.007629587843978279
Position 4126: 0.00639625956151849
Position 4663: 0.0060556661741818655
Position 3873: 0.0060196818296686236
Position 4115: 0.005268273330640305
Position 4210: 0.0049368158526359816
Position 3831: 0.004684312790787534
Position 533: 0.004534253275888388
Position 4072: 0.004405410919803922
Position 3188: 0.003993963362198726
Position 4061: 0.003944601302346344
Position 3339: 0.003438442900303094
Position 2709: 0.0034284274565856074
Position 3278: 0.0033486067482221874
Position 2001: 0.003238772233181097
Position 2102: 0.002857604716908571
Position 2004: 0.0028551191190708336
Position 3809: 0.0027555200962749264
Position 3562: 0.0026790364094472488
Position 1704: 0.00227688766939609
Position 4164: 0.002106171742463465
Position 3961: 0.0020149477455512024
Position 2281: 0.001993133069975636
Position 2026: 0.0019063864097137292
Position 1409: 0.0018886983480061457
Position 945: 0.0017808399850071193
Position 449: 0.001720160151269175
Position 3475: 0.001698216450989142
Position 3108: 0.001482190855423508
Position 1211: 0.0014426468834313234
Position 3956: 0.0014182388636831335
Position 1840: 0.0013357304705002454
Position 1943: 0.00120610357149533
Position 3110: 0.001127767441478347
Position 4058: 0.0010814059372780142
Position 3917: 0.0010054486228056642
Position 4773: 0.0006748674099048614
Position 3946: 0.0006602270271279725
Position 884: 0.0006103336203287174
Position 1738: 0.0006074970983384129
Position 1451: 0.0005710738892030987
Position 1282: 0.0005085776861243434
Position 2649: 0.0004707614032495177
Position 1013: 0.00046295974545405264
Position 1685: 0.0004547441639784955
Position 3883: 0.00039898711675243916
Position 2652: 0.00039581430903250177
Position 3437: 0.0003100333482040668
Position 1778: 0.0002541028989895178
Position 1865: 0.000244574557794649
Position 698: 0.00021796585996747346
Position 721: 0.00019364735218566
Position 4644: 0.0001803865598552692
Position 4281: 0.00017796189680066023
Position 2381: 0.00016826851355394474
Position 4021: 0.0001675907313015002
Position 4284: 0.0001635975546924385
Position 2456: 0.00016082956284800545
Position 4458: 0.00014478464886120396
Position 1032: 0.00012848971277498118
Position 3286: 0.00011874411357925082
Position 2711: 0.00010723630221674299
Position 476: 0.0001043667120197027
Position 4754: 0.00010410914642007107
Position 493: 0.0001035378284836107
Position 2294: 9.752549819796769e-05
Position 2132: 8.775537237873828e-05
Position 1337: 8.061114429419319e-05
Position 1383: 7.414440841338827e-05
Position 1310: 6.594855843663934e-05
Position 839: 6.470034455496091e-05
Position 346: 5.8697617864863674e-05
Position 4379: 5.764911042401454e-05
Position 3637: 5.746913563051453e-05
Position 623: 5.581433018920783e-05
Position 998: 5.5678548583394895e-05
Position 3193: 5.365469427291596e-05
Position 1303: 5.010455489320227e-05
Position 728: 4.892191409816738e-05
Position 3995: 4.515995719696861e-05
Position 3240: 4.47343677822692e-05
Position 544: 4.3097766258193335e-05
Position 2034: 4.063722495717777e-05
Position 1150: 3.996571361998889e-05
Position 2185: 3.86747288385002e-05
Position 2815: 3.701902067139513e-05
Position 1904: 3.5019063794733674e-05
Position 2452: 3.377841674058101e-05
Position 1091: 3.3640919696651365e-05
Position 2288: 3.118231600411711e-05
Position 1419: 2.624863865436628e-05
Position 1066: 2.6141074235122917e-05
Position 801: 2.5509514915949237e-05
Position 4615: 2.4398047189947255e-05
Position 451: 2.3865159728676784e-05
Position 3214: 2.2932020672114052e-05
Position 1100: 2.273324707835162e-05
Position 498: 2.2533252339452576e-05
Position 2031: 2.0519414734450363e-05
Position 715: 2.037521012663762e-05
Position 242: 1.9622571848691937e-05
Position 4019: 1.943399633286491e-05
Position 705: 1.8224562929636513e-05
Position 1339: 1.6484615667097415e-05
Position 2116: 1.5097280374248886e-05
Position 261: 1.4261705763992017e-05
Position 1015: 1.3138952721179436e-05
Position 594: 1.308432108469532e-05
Position 1344: 1.3069797845010458e-05
Position 2599: 1.2116756500218633e-05
Position 854: 1.1586841510340989e-05
Position 1139: 1.1183705439524313e-05
Position 1422: 1.0461057821610673e-05
Position 599: 8.972627551389904e-06
Position 965: 7.32309810795357e-06
Position 511: 6.267545352406123e-06
Position 462: 5.7736152988517275e-06
Position 1055: 5.712125140491938e-06
Position 2478: 5.466439924665964e-06
Position 660: 4.990606232762192e-06
Position 325: 4.927907446532654e-06
Position 505: 4.524398925439307e-06
Position 3398: 3.966039126558185e-06
Position 1040: 2.953806120213551e-06
Position 3465: 2.7787747201641742e-06
Position 1368: 2.7046356142077714e-06
Position 1476: 2.5368511503016626e-06
Position 570: 2.4103791313150315e-06
Position 1216: 2.2212632142534856e-06
Position 700: 1.9206289242760122e-06
Position 269: 1.8789547379785852e-06
Position 1812: 4.735293545484113e-07
Position 1520: 4.328408333855451e-07
Position 1755: 4.0757929237479e-07
Position 969: 3.157068611597691e-07
Position 1114: 2.810807848325785e-07
Position 1370: 2.7122396841975486e-07
Position 627: 2.317411716133895e-07
Position 560: 1.6512985624209142e-07
Position 1256: 9.385747369583296e-08
Position 707: 8.530413240747093e-08
Position 500: 5.997100326364279e-08
Position 239: 5.652290881601454e-08
Position 1551: 5.528029519569125e-08
Position 3659: 5.517778346280709e-08
Position 2301: 5.252635922870075e-08
Position 272: 4.2635466134794574e-08
Position 1433: 4.059080264109183e-08
Position 1388: 2.3131520488555036e-08
Position 972: 1.767341337109415e-08
Position 748: 1.7437198707989362e-08
Position 771: 1.739332290343613e-08
Position 1193: 1.534015865622258e-08
Position 1058: 1.2223352276075178e-08
Position 736: 1.1497058911827327e-08
Position 741: 8.8822109495246e-09
Position 758: 7.591050222554452e-09
Position 3197: 6.268804387385276e-09
Position 352: 6.041529955717938e-09
Position 761: 3.2874698167590105e-09
Position 516: 2.324287829209416e-09
Position 578: 2.3196020090345324e-09
Position 751: 2.304828099004101e-09
Position 619: 2.0814176738681044e-09
Position 301: 1.5942819277920168e-09
Position 218: 1.4725141113192154e-09
Position 889: 1.3698313403822182e-09
Position 289: 1.3315296728006378e-09
Position 223: 1.3079414453262595e-09
Position 860: 1.243239657006024e-09
Position 109: 9.754529563110056e-10
Position 312: 6.893154770786472e-10
Position 297: 5.946628930385315e-10
Position 309: 5.352039525286092e-10
Position 1223: 4.831578736510672e-10
Position 733: 4.5921976139536907e-10
Position 102: 3.5203847075214397e-10
Position 1160: 3.284458522317311e-10
Position 118: 3.068751386235092e-10
Position 864: 2.0108200460141426e-10
Position 982: 1.1415799322677731e-10
Position 94: 1.0224438849147474e-10
Position 75: 6.705424470813478e-11
Position 632: 5.702689632536172e-11
Position 284: 3.5781460208967304e-11
Position 129: 2.1034943308377832e-11
Position 87: 1.4549289174185817e-11
Position 70: 1.0280150636429947e-11
Position 196: 9.773127550536766e-12
Position 165: 5.473595398742858e-12
Position 168: 3.646093691123097e-12
Position 207: 2.5518430681707467e-12
