Gene = Angptl8
index = 118
Annotated 5SS: [ 305  568 1443]
Annotated 3SS: [ 405 1332 1549]
SMsplice 5SS: [ 305  568 1443]
SMsplice 3SS: [ 405 1332 1549]
top_k =  1000
Partition function (log Z): -2.263193664042626

Sorted 5' Splice Sites (High to Low Probability):
Position 1443: 0.9549457816102739
Position 568: 0.8937933362783068
Position 305: 0.5960715316821633
Position 335: 0.3487001126485081
Position 1452: 0.0107235141903018
Position 877: 0.00902276577101927
Position 703: 0.006050763800126257
Position 583: 0.005476073763678232
Position 496: 0.0039361990313475335
Position 1058: 0.0024711933574816615
Position 354: 0.0019543908486166772
Position 1254: 0.00165972760729395
Position 1468: 0.0011322886830182248
Position 536: 0.0007732979549564
Position 53: 0.00045963784422818084
Position 1042: 0.0003995764784636694
Position 1290: 0.0002942525058889817
Position 163: 0.0002423735592689287
Position 770: 0.0002393815100039057
Position 511: 0.0001715411004580701
Position 594: 0.00012084921116131174
Position 794: 7.258063701140786e-05
Position 248: 5.925722737176942e-05
Position 815: 5.564722502342941e-05
Position 84: 5.53632260394098e-05
Position 68: 5.3980038091295825e-05
Position 81: 4.8758861915202374e-05
Position 1604: 4.2319784133902584e-05
Position 463: 4.194843989041857e-05
Position 1151: 3.7786665218087266e-05
Position 324: 3.4786727680882357e-05
Position 1026: 2.7801439408010032e-05
Position 1045: 2.3559123187482377e-05
Position 406: 2.3338281628996483e-05
Position 1114: 2.1531863699632076e-05
Position 1480: 1.9504375389645528e-05
Position 690: 1.584575153337644e-05
Position 1419: 1.4928872809564798e-05
Position 292: 1.4360221863081668e-05
Position 322: 1.3848563945149006e-05
Position 1177: 9.663903252661765e-06
Position 881: 7.430547837531254e-06
Position 1121: 7.014224622569028e-06
Position 879: 6.774026578836698e-06
Position 328: 6.228311919726605e-06
Position 14: 6.170212308535411e-06
Position 883: 5.769614938243093e-06
Position 1489: 5.387473952591605e-06
Position 341: 4.9800082325945155e-06
Position 1313: 4.387938086669237e-06
Position 885: 4.172870108831763e-06
Position 911: 3.8087639731523396e-06
Position 945: 3.2457469804262184e-06
Position 34: 3.0320507519505848e-06
Position 887: 2.8780327192594924e-06
Position 1275: 2.787061866788215e-06
Position 889: 2.464111650036293e-06
Position 1607: 2.1793917532070656e-06
Position 1010: 2.098368110909093e-06
Position 1224: 2.048405322717478e-06
Position 161: 3.3054041440803987e-07
Position 1381: 1.6653482106487825e-11
Position 1474: 9.463204273611136e-12
Position 891: 1.0181186622381505e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1332: 0.958489497746927
Position 1549: 0.8636710021153022
Position 405: 0.6470644683761396
Position 433: 0.11351007258403914
Position 480: 0.04330954663599381
Position 1710: 0.04035788509472409
Position 445: 0.027779699245850782
Position 1560: 0.02133560244953783
Position 1386: 0.018206995274907822
Position 1604: 0.010567556919912471
Position 1563: 0.010474120012324548
Position 1650: 0.008604510761554279
Position 670: 0.008183107512627005
Position 439: 0.007202944598641046
Position 1676: 0.006415460643587259
Position 477: 0.0046206472451160085
Position 1638: 0.004039415493258967
Position 1312: 0.0033025235188549507
Position 959: 0.002972842612730883
Position 1572: 0.0028528774805188007
Position 1339: 0.002758126453074579
Position 1712: 0.002543806780372472
Position 402: 0.0023930097708500116
Position 463: 0.002219834008364565
Position 370: 0.0019570716203694983
Position 1598: 0.0017623175527751965
Position 1205: 0.0016453058360553629
Position 737: 0.00161517438429288
Position 412: 0.0015852315496154923
Position 414: 0.0013275871163542844
Position 1097: 0.0012876222174646014
Position 368: 0.0012721438900226976
Position 1260: 0.0012371763874236793
Position 1616: 0.001177780826845513
Position 1578: 0.0011072555387184456
Position 1659: 0.0010460634638103157
Position 640: 0.0008888098118212149
Position 1514: 0.000834013864315092
Position 1350: 0.0008070063533080045
Position 652: 0.0008051381590475497
Position 1188: 0.0006701429034860162
Position 1272: 0.00046207365051400683
Position 1307: 0.00043246130264941245
Position 139: 0.00040565812350647597
Position 642: 0.0003376105814185739
Position 676: 0.0002942561403247817
Position 745: 0.00025794017417520026
Position 707: 0.0002393335806805486
Position 1392: 0.00023503635226211693
Position 1627: 0.00016670784703795422
Position 690: 0.0001586974208388082
