Gene = Snapc5
index = 995
Annotated 5SS: [ 147 1315]
Annotated 3SS: [1224 2867]
SMsplice 5SS: [ 147 1315]
SMsplice 3SS: [1224 2867]
top_k =  1000
Partition function (log Z): -0.7388292167296653

Sorted 5' Splice Sites (High to Low Probability):
Position 147: 0.9247470250998353
Position 1315: 0.8626850817637752
Position 1498: 0.5288032560017634
Position 2016: 0.20144536845421163
Position 902: 0.17561536977363162
Position 834: 0.13256537943347768
Position 2281: 0.0801462565006005
Position 2156: 0.07151478674614783
Position 2993: 0.052827635006119394
Position 444: 0.047200378184106884
Position 1096: 0.04610953205929325
Position 734: 0.04345777958085775
Position 1878: 0.03802567229933239
Position 2152: 0.03688830433664202
Position 541: 0.03267756492981327
Position 474: 0.0249833398459519
Position 201: 0.02205228555526186
Position 1506: 0.02120080292198217
Position 2010: 0.011311244045229669
Position 3015: 0.011057343145985988
Position 718: 0.009346081951717381
Position 2297: 0.007125313680707924
Position 1088: 0.006252890320675454
Position 502: 0.005863020552504847
Position 1920: 0.004550307147727604
Position 2658: 0.0043903911241644335
Position 1517: 0.0035506275078754823
Position 1329: 0.0028837503416145175
Position 2356: 0.0025885183718496233
Position 232: 0.002349451032391542
Position 1814: 0.002254930242199427
Position 864: 0.002145982418976545
Position 1595: 0.002124901778241961
Position 3266: 0.001969516300158992
Position 2754: 0.0016034929692540067
Position 2545: 0.0012294857230670734
Position 2108: 0.0011941673171264283
Position 1831: 0.0011224326398408962
Position 2397: 0.0010887858434881997
Position 824: 0.0009975311473077162
Position 2301: 0.000928378125079518
Position 512: 0.0008205426074258489
Position 889: 0.0007965417882613177
Position 1310: 0.0007499390883392834
Position 671: 0.000572699400916706
Position 2081: 0.0005382867918884663
Position 1305: 0.0005114759050045383
Position 221: 0.000496228475656664
Position 153: 0.0004786990165756264
Position 1991: 0.0004615193918075383
Position 709: 0.0004525751289980032
Position 2283: 0.0004107419276981261
Position 775: 0.00040042634435310935
Position 282: 0.00038186216778678784
