Gene = Olfr643
index = 780
Annotated 5SS: [    60  25295  77812 111955 114219 124921 133337]
Annotated 3SS: [ 25219  77769 111831 114063 124676 133204 138358]
SMsplice 5SS: [    60  15794  25295  58115  64064  87424  95881 111955 114219 133337]
SMsplice 3SS: [ 15704  25219  57942  63839  87329  95808 111831 114048 133204 138358]
top_k =  1000
Partition function (log Z): -82.06305627959075

Sorted 5' Splice Sites (High to Low Probability):
Position 60: 0.9799771673039851
Position 5450: 0.2794670563949769
Position 7737: 0.18756870992821148
Position 15423: 0.17433547252525655
Position 7761: 0.09166934526127624
Position 7836: 0.07482832823632056
Position 7254: 0.0693184092193893
Position 7012: 0.06523490847047535
Position 1937: 0.06316540625836238
Position 7659: 0.06211778555505995
Position 7619: 0.037571468611956926
Position 3816: 0.03479646048847455
Position 5548: 0.019342710710159215
Position 5307: 0.01127259006822784
Position 4874: 0.006675746494672487
Position 278: 0.006423396063096989
Position 9186: 0.005679041982353606
Position 1931: 0.005609582798322451
Position 3330: 0.005537949130499498
Position 4870: 0.005347253826832554
Position 121: 0.004547062165126779
Position 13202: 0.004418565636590703
Position 204: 0.004345633431401945
Position 7663: 0.003986824488617147
Position 1921: 0.003350446316576646
Position 2928: 0.0032652311515644437
Position 192: 0.0029202489241220084
Position 6064: 0.002362789743757312
Position 6974: 0.0021775522298169716
Position 7705: 0.00216100160826419
Position 1927: 0.0019650891815153155
Position 7126: 0.001965057187970537
Position 1956: 0.0019358686198320911
Position 11956: 0.0014071988452410641
Position 6992: 0.001171812081497206
Position 7291: 0.0011603560740346367
Position 5188: 0.001054920510346062
Position 29: 0.0009969656784061577
Position 3256: 0.000726720292099728
Position 2474: 0.0007155257032014875
Position 74: 0.000360103852640887
Position 3081: 0.00033803265638210843
Position 51: 0.0003053818481276375
Position 3534: 0.0002756067251013585
Position 4894: 0.0002532012826178016
Position 221: 0.00023105081397340596
Position 3149: 0.00018955134807281378
Position 1736: 0.00014298635239817323
Position 7625: 0.00013782369366952647
Position 1811: 0.00012726894048412614
Position 521: 0.00011943730141132811
Position 816: 9.394433728064624e-05
Position 1621: 8.257077031558696e-05
Position 883: 8.068808832251302e-05
Position 2991: 6.395096000077532e-05
Position 6493: 6.282997539751832e-05
Position 6613: 5.982477942781442e-05
Position 2947: 5.9085007806504555e-05
Position 5231: 4.244413340235641e-05
Position 7404: 3.783503910375869e-05
Position 294: 2.3367394729658023e-05
Position 886: 1.5247062815952362e-05
Position 833: 1.201646119212488e-05
Position 409: 1.0218193201902213e-05
Position 751: 9.773948152041331e-06
Position 534: 5.230886118412593e-06
Position 125: 4.886745243947103e-06
Position 1585: 3.7029977869203138e-06
Position 1001: 3.095331618329221e-06
Position 1382: 2.948927891361787e-06
Position 225: 2.873547631089246e-06
Position 1480: 2.2511343143049205e-06
Position 1407: 2.0127922508992865e-06
Position 1661: 1.457979121600754e-06
Position 1326: 1.218407843126084e-06
Position 1777: 1.0152671762352128e-06
Position 1260: 8.628194088464795e-07
Position 1208: 8.22057507016075e-07
Position 1338: 6.600668167277682e-07
Position 1317: 5.845576068038406e-07
Position 1547: 4.1042946628178745e-07
Position 444: 3.984249014905793e-07
Position 456: 3.8341897073650526e-07
Position 1145: 1.4303935219212467e-07
Position 1887: 1.2961755166674196e-07
Position 1898: 9.294276086011028e-08
Position 2954: 3.000373632176868e-08
Position 227: 9.509620187522118e-10
Position 284: 8.035154135637424e-10
Position 621: 7.317508896569295e-10
Position 632: 6.9275687126776e-10
