Gene = Ufm1
index = 1162
Annotated 5SS: [  82  217 2616 3597 4589]
Annotated 3SS: [ 159 2557 3556 4555 5834]
SMsplice 5SS: [  82  217 2616 3632 9903]
SMsplice 3SS: [  159  2557  3556  9814 10250]
top_k =  1000
Partition function (log Z): -4.685942049753945

Sorted 5' Splice Sites (High to Low Probability):
Position 2616: 0.9504960624007082
Position 82: 0.7568634693256103
Position 217: 0.6624407203581436
Position 3632: 0.6398419142042098
Position 9903: 0.4011430340728854
Position 4589: 0.1955493740991841
Position 3597: 0.15701973732012098
Position 58: 0.15353771761188365
Position 2138: 0.1495873495120285
Position 350: 0.11412665442011237
Position 3889: 0.11385375444987607
Position 8067: 0.0638945669144501
Position 4297: 0.0598495587062469
Position 7168: 0.05429910956043378
Position 334: 0.047447188377625044
Position 280: 0.047174238890060276
Position 4415: 0.0407650504186151
Position 452: 0.02797687267751311
Position 8476: 0.02200556860968646
Position 8075: 0.02170394538108838
Position 326: 0.019032204309011678
Position 3133: 0.01681430939342277
Position 387: 0.015590683132101185
Position 7027: 0.014845804540218662
Position 7389: 0.012180299969340237
Position 3474: 0.011887805660623344
Position 4830: 0.011191508045025347
Position 6086: 0.009889342418254836
Position 9683: 0.00894256353494201
Position 86: 0.008934286901958372
Position 6800: 0.008780848848196882
Position 416: 0.006306585503277154
Position 2747: 0.005524525741571721
Position 5045: 0.005453956374664969
Position 8862: 0.005406068738333663
Position 7899: 0.004748777980518279
Position 523: 0.004607833274507699
Position 2575: 0.0046060332102532
Position 925: 0.004454827545249634
Position 6292: 0.0038960116654131456
Position 2622: 0.0030355736466347047
Position 3516: 0.00300931702397409
Position 167: 0.0027683134898623136
Position 3430: 0.002561205955254626
Position 2146: 0.0021844746529916972
Position 2875: 0.002075409133839323
Position 2916: 0.0015644507358285422
Position 215: 0.0015461333704173243
Position 4301: 0.0009226435368035512
Position 776: 0.0007715191369223736
Position 1428: 0.0007295983645448611
Position 3477: 0.0007111268726906414
Position 60: 0.0007000316519298432
Position 2635: 0.0006951399207874665
Position 3410: 0.0006834860832474767
Position 160: 0.0006233077779586483
Position 1012: 0.0006216930783910926
Position 4092: 0.000574308522810568
Position 2859: 0.0005463189162104566
Position 221: 0.000519359912784402
Position 907: 0.0005129301879803758
Position 72: 0.0004805925815318227
Position 984: 0.0003642346935549808
Position 370: 0.0003295021719526707
Position 2184: 0.000285738433109909
Position 1522: 0.00027744666436075444
Position 3226: 0.00027378742638446636
Position 4355: 0.0002640453243159962
Position 4848: 0.0002605875235824088
Position 2925: 0.00023732686113173766
