Gene = Mrfap1
index = 696
Annotated 5SS: [570]
Annotated 3SS: [827]
SMsplice 5SS: [570]
SMsplice 3SS: [827]
top_k =  1000
Partition function (log Z): -5.6543980221642824

Sorted 5' Splice Sites (High to Low Probability):
Position 570: 0.991159546541376
Position 227: 0.306666711545925
Position 221: 0.12229138699373629
Position 146: 0.08514998149586811
Position 142: 0.07844755508908544
Position 759: 0.008324611328432966
Position 197: 0.006802860370399147
Position 72: 0.0035184913369495883
Position 732: 0.0033389298201085575
Position 26: 0.003031234826437431
Position 298: 0.0025592681297252166
Position 1129: 0.002069645327493637
Position 553: 0.0016522094984348383
Position 604: 0.0011440260851269667
Position 152: 0.0009808861319271396
Position 1047: 0.0008271933690558713
Position 117: 0.0006890835737579825
Position 99: 0.0006699325588345149
Position 256: 0.0004987420063854817
Position 349: 0.0004443705924956902
Position 1529: 0.0003992775936806423
Position 42: 0.00036993286122668964
Position 1407: 0.0003081166769898231
Position 46: 0.0002615208908761604
Position 389: 0.00014971964389468386
Position 78: 0.0001463048339647853
Position 515: 0.00012740536104580545
Position 269: 0.00010174364452374335
Position 155: 0.00010174089294331273
Position 708: 9.804846053432771e-05
Position 547: 9.336842726617874e-05
Position 19: 8.979890810461449e-05
Position 910: 8.960920926168204e-05
Position 524: 8.255018247516015e-05
Position 1006: 8.091883612030103e-05
Position 1194: 7.501319237453168e-05
Position 65: 5.217900974405095e-05
Position 799: 4.7487786197870086e-05
Position 1050: 3.894439198328419e-05
Position 849: 3.697575869450616e-05
Position 854: 3.462845210141633e-05
Position 1418: 2.9875098884366083e-05
Position 742: 2.5060790666538654e-05
Position 697: 2.072283971535418e-05
Position 594: 1.391027590875409e-05
Position 1473: 1.0669578173714808e-05
Position 1063: 9.576772308353155e-06
Position 1013: 9.407941004580633e-06
Position 1172: 7.152685434869578e-06
Position 1213: 6.263247293458519e-06
Position 1451: 6.012083106091214e-06
Position 1363: 5.448773035058471e-06
Position 429: 4.837380857639458e-06
Position 1154: 4.723278296994942e-06
Position 636: 4.477398668176171e-06
Position 663: 4.3285604898293804e-06
Position 624: 3.7834299033425382e-06
Position 1032: 1.4072045107628954e-08
Position 965: 1.3159079227342627e-08
Position 784: 6.3210861730931474e-09
Position 994: 2.3163072679493732e-09
Position 828: 2.0558112947828165e-09
Position 676: 6.324265591710584e-10
Position 691: 2.1604775823970164e-10
Position 773: 6.441733612625823e-11
Position 1067: 2.196269248952045e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 827: 0.9224975067480787
Position 427: 0.603893239992504
Position 1317: 0.021531180471667046
Position 782: 0.012378502620278072
Position 1224: 0.009368168804544795
Position 1288: 0.006786902564613717
Position 1565: 0.005146738333131486
Position 644: 0.004867157365133355
Position 663: 0.0044006457094391315
Position 835: 0.003514816418644274
Position 1328: 0.0032376813729074042
Position 1193: 0.003055510885440116
Position 1257: 0.0029499320218296056
Position 669: 0.002842038289805426
Position 1684: 0.0018322825400718164
Position 1263: 0.0016275862230523666
Position 660: 0.0015102265045373266
Position 376: 0.0011176356454463104
Position 466: 0.0011145482185476066
Position 1296: 0.0010954388574180678
Position 704: 0.0009903490026103377
Position 469: 0.0008948941899911889
Position 1546: 0.0006181057861791981
Position 1859: 0.0005927403875568725
Position 1337: 0.00044744543318018626
Position 445: 0.00042535752652959115
Position 226: 0.00040486287458386185
Position 487: 0.000344127245453205
Position 1747: 0.0002564950048803128
Position 1591: 0.0002513189713226103
Position 1118: 0.00023760126758996434
Position 1299: 0.00021996253355616966
Position 1633: 0.00019106018213179974
Position 1385: 0.0001860074611825617
Position 1611: 0.00018471231947972316
Position 313: 0.00016940314648670286
Position 1657: 0.0001438998646647936
Position 687: 0.00013361915939277014
Position 346: 0.00012925749635870528
Position 160: 0.00011002980664142396
Position 1636: 9.865467501821955e-05
Position 1735: 9.199348050548773e-05
Position 1864: 8.692781417678653e-05
Position 1455: 7.806154676466892e-05
Position 1462: 7.477829057879157e-05
Position 1144: 7.464639311334586e-05
