Gene = Lins1
index = 636
Annotated 5SS: [  130  6413 18660 18850 19542 20853 22151]
Annotated 3SS: [ 6281 18145 18744 19399 20264 21978 23906]
SMsplice 5SS: [  130  6413 18567 18835 19542 22151]
SMsplice 3SS: [ 6281 18479 18744 19399 22046 23906]
top_k =  1000
Partition function (log Z): -6.405668950671153

Sorted 5' Splice Sites (High to Low Probability):
Position 6413: 0.9997481722437673
Position 130: 0.9839830246782157
Position 19542: 0.8371453429400533
Position 18835: 0.7712176945179953
Position 22151: 0.661985374736614
Position 16398: 0.5476806651979746
Position 18567: 0.39640738418537497
Position 15961: 0.3450504190026966
Position 15702: 0.3317752013121843
Position 12771: 0.24792809727093607
Position 18850: 0.1716957401186418
Position 2964: 0.16085354099389684
Position 17530: 0.12015359756378707
Position 17546: 0.11512587916141954
Position 5996: 0.10756833664521412
Position 2211: 0.09570385884143166
Position 6000: 0.08449179880213692
Position 3157: 0.07858092568591703
Position 15920: 0.06203065542252409
Position 3966: 0.06049734394355049
Position 17231: 0.05143984619200764
Position 23978: 0.046870163532709515
Position 17773: 0.04590060964462488
Position 3107: 0.03901171723501481
Position 9588: 0.0364458435844839
Position 23843: 0.03507118566600216
Position 22313: 0.03327018391724685
Position 23288: 0.03154839366420024
Position 6154: 0.0313237751041153
Position 15706: 0.027175493721838893
Position 20853: 0.02475466671187571
Position 1346: 0.019320059354163047
Position 14855: 0.016363136428361683
Position 2313: 0.015563740269313826
Position 11630: 0.014198353578231878
Position 3833: 0.013976359663877896
Position 1505: 0.013392936977651426
Position 172: 0.012569085056179775
Position 6158: 0.012102478939401064
Position 2481: 0.009094120121304493
Position 2646: 0.006960594472013871
Position 3879: 0.006243982135109546
Position 21764: 0.005504758175920749
Position 24731: 0.004169690384831645
Position 23095: 0.003679626707036231
Position 24431: 0.003172028049168121
Position 19602: 0.00263448336150298
Position 308: 0.0022590911972908355
Position 17490: 0.0018127724827535603
Position 8062: 0.0015092466358548051
Position 19999: 0.0011799159713898918
Position 1710: 0.001136793684000893
Position 9720: 0.0008171222411171781
Position 1022: 0.0006972642509283973
Position 10965: 0.0006850869608194571
Position 146: 0.0004901194407824941
Position 7068: 0.00048571315894480483
Position 2636: 0.0004686677436603924
Position 1339: 0.000452331921764061
Position 11299: 0.0004476730492516286
Position 19720: 0.0004145119062994703
