Gene = Thyn1
index = 1080
Annotated 5SS: [ 337 4059 5495 5930 6728 7232]
Annotated 3SS: [3876 5425 5836 6631 7080 7437]
SMsplice 5SS: [  46  369 4059 5495 5930 6728 7232]
SMsplice 3SS: [ 230 3876 5425 5836 6631 7080 7437]
top_k =  1000
Partition function (log Z): 5.07781104246176

Sorted 5' Splice Sites (High to Low Probability):
Position 6728: 0.9489138602945748
Position 5495: 0.9360129046412405
Position 5930: 0.8990608362116123
Position 369: 0.6569591833194621
Position 7232: 0.5885923194435282
Position 4059: 0.4785678265198881
Position 4045: 0.4536840532369351
Position 46: 0.4474688295751498
Position 337: 0.3398459339181621
Position 108: 0.19648370731663797
Position 69: 0.14364559546210662
Position 5088: 0.099681361715327
Position 65: 0.08779120656267106
Position 4326: 0.05002071763025805
Position 6515: 0.03742948724317617
Position 4089: 0.022345997627453595
Position 617: 0.018681239631380867
Position 4793: 0.01766791191005637
Position 1457: 0.016609481472265604
Position 3075: 0.015657893736752665
Position 5537: 0.014800101397347281
Position 2309: 0.014525946032444342
Position 1753: 0.011725857860009088
Position 1709: 0.009899086602692208
Position 3782: 0.009369014822218266
Position 4579: 0.008539176037234069
Position 1784: 0.008092720856504322
Position 3118: 0.00796226733129742
Position 2357: 0.007396749098256357
Position 4098: 0.007056347763061074
Position 3077: 0.006781839835716809
Position 6028: 0.004960153675314579
Position 2231: 0.004856088779753565
Position 3167: 0.004641838851034745
Position 1740: 0.004604413922043026
Position 1788: 0.00411513294889144
Position 4102: 0.004030697199458826
Position 6786: 0.004003537313160315
Position 658: 0.0035886666978105133
Position 6032: 0.0032984247051757146
Position 570: 0.0029079098316237544
Position 3249: 0.0028918759327096416
Position 6400: 0.002863829476542694
Position 847: 0.0025614186049932146
Position 6947: 0.0024418652770109082
Position 1706: 0.0024243787597679027
Position 1897: 0.0022004079347382535
Position 3721: 0.0017969874290557398
Position 5018: 0.0016784106244040725
Position 3283: 0.0015228921168106491
Position 628: 0.0015100368698098487
Position 62: 0.0012012857957355708
Position 2435: 0.0009931210742201992
Position 3258: 0.0009746094013276709
Position 1452: 0.0009397372568479791
Position 1373: 0.0009351687686850116
Position 6314: 0.0009162358035752516
Position 6126: 0.0009038976408154478
Position 1546: 0.0008931765184923415
Position 3309: 0.000883102471106095
Position 2218: 0.0008665172266420622
Position 6721: 0.0008586621479259103
Position 1189: 0.0008177674968752311
Position 2570: 0.0008134543503474707
Position 6796: 0.0007708890491326191
Position 100: 0.0005796990071301244
