Gene = Prol1
index = 855
Annotated 5SS: [  86 1302]
Annotated 3SS: [ 1232 10494]
SMsplice 5SS: [  86 1302]
SMsplice 3SS: [ 1232 10494]
top_k =  1000
Partition function (log Z): -6.7047626000600875

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.8669811475922099
Position 1302: 0.8066568570862845
Position 6769: 0.4420684224828998
Position 1547: 0.25651800473666464
Position 1496: 0.18325367487256028
Position 4945: 0.09101215543130631
Position 108: 0.06927218177580069
Position 1654: 0.06338187295950658
Position 2133: 0.05282060438686308
Position 9844: 0.05109172450950203
Position 90: 0.04169150748595877
Position 10641: 0.032569164284348896
Position 6122: 0.026103630452698635
Position 6489: 0.020000906969925732
Position 4686: 0.016205237739998487
Position 6076: 0.015443940936538877
Position 1012: 0.015427134515555581
Position 5573: 0.013979380168665172
Position 37: 0.010973989318223916
Position 6327: 0.009598698230259028
Position 3957: 0.009142185586162565
Position 5007: 0.007974804953065483
Position 6915: 0.006375356129223108
Position 357: 0.006313741194774858
Position 2528: 0.006239209647276371
Position 2915: 0.005146838815623321
Position 6666: 0.005007139033505631
Position 4368: 0.00355580605760052
Position 5221: 0.003455052833692078
Position 6315: 0.0030684408902102384
Position 5269: 0.0028186499416287983
Position 1793: 0.0023747859165129392
Position 1617: 0.002234438192396469
Position 6261: 0.0018051096706478862
Position 6707: 0.0015217609219456288
Position 7924: 0.0011753617562810462
Position 1145: 0.0010353916781962972
Position 2587: 0.0009634113204387061
Position 4373: 0.0008297073249556457
Position 3981: 0.0008294767904872063
Position 763: 0.0006891140313219951
Position 232: 0.0006634730714656375
Position 6808: 0.0006545517956276645
Position 5308: 0.0006505466576655855
Position 721: 0.0005816828634558814
Position 235: 0.0005423668970676604
Position 1487: 0.00051993557749003
Position 100: 0.00043905158546239843
Position 298: 0.0003583230076588533
Position 323: 0.00035471372651014365
Position 368: 0.0002781692478324647
Position 348: 0.0002650308811380569
Position 10620: 0.00025048719928090463
Position 223: 0.00019967846812271237
Position 917: 0.00016688625838057487
Position 96: 0.0001579023240450787
Position 337: 0.00011710990094052426
Position 1110: 9.548815237057441e-05
