Gene = Coa5
index = 280
Annotated 5SS: [ 235 1762]
Annotated 3SS: [1677 9475]
SMsplice 5SS: [ 235 1762 8607]
SMsplice 3SS: [ 1677  8515 12472]
top_k =  1000
Partition function (log Z): -8.988558002211876

Sorted 5' Splice Sites (High to Low Probability):
Position 1762: 0.8820755643932314
Position 8607: 0.44136242918954066
Position 235: 0.38780834012174464
Position 8569: 0.35029774720125706
Position 5593: 0.317582937437624
Position 123: 0.2997169500162362
Position 3428: 0.22165808054472283
Position 114: 0.17055272040752778
Position 1432: 0.12352249324767903
Position 4541: 0.1048515758290835
Position 5613: 0.07324846874603903
Position 9629: 0.06691503353557608
Position 3810: 0.06166420318949216
Position 144: 0.061269531214256726
Position 6852: 0.055585188963819684
Position 5094: 0.054002181563046
Position 343: 0.03888170689310848
Position 8826: 0.0209666332255457
Position 4847: 0.02045799302644184
Position 732: 0.019837142538582507
Position 9095: 0.014787725608932527
Position 2005: 0.01240849800251984
Position 5088: 0.012337607528840352
Position 314: 0.011525596888381891
Position 308: 0.011357316873590385
Position 4370: 0.010989376587146289
Position 588: 0.010596366113588518
Position 5842: 0.01009708985932024
Position 1436: 0.009540183944271901
Position 3291: 0.009462295137723297
Position 12574: 0.009181440149913529
Position 5722: 0.007335740515613936
Position 42: 0.006599692932526841
Position 2908: 0.006039930033630002
Position 7561: 0.006027728391224155
Position 12007: 0.005390529509637325
Position 321: 0.003324136391022141
Position 88: 0.0029558798145768676
Position 578: 0.0029156973956996164
Position 296: 0.0028431452398166306
Position 775: 0.002302818367382937
Position 5299: 0.0022709074243597973
Position 4434: 0.002175606179883955
Position 8635: 0.0021458147110940415
Position 802: 0.0020696633034321507
Position 727: 0.0018470135525998244
Position 1368: 0.001721268846660853
Position 176: 0.0015718805772135184
Position 10443: 0.0015163303920005826
Position 4449: 0.0013672997529100457
Position 2190: 0.001248622742022261
Position 6495: 0.0011065411287938499
Position 1552: 0.0009558924281313325
Position 1403: 0.0008573962790511474
Position 755: 0.0006635823736189036
Position 200: 0.0005752021674709173
Position 8803: 0.0005380025828290218
Position 5608: 0.000496962665386199
Position 2244: 0.0004835860527646832
Position 9271: 0.00035613625508256624
Position 81: 0.00035580627321537314
Position 174: 0.00035489823205872654
Position 301: 0.0003541089976413741
Position 8613: 0.0003537189702259869
Position 9249: 0.00033000588136419253
Position 101: 0.00031595135843863405
Position 987: 0.00031417557807709675
Position 1081: 0.0003113940845014586
Position 2122: 0.00021365010510426661
Position 1960: 0.0001652496197445001
Position 2082: 0.00016339047317626747
Position 3354: 0.0001618204514680565
Position 1340: 0.00015165358916141065
Position 1449: 0.0001296291341595113
Position 1766: 5.668454999912107e-05
Position 9170: 5.516298269359873e-05
Position 10035: 5.421557904863034e-05
Position 2934: 4.600151104445728e-05
Position 224: 4.164809098838888e-05
Position 53: 3.916390317926282e-05
Position 887: 3.4399366890432695e-05
